x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,y,x20
0.213,0.457,0.658,-4.161,-1.34,7.726,-2.458,0.289,0.562,-0.253,3.082,0.752,1.038,-3.334,-0.915,1.225,-0.802,-0.634,0.245,1.0,-0.831
-0.028,-0.214,0.472,-3.234,-2.276,8.267,-2.094,-0.004,0.536,0.152,2.247,0.752,0.891,-2.548,-0.353,0.638,-1.073,-2.481,-0.371,1.0,-0.569
-0.035,0.076,0.099,-3.869,-2.436,8.306,-1.921,-0.199,0.273,0.189,2.545,1.003,0.884,-2.565,-0.131,0.282,-0.319,-1.845,-0.598,1.0,-0.254
0.142,-0.259,0.534,-3.619,-2.419,8.346,-2.041,0.044,0.279,0.104,2.369,0.681,0.718,-2.5,-0.271,0.74,-0.794,-2.126,-0.513,1.0,-0.497
0.059,0.07,0.376,-3.937,-2.614,8.966,-2.212,0.038,0.248,0.192,2.685,0.736,1.002,-2.72,-0.39,0.204,-0.686,-2.233,-0.307,1.0,-0.208
0.034,-0.143,0.561,-3.946,-2.215,8.98,-2.328,0.095,0.606,0.036,2.712,0.739,0.747,-2.944,-0.383,0.599,-0.809,-2.435,-0.293,1.0,-0.366
0.202,0.052,0.519,-3.566,-1.879,7.789,-2.009,0.102,0.425,0.028,2.321,0.807,0.692,-2.483,-0.629,0.597,-0.543,-1.749,-0.286,1.0,-0.409
0.025,0.083,0.831,-3.808,-2.409,8.197,-2.011,-0.015,0.661,0.112,2.528,0.657,0.934,-2.715,-0.332,0.818,-0.864,-1.945,-0.394,1.0,-0.509
-0.141,-0.338,0.879,-4.287,-1.166,7.75,-2.711,0.011,-0.059,0.187,3.1,0.887,1.076,-2.99,-0.077,0.121,0.59,-1.536,-0.208,1.0,0.162
-0.141,-0.305,0.448,-3.907,-2.161,8.378,-2.066,-0.17,0.285,0.374,2.765,0.921,1.053,-2.491,0.015,0.181,0.011,-2.206,-0.5,1.0,-0.094
0.113,-0.089,0.613,-3.754,-1.84,7.263,-1.888,0.102,0.286,0.364,2.593,0.786,0.706,-2.43,-0.298,0.265,-0.313,-1.395,-0.481,1.0,-0.206
-0.069,-0.303,1.411,-4.1,-2.049,8.193,-2.444,0.209,0.017,0.228,2.845,0.937,1.086,-2.619,-0.13,0.195,0.075,-1.986,-0.595,1.0,0.125
0.108,-0.218,0.676,-3.522,-2.652,8.429,-1.903,-0.092,0.097,0.17,2.372,0.657,0.782,-2.615,-0.325,0.473,-0.689,-2.78,-0.249,1.0,0.095
0.175,-0.192,0.927,-4.228,-2.244,8.288,-2.072,-0.009,0.315,0.304,2.806,0.708,1.102,-2.664,-0.332,0.601,-0.292,-1.576,-0.574,1.0,-0.461
0.159,0.432,0.849,-4.356,-2.175,8.616,-2.426,-0.028,0.555,-0.032,3.001,0.659,1.19,-2.896,-0.477,1.047,-0.503,-1.705,-0.284,1.0,-0.768
0.046,-0.295,1.156,-3.882,-2.371,8.209,-2.132,0.058,-0.046,0.271,2.489,0.948,1.098,-2.572,-0.119,0.16,-0.304,-2.348,-0.573,1.0,0.149
-0.079,-0.229,0.284,-3.295,-2.293,8.854,-2.058,0.027,0.041,0.325,2.445,0.79,0.557,-2.294,0.028,0.168,-0.893,-2.783,-0.601,1.0,0.007
-0.221,-0.204,0.447,-3.722,-1.389,8.27,-2.442,0.167,-0.139,0.136,2.813,0.62,0.713,-2.289,0.062,0.025,0.007,-2.037,-0.358,1.0,0.263
0.102,0.095,0.566,-3.717,-2.102,7.797,-1.894,0.207,0.627,0.006,2.682,0.759,0.983,-2.659,-0.436,0.855,-0.902,-1.189,-0.544,1.0,-0.775
0.056,-0.238,0.829,-3.407,-2.569,8.042,-1.802,0.039,0.288,0.119,2.275,0.684,0.753,-2.498,-0.154,0.466,-0.716,-2.537,-0.078,1.0,-0.11
0.125,0.423,0.451,-3.946,-2.563,8.726,-1.917,0.081,0.474,-0.259,2.589,0.899,0.689,-2.838,-0.613,0.957,-1.026,-2.268,0.162,1.0,-0.495
0.196,0.277,1.009,-3.329,-2.38,7.709,-1.866,0.067,0.563,-0.265,2.162,0.621,0.718,-2.643,-0.703,1.19,-1.235,-1.895,0.096,1.0,-0.744
-0.108,0.409,0.774,-3.614,-2.083,8.261,-2.093,0.032,0.44,-0.136,2.494,0.555,0.61,-2.919,-0.439,0.944,-0.768,-1.997,0.102,1.0,-0.389
0.09,0.076,0.537,-3.431,-2.28,7.746,-1.778,-0.158,0.368,-0.014,2.431,0.582,0.753,-2.271,-0.438,0.645,-0.648,-2.341,-0.064,1.0,-0.355
0.392,0.52,0.753,-4.434,-1.199,7.581,-2.201,0.357,0.857,-0.47,2.941,0.578,0.602,-3.231,-1.274,1.388,-1.038,-0.242,0.316,1.0,-1.155
