x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,y,x16,x17,x18,x19,x20
0.136,-1.412,1.096,-1.32,-0.781,0.1,-0.094,0.403,2.392,-1.826,-0.068,1.811,-0.358,-1.155,3.946,1.0,0.599,-0.565,-0.36,-1.265,1.893
0.253,-1.764,1.101,-1.524,-0.165,-0.267,-0.222,0.666,2.594,-1.515,-0.135,1.685,-0.369,-1.212,3.981,1.0,0.609,-0.551,-0.515,-1.18,1.805
0.141,-1.644,1.205,-1.347,-0.837,0.111,-0.228,0.711,2.587,-2.114,-0.217,1.749,-0.095,-1.139,3.983,1.0,0.306,-0.355,-0.496,-1.352,1.739
0.176,-1.53,1.032,-1.208,-0.515,0.058,-0.166,0.519,2.371,-1.759,-0.08,1.688,-0.179,-1.395,3.615,1.0,0.684,-0.583,-0.425,-0.962,1.806
-0.034,-1.787,1.063,-1.22,-0.613,0.065,-0.11,0.818,2.407,-1.935,0.035,1.825,-0.025,-1.422,3.951,1.0,0.551,-0.432,-0.505,-1.152,1.939
0.341,-1.408,1.039,-1.612,0.107,-0.277,-0.229,0.397,2.31,-1.273,0.033,1.763,-0.096,-1.235,3.523,1.0,0.693,-0.575,-0.554,-0.98,1.868
0.199,-1.654,1.166,-1.212,-0.727,0.106,-0.042,0.494,2.639,-1.907,-0.281,1.639,-0.491,-1.166,3.475,1.0,0.658,-0.712,-0.62,-1.189,1.815
0.082,-1.649,1.266,-1.305,-0.304,-0.029,-0.136,0.678,2.371,-1.827,-0.079,1.677,-0.262,-1.333,3.717,1.0,0.646,-0.498,-0.349,-1.145,1.866
0.115,-1.606,1.173,-0.697,-1.35,0.54,0.0,0.602,2.452,-2.535,0.044,1.744,-0.185,-1.223,3.974,1.0,0.772,-0.415,-0.398,-1.204,1.985
0.244,-1.594,1.075,-1.349,-0.173,-0.063,-0.522,0.622,2.423,-1.532,-0.018,1.629,-0.32,-1.15,3.882,1.0,0.659,-0.41,-0.561,-1.145,1.702
-0.182,-1.25,1.247,-1.306,-0.662,0.198,-0.195,0.619,2.486,-1.829,-0.13,1.711,-0.183,-1.162,3.604,1.0,0.71,-0.596,-0.514,-1.167,1.63
0.002,-1.511,1.109,-1.291,-0.307,0.095,-0.183,0.75,2.162,-1.562,0.141,1.573,-0.146,-1.146,3.159,1.0,0.609,-0.412,-0.439,-0.814,1.739
0.195,-1.79,1.119,-1.198,-0.781,0.128,-0.106,0.856,2.498,-2.262,-0.357,1.961,-0.173,-1.257,3.721,1.0,0.658,-0.582,-0.351,-1.076,1.732
0.34,-1.486,0.881,-1.467,-0.055,-0.328,-0.33,0.606,2.418,-1.322,-0.103,1.835,0.12,-1.092,3.945,1.0,0.349,-0.426,-0.291,-1.295,1.924
0.209,-1.491,1.139,-1.315,-0.999,0.562,-0.023,0.553,2.392,-2.07,-0.039,1.688,-0.349,-1.282,3.25,1.0,0.581,-0.454,-0.419,-0.905,1.721
0.08,-1.447,1.259,-1.066,-0.643,0.313,-0.136,0.537,2.302,-1.933,-0.121,1.928,-0.09,-1.18,2.995,1.0,0.712,-0.267,-0.435,-1.162,1.81
0.374,-1.714,0.841,-1.286,-0.761,0.073,-0.148,0.641,2.181,-1.986,-0.142,1.535,-0.126,-0.937,3.677,1.0,0.353,-0.312,-0.26,-1.405,1.971
0.197,-1.53,1.165,-1.546,0.06,-0.616,-0.285,0.662,2.596,-1.354,-0.308,1.759,-0.32,-1.241,3.949,1.0,0.623,-0.554,-0.435,-1.454,1.912
0.24,-1.648,0.876,-1.369,-0.571,0.116,-0.355,0.683,2.552,-2.013,-0.062,1.831,0.006,-1.278,3.959,1.0,0.533,-0.476,-0.255,-1.019,1.572
0.069,-1.532,1.077,-1.503,-0.289,0.108,-0.3,0.829,2.607,-1.895,-0.102,1.675,-0.221,-1.366,3.946,1.0,0.877,-0.392,-0.311,-1.166,1.86
0.25,-1.462,1.296,-1.447,-0.287,-0.178,-0.193,0.542,2.348,-1.371,-0.278,1.63,-0.202,-1.11,3.992,1.0,0.541,-0.52,-0.53,-1.041,1.677
0.215,-1.688,1.172,-1.326,-0.601,0.023,-0.113,0.714,2.391,-1.933,-0.071,1.579,-0.092,-0.913,3.682,1.0,0.523,-0.568,-0.48,-1.056,1.828
0.24,-1.571,1.045,-1.52,-0.175,-0.438,-0.279,0.621,2.5,-1.42,-0.315,1.398,-0.289,-1.077,3.319,1.0,0.655,-0.49,-0.342,-1.025,1.753
0.167,-1.566,1.139,-1.706,-0.336,0.217,-0.221,0.604,2.568,-1.802,-0.218,1.668,-0.252,-1.256,3.867,1.0,0.776,-0.234,-0.364,-0.971,1.45
-0.002,-1.422,1.239,-1.551,-0.143,-0.219,-0.15,0.592,2.495,-1.334,-0.158,1.691,-0.146,-1.284,3.802,1.0,0.349,-0.475,-0.457,-1.154,1.816
0.127,-1.371,1.056,-1.46,-0.324,-0.222,-0.005,0.48,2.279,-1.707,-0.063,1.681,-0.205,-1.192,3.996,1.0,0.66,-0.57,-0.464,-1.147,1.945
0.071,-1.389,1.262,-1.466,-0.189,-0.065,-0.226,0.632,2.391,-1.406,-0.106,1.631,0.005,-1.204,3.315,1.0,0.486,-0.438,-0.315,-0.997,1.766
0.217,-1.404,0.876,-1.423,-0.56,0.113,-0.296,0.526,2.343,-1.57,-0.092,1.62,-0.083,-1.216,3.215,1.0,0.557,-0.624,-0.371,-0.996,1.725
0.122,-1.575,1.062,-1.527,-0.122,-0.213,-0.391,0.754,2.518,-1.539,-0.232,1.803,-0.167,-1.172,3.327,1.0,0.486,-0.276,-0.629,-0.897,1.732
0.145,-1.51,1.285,-1.204,-0.593,0.095,-0.347,0.446,2.385,-1.886,-0.154,1.555,-0.485,-1.102,3.772,1.0,0.555,-0.29,-0.553,-1.251,1.808
-0.001,-1.608,0.941,-1.797,-0.146,-0.344,-0.351,0.624,2.484,-1.512,-0.125,1.697,-0.302,-1.235,3.631,1.0,0.566,-0.558,-0.52,-1.377,1.688
0.005,-1.539,1.181,-1.342,-0.454,0.15,-0.312,0.755,2.563,-1.6,-0.169,1.605,-0.155,-1.267,3.773,1.0,0.374,-0.355,-0.423,-1.05,1.807
0.213,-1.514,1.077,-1.249,-0.511,0.196,-0.161,0.673,2.434,-1.812,-0.106,1.829,-0.051,-1.245,3.187,1.0,0.698,-0.28,-0.28,-0.951,1.701
0.059,-1.647,1.01,-1.497,-0.339,0.126,-0.169,0.58,2.492,-1.448,-0.172,1.601,-0.166,-1.303,3.852,1.0,0.694,-0.432,-0.456,-0.977,1.692
0.186,-1.53,1.111,-1.169,-0.694,0.04,-0.049,0.713,2.536,-2.145,0.025,1.886,-0.198,-1.179,4.004,1.0,0.679,-0.435,-0.275,-1.224,1.964
0.161,-1.713,1.191,-1.537,-0.154,-0.021,-0.352,0.721,2.518,-1.421,-0.086,1.811,-0.208,-1.218,3.401,1.0,0.511,-0.41,-0.432,-1.096,1.776
0.154,-1.538,1.379,-1.105,-0.859,0.492,-0.324,0.558,2.341,-1.957,0.128,1.622,-0.218,-1.088,3.522,1.0,0.701,-0.691,-0.472,-0.934,1.684
0.17,-1.44,1.134,-1.22,-0.673,0.273,-0.447,0.523,2.361,-2.024,-0.031,1.822,-0.298,-1.244,4.047,1.0,0.731,-0.662,-0.323,-0.869,1.519
0.248,-1.449,0.904,-1.43,-0.134,-0.411,-0.186,0.489,2.335,-1.466,0.055,1.607,-0.318,-1.194,3.695,1.0,0.506,-0.523,-0.327,-1.412,1.946
0.024,-1.792,0.922,-1.712,0.047,-0.617,-0.326,0.614,2.38,-1.448,-0.066,1.691,-0.306,-1.092,3.908,1.0,0.67,-0.687,-0.312,-1.22,1.684
0.008,-1.735,1.363,-1.566,0.548,-0.759,-0.172,0.629,2.378,-0.887,-0.074,1.608,-0.081,-1.229,3.338,1.0,0.555,-0.488,-0.57,-1.064,1.705
0.231,-1.74,1.196,-1.608,-0.367,0.013,-0.203,0.454,2.374,-1.462,-0.077,1.771,-0.323,-1.394,3.405,1.0,0.539,-0.669,-0.522,-1.043,1.847
0.188,-1.675,1.131,-1.003,-0.897,0.021,-0.16,0.822,2.439,-2.063,0.003,1.722,-0.004,-1.186,3.851,1.0,0.473,-0.481,-0.435,-1.149,1.69
0.086,-1.557,1.085,-1.676,-0.105,-0.607,-0.139,0.612,2.481,-1.632,0.053,1.564,-0.016,-1.369,3.939,1.0,0.628,-0.66,-0.452,-1.102,1.734
0.154,-1.61,1.195,-1.54,-0.393,0.021,-0.208,0.692,2.245,-1.779,-0.095,1.432,-0.293,-1.015,2.984,1.0,0.618,-0.311,-0.565,-1.047,1.723
0.336,-1.628,1.019,-0.989,-0.806,0.264,0.127,0.729,2.384,-2.115,-0.228,1.423,-0.347,-1.177,3.705,1.0,0.616,-0.208,-0.181,-1.291,1.845
0.105,-1.731,1.032,-1.683,-0.162,-0.062,-0.439,0.688,2.506,-1.613,-0.026,1.511,-0.249,-1.228,3.922,1.0,0.937,-0.573,-0.372,-1.081,1.913
0.42,-1.605,1.202,-1.357,-0.455,0.031,-0.127,0.75,2.536,-1.738,-0.301,1.51,-0.11,-1.158,3.463,1.0,0.459,-0.324,-0.534,-1.14,1.958
0.237,-1.412,0.942,-1.263,-0.873,-0.01,0.024,0.52,2.492,-2.124,-0.025,1.474,-0.371,-1.128,3.836,1.0,0.62,-0.534,-0.253,-1.223,1.796
0.094,-1.554,1.075,-0.834,-0.826,0.474,-0.277,0.832,2.239,-2.205,0.094,1.39,-0.119,-0.818,3.882,1.0,0.49,-0.402,-0.454,-1.088,1.716
0.032,-1.713,1.131,-1.425,-0.649,0.078,0.072,0.452,2.491,-1.719,-0.081,1.522,-0.42,-1.034,3.7,1.0,0.457,-0.531,-0.715,-1.195,1.686
0.24,-1.717,0.979,-1.349,-0.698,0.321,-0.058,0.651,2.62,-2.047,-0.042,1.727,-0.135,-1.332,3.833,1.0,0.484,-0.332,-0.32,-1.136,1.682
0.014,-1.428,1.158,-1.338,-0.614,-0.206,-0.175,0.603,2.318,-1.947,-0.101,1.629,-0.288,-1.23,3.671,1.0,0.549,-0.71,-0.445,-1.167,1.612
0.211,-1.468,1.229,-0.96,-1.289,0.444,-0.027,0.655,2.303,-2.514,0.188,1.691,-0.071,-1.239,3.861,1.0,0.652,-0.531,-0.422,-1.23,1.881
0.105,-1.62,0.861,-1.217,-0.875,-0.006,-0.118,0.902,2.401,-2.155,0.054,1.786,-0.153,-1.163,3.861,1.0,0.566,-0.391,-0.424,-1.339,1.961
0.151,-1.672,1.149,-1.572,-0.18,-0.122,-0.193,0.562,2.546,-1.55,-0.088,1.51,-0.372,-1.046,3.658,1.0,0.673,-0.441,-0.579,-1.216,1.932
