x0,x1,x2,y,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20
-0.071,-3.371,4.905,1.0,0.255,-1.376,-0.125,-0.845,0.847,-2.242,0.094,3.768,-3.937,-0.719,8.074,-0.187,-0.858,1.192,1.848,-0.325,2.611
0.021,-2.417,5.069,1.0,-0.266,-1.394,0.097,-1.219,0.718,-1.874,0.375,4.049,-4.562,-1.092,7.877,-0.183,-1.137,0.998,1.939,-0.108,2.369
0.104,-3.419,5.382,1.0,0.081,-1.553,0.1,-0.615,0.383,-2.497,0.469,3.529,-4.209,-1.648,7.885,-0.435,-0.873,1.677,2.114,-0.751,2.386
0.021,-2.689,5.892,1.0,0.392,-1.093,-0.164,-1.854,1.223,-2.525,0.032,3.817,-4.261,-1.425,7.83,-0.286,-1.128,1.356,1.741,-0.488,2.532
-0.01,-2.366,4.71,1.0,0.313,-1.238,-0.35,-1.099,1.438,-2.163,-0.263,3.874,-3.931,-0.372,7.871,-0.012,-1.066,0.359,1.657,0.435,2.673
-0.187,-2.852,4.63,1.0,-0.251,-1.473,0.329,-0.807,0.528,-2.096,0.352,3.391,-3.84,-1.188,7.31,-0.159,-0.792,1.033,1.537,-0.137,2.123
-0.043,-2.781,4.619,1.0,0.112,-1.787,-0.114,-0.898,0.86,-2.088,-0.04,4.153,-4.121,-0.271,8.397,-0.037,-1.312,0.361,2.016,0.7,2.723
0.005,-2.326,4.792,1.0,0.202,-1.178,0.118,-1.092,0.445,-2.12,0.086,3.037,-4.064,-1.61,7.262,-0.067,-0.844,1.324,1.848,-0.26,2.259
0.123,-2.637,5.949,1.0,-0.109,-0.995,-0.167,-1.741,1.314,-2.285,0.3,3.772,-4.403,-2.007,7.548,-0.056,-1.121,1.256,1.793,-0.359,2.3
0.073,-4.152,5.16,1.0,0.132,-1.338,0.064,-0.507,0.859,-2.526,0.012,3.454,-4.116,-0.81,7.557,-0.225,-0.935,0.775,1.812,-0.009,2.427
-0.146,-3.303,4.619,1.0,0.03,-1.755,0.076,-0.375,0.705,-2.219,0.127,3.509,-4.383,-0.94,7.354,-0.024,-0.929,0.647,1.586,0.438,2.444
0.072,-3.994,5.386,1.0,0.059,-1.482,-0.026,-0.88,0.699,-2.634,0.153,3.929,-4.28,-0.907,7.84,-0.375,-1.106,1.067,1.937,-0.166,2.317
-0.08,-3.718,5.692,1.0,0.021,-1.125,-0.053,-0.934,1.306,-2.56,0.491,3.821,-4.001,-1.438,8.224,-0.476,-0.809,1.519,1.978,-0.708,2.706
0.064,-3.732,5.917,1.0,-0.06,-1.517,0.308,-0.863,0.6,-2.692,0.439,4.144,-5.004,-1.767,7.875,-0.23,-1.029,1.252,2.15,-0.431,2.281
0.015,-3.499,5.098,1.0,0.32,-1.442,0.04,-0.598,1.008,-2.398,0.144,3.285,-3.947,-1.407,7.141,-0.403,-1.024,1.22,1.491,-0.237,2.158
0.126,-3.854,5.298,1.0,0.075,-1.369,-0.021,-0.687,0.744,-2.335,0.158,3.824,-4.249,-0.972,7.973,-0.461,-0.861,1.265,1.946,-0.485,2.391
-0.2,-3.119,5.212,1.0,0.176,-1.384,-0.282,-1.081,1.351,-2.349,0.022,4.407,-4.349,-0.549,8.593,-0.028,-1.093,0.698,2.187,0.183,2.802
0.059,-2.914,5.586,1.0,0.299,-1.151,-0.17,-1.109,1.215,-2.419,0.173,4.088,-3.786,-1.322,8.192,-0.052,-1.132,1.454,1.909,-0.324,2.555
-0.026,-3.985,4.96,1.0,0.064,-1.494,0.008,-0.516,0.972,-2.154,-0.007,3.799,-4.39,-0.651,7.951,-0.172,-1.127,0.756,1.723,0.111,2.462
0.001,-2.647,4.841,1.0,-0.164,-1.328,0.156,-0.815,0.649,-1.994,0.643,3.354,-3.705,-1.542,7.598,-0.212,-0.897,1.393,1.907,-0.458,2.433
-0.185,-3.983,4.782,1.0,0.269,-1.756,0.001,-0.479,0.581,-2.284,-0.256,3.97,-4.691,0.093,7.857,0.012,-1.505,0.573,1.821,0.598,2.264
0.135,-3.128,5.077,1.0,0.094,-1.482,-0.011,-0.87,0.961,-2.278,-0.067,4.195,-4.055,-0.467,8.318,0.014,-1.155,0.734,1.92,0.201,2.546
-0.05,-3.057,4.858,1.0,0.134,-1.369,0.045,-0.932,0.685,-2.376,0.209,3.498,-3.502,-1.214,7.242,-0.398,-1.176,1.208,1.949,-0.342,2.331
0.027,-3.79,5.904,1.0,0.332,-1.364,-0.032,-1.191,1.145,-2.401,0.089,3.959,-4.471,-1.23,8.075,-0.287,-1.03,1.287,1.757,-0.483,2.462
-0.039,-3.283,4.616,1.0,-0.227,-1.518,0.3,-0.506,0.349,-2.29,0.172,3.606,-4.409,-0.951,7.586,-0.295,-0.83,0.812,1.899,-0.065,2.305
0.008,-3.053,5.285,1.0,-0.347,-1.27,0.254,-0.886,0.826,-2.199,0.682,3.816,-3.971,-1.655,8.171,-0.433,-0.749,1.615,2.083,-0.91,2.636
-0.074,-2.131,5.298,1.0,0.25,-1.286,-0.138,-1.442,0.86,-2.173,0.169,4.236,-3.827,-1.147,8.615,-0.132,-1.104,1.3,1.989,-0.31,2.595
-0.022,-3.387,5.238,1.0,0.288,-1.235,-0.199,-0.905,1.523,-2.204,-0.309,3.84,-4.002,-0.473,7.642,0.056,-1.146,0.545,1.554,0.412,2.334
-0.011,-3.313,4.87,1.0,-0.441,-1.486,0.234,-0.731,1.028,-1.932,0.047,3.752,-4.091,-1.002,7.687,-0.27,-0.847,0.718,1.584,0.068,2.252
-0.031,-2.424,5.006,1.0,0.044,-1.749,0.1,-1.213,0.632,-2.171,0.081,3.966,-4.296,-1.072,8.441,0.121,-1.074,0.902,2.251,0.071,2.673
-0.042,-2.994,5.061,1.0,-0.049,-1.385,-0.173,-0.933,1.215,-2.32,0.158,3.814,-4.039,-0.889,8.256,-0.176,-1.123,1.079,1.978,-0.193,2.53
