Unnamed: 0,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,y,x15,x16,x17,x18,x19,x20
0,-0.547,0.514,0.298,-1.217,-0.427,0.66,-0.949,-0.043,-1.302,-0.201,-0.744,0.664,0.303,-0.845,1.0,1.074,-0.6,0.244,3.8,0.732,0.337
1,-0.753,0.746,1.089,-0.555,0.247,1.815,-0.971,0.058,-0.753,-0.656,-0.51,1.233,1.145,-0.053,1.0,1.436,-0.389,0.667,3.77,0.285,-0.118
2,-0.586,0.712,0.887,-1.281,0.033,1.202,-1.354,0.083,-0.779,-0.342,-0.386,1.121,1.07,-0.026,1.0,1.236,-0.56,0.213,4.268,0.647,0.095
3,-0.682,0.736,0.682,-1.052,-0.103,1.218,-0.658,0.01,-1.235,-0.141,-0.591,0.796,0.591,-0.631,1.0,1.235,-0.335,0.32,3.489,0.413,-0.049
4,-0.852,0.73,1.038,-0.616,0.649,1.746,-1.141,0.239,-0.883,-0.473,-0.525,1.227,1.034,-0.308,1.0,1.342,-0.244,0.538,4.048,0.007,-0.104
5,-0.897,0.849,1.204,-0.876,0.299,1.643,-0.799,-0.115,-0.854,-0.158,-0.503,0.558,1.061,-0.399,1.0,1.274,-0.644,0.184,3.643,0.52,0.16
6,-0.974,0.554,0.775,-1.316,-0.221,1.468,-0.582,0.171,-1.286,-0.103,-0.629,0.965,0.658,-0.654,1.0,1.301,-0.28,0.116,3.435,0.35,0.091
7,-0.573,0.681,0.688,-0.901,-0.229,1.285,-0.726,0.274,-1.028,-0.416,-0.565,0.818,0.814,-0.34,1.0,1.157,-0.419,0.29,3.73,0.851,0.194
8,-0.729,0.713,0.971,-0.599,0.158,1.724,-1.153,0.234,-0.574,-0.607,-0.403,1.319,1.481,0.162,1.0,1.285,-0.022,0.556,3.908,0.406,0.227
9,-0.697,0.643,0.626,-1.034,0.11,1.476,0.469,0.101,-1.803,0.085,-0.152,1.081,0.244,-0.857,1.0,1.547,0.208,-0.123,3.046,-0.026,-0.443
10,-0.777,0.721,1.007,-0.777,0.265,1.621,-1.556,0.219,-0.494,-0.357,-0.459,1.171,1.352,-0.079,1.0,1.262,-0.122,0.313,4.046,0.36,0.141
11,-0.621,0.791,0.83,-0.865,0.261,1.287,-0.91,-0.035,-1.194,-0.287,-0.367,0.967,0.646,-0.473,1.0,1.186,-0.538,0.23,3.749,0.235,0.083
12,-0.76,0.646,0.866,-0.692,0.315,1.333,-0.562,-0.084,-1.081,-0.032,-0.505,0.803,0.807,-0.56,1.0,1.282,-0.063,0.065,3.396,0.249,0.122
13,-0.749,0.727,0.771,-0.861,0.145,1.144,-0.873,0.061,-1.049,0.001,-0.373,0.752,0.832,-0.499,1.0,1.262,-0.066,-0.07,3.518,0.553,0.228
14,-1.006,0.681,1.325,-0.77,0.667,2.0,-0.756,-0.078,-0.962,-0.201,-0.229,1.426,1.241,-0.191,1.0,1.627,-0.45,0.505,4.533,-0.198,-0.26
15,-0.644,0.804,1.017,-1.004,0.057,1.465,-0.998,0.08,-1.143,-0.257,-0.529,0.797,0.752,-0.467,1.0,1.349,-0.746,0.28,4.347,0.451,0.058
16,-0.548,0.657,0.659,-1.034,0.046,0.814,-1.294,0.163,-0.973,-0.013,-0.359,0.974,0.496,-0.464,1.0,1.067,-0.514,0.089,4.041,0.495,0.209
17,-0.522,0.606,0.454,-1.215,-0.235,0.59,-1.355,0.168,-1.19,-0.106,-0.632,0.507,0.484,-0.618,1.0,1.204,-1.018,0.054,4.208,0.821,0.342
18,-0.592,0.541,0.686,-1.084,-0.079,0.864,-0.676,0.076,-1.588,0.118,-0.504,0.753,0.33,-0.873,1.0,1.328,-0.649,0.138,3.822,0.398,-0.022
19,-0.581,0.386,0.883,-1.357,-0.106,0.876,-1.644,0.014,-0.995,0.018,-0.736,0.923,0.787,-0.352,1.0,1.308,-0.506,0.146,4.121,0.51,0.218
20,-0.481,0.611,0.613,-1.255,-0.125,0.83,-1.142,0.24,-1.474,-0.165,-0.733,0.717,0.477,-0.65,1.0,1.416,-1.249,0.368,4.75,0.674,0.253
21,-0.407,0.813,0.813,-1.079,-0.175,1.008,-1.177,0.276,-0.869,-0.373,-0.624,0.724,0.614,-0.344,1.0,0.947,-0.558,0.371,3.763,0.76,0.221
22,-0.652,0.729,0.877,-1.159,-0.081,1.216,-1.103,0.002,-0.862,-0.231,-0.607,0.543,0.605,-0.57,1.0,1.209,-0.575,0.299,3.584,0.526,0.126
23,-0.708,0.531,0.552,-0.871,-0.29,0.779,-1.076,0.201,-1.015,-0.154,-0.537,0.377,0.626,-0.668,1.0,1.022,-0.492,0.144,3.325,0.807,0.495
24,-0.827,0.655,0.529,-0.985,0.05,1.215,-0.906,-0.009,-1.327,-0.043,-0.425,1.097,0.585,-0.606,1.0,1.486,-0.529,0.173,4.268,0.291,0.005
25,-0.658,0.619,0.407,-1.506,-0.473,0.664,-1.372,0.082,-1.407,0.281,-0.786,0.362,0.13,-1.104,1.0,0.989,-1.388,-0.074,4.693,0.824,0.305
26,-0.678,0.401,0.808,-0.877,-0.094,1.443,-0.82,0.249,-1.008,-0.012,-0.661,0.926,0.677,-0.654,1.0,1.253,-0.417,0.048,3.733,0.393,-0.008
27,-0.783,0.619,0.909,-0.964,0.138,1.477,-1.83,0.209,-0.541,-0.496,-0.364,1.166,1.283,-0.159,1.0,1.203,-1.069,0.352,4.851,0.582,0.218
28,-0.673,0.772,0.885,-0.548,0.186,1.648,-0.808,0.031,-0.666,-0.563,-0.379,0.862,1.11,-0.145,1.0,1.187,-0.127,0.357,3.436,0.34,0.096
29,-0.548,0.645,0.972,-0.918,-0.001,1.061,-1.747,0.213,-0.758,-0.338,-0.539,0.939,0.722,-0.285,1.0,1.155,-0.839,0.225,4.587,0.626,0.233
30,-1.0,0.617,0.844,-0.914,0.298,1.649,-0.698,0.16,-1.312,0.147,-0.485,1.154,0.719,-0.7,1.0,1.405,-0.496,0.014,4.1,0.001,0.089
31,-0.659,0.705,0.369,-1.25,-0.388,0.982,-1.476,0.092,-1.171,-0.107,-0.811,0.719,0.581,-0.658,1.0,1.198,-0.993,0.228,4.59,0.71,0.309
32,-1.27,0.696,0.972,-0.442,0.99,2.675,-0.553,0.182,-0.985,-0.444,-0.413,1.871,1.552,-0.237,1.0,1.992,0.16,0.552,4.313,-0.505,-0.469
33,-0.575,0.614,0.567,-1.06,-0.374,0.809,-0.812,0.109,-1.28,-0.061,-0.698,0.558,0.31,-0.813,1.0,1.069,-0.699,0.311,3.615,0.56,0.184
34,-0.672,0.726,0.603,-1.057,0.309,1.294,-0.634,0.077,-1.595,0.04,-0.37,1.139,0.45,-0.776,1.0,1.573,-0.77,0.164,4.558,0.088,-0.153
35,-0.799,0.608,1.346,-0.756,0.718,2.239,-0.416,0.254,-0.741,-0.387,-0.343,1.801,1.386,-0.185,1.0,1.56,0.261,0.424,3.826,-0.236,-0.271
36,-0.713,0.728,0.964,-0.644,0.159,1.177,-1.322,0.093,-0.66,-0.529,-0.357,0.871,0.97,-0.072,1.0,1.172,-0.432,0.698,3.832,0.567,0.221
37,-0.789,0.527,1.28,-1.015,0.226,1.852,0.143,0.02,-1.777,-0.041,-0.379,0.926,0.579,-0.943,1.0,1.726,-0.683,0.418,4.182,0.017,-0.463
38,-0.555,0.521,1.019,-0.787,0.161,1.719,-1.372,0.285,-0.511,-0.6,-0.453,1.276,1.332,0.071,1.0,1.175,-0.238,0.447,3.816,0.369,0.053
