Unnamed: 0,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,y,x14,x15,x16,x17,x18,x19,x20
0,-5.035,0.051,0.471,3.356,1.33,5.486,0.508,0.426,0.249,-0.58,-0.135,1.696,2.164,1.0,3.092,-3.124,-1.674,0.754,-0.376,-0.733,0.488
1,-5.042,-0.34,0.53,3.585,1.539,5.904,0.559,0.659,-0.876,-1.019,-0.49,1.597,1.78,1.0,2.005,-3.138,-1.824,1.114,-1.003,0.275,-0.039
2,-4.658,-0.686,0.22,3.909,1.285,5.745,-0.019,0.651,-0.777,-0.92,-0.299,1.682,1.952,1.0,2.254,-2.816,-1.731,0.97,-0.942,0.399,0.172
3,-4.082,-0.329,-0.108,4.842,1.473,4.845,0.538,0.758,-0.932,-0.435,1.401,1.645,1.829,1.0,2.394,-2.383,-1.434,1.174,-0.869,0.834,0.17
4,-4.682,0.467,0.206,4.218,1.627,5.373,1.384,0.767,0.002,-0.225,0.961,1.702,2.079,1.0,3.134,-2.621,-1.417,1.018,-0.56,-0.262,0.374
5,-4.657,0.311,0.145,4.554,1.412,5.307,0.935,0.697,0.065,-0.463,1.128,1.604,1.644,1.0,3.154,-2.797,-1.529,1.113,-0.554,-0.151,0.631
6,-3.767,-0.089,-0.187,4.374,1.277,4.385,0.671,0.75,-0.422,0.014,1.678,1.595,1.564,1.0,2.669,-2.081,-1.008,1.051,-0.618,0.29,0.279
7,-4.731,0.017,0.255,3.623,1.29,5.71,0.938,0.361,-0.303,-0.773,-0.259,1.702,1.953,1.0,2.325,-3.008,-1.821,0.963,-0.726,0.133,0.178
8,-4.479,0.179,0.501,3.37,1.408,5.062,0.899,0.601,0.315,-0.024,0.523,1.802,2.166,1.0,3.711,-2.626,-0.998,0.944,-0.29,-0.987,0.409
9,-4.089,-0.071,-0.194,4.96,1.475,4.956,1.09,1.055,-0.593,-0.407,1.37,1.625,1.604,1.0,2.464,-2.359,-1.337,1.073,-0.764,0.521,0.168
10,-3.789,-0.391,0.142,4.059,1.418,4.67,0.354,0.68,-1.192,-0.179,0.466,1.467,2.183,1.0,1.684,-2.052,-1.613,1.048,-0.76,1.218,0.315
11,-3.992,0.41,0.041,3.726,1.465,4.637,0.725,0.959,0.308,0.307,1.266,1.639,1.643,1.0,3.77,-2.171,-0.851,1.09,-0.107,-0.825,0.667
12,-3.834,-0.251,0.082,3.688,1.269,4.554,0.319,0.555,-0.597,-0.336,0.481,1.746,2.052,1.0,2.047,-2.281,-1.473,0.882,-0.576,0.561,0.134
13,-3.642,0.013,-0.203,4.366,1.644,4.547,0.59,0.586,-0.792,-0.028,1.178,1.566,1.86,1.0,2.094,-2.011,-1.337,1.143,-0.733,0.659,0.005
14,-4.289,-0.229,-0.122,4.506,1.646,4.961,0.497,0.633,0.093,-0.114,1.347,1.716,1.736,1.0,3.391,-2.329,-1.214,0.961,-0.518,-0.529,0.373
15,-3.547,-0.22,-0.219,4.623,1.478,4.454,0.754,0.554,-0.588,-0.222,1.588,1.522,1.525,1.0,2.421,-2.092,-1.369,0.976,-0.751,0.282,0.233
16,-4.224,-0.036,-0.074,4.612,1.533,5.17,0.66,0.486,-0.135,-0.245,1.166,1.797,1.843,1.0,2.748,-2.298,-1.411,0.938,-0.669,0.049,0.214
17,-3.863,-0.091,0.391,3.674,0.934,4.275,-0.133,0.641,-0.215,0.065,1.17,1.563,1.765,1.0,3.048,-2.106,-0.913,0.886,-0.091,-0.396,0.631
18,-3.843,0.038,0.293,3.796,1.443,4.595,0.684,0.824,-0.425,-0.161,0.799,1.72,1.983,1.0,2.422,-2.216,-1.41,0.96,-0.544,0.298,0.149
19,-4.048,-0.17,-0.097,4.928,1.268,4.814,0.422,0.587,-0.775,-0.625,1.414,1.552,1.615,1.0,2.093,-2.525,-1.539,0.961,-0.77,0.741,0.271
20,-5.821,-0.183,0.543,4.173,1.396,6.247,0.677,0.605,0.271,-1.097,0.362,1.96,1.713,1.0,3.512,-3.743,-1.589,1.004,-0.632,-0.856,0.193
21,-3.722,0.077,-0.222,4.154,1.338,4.293,0.656,0.76,0.218,0.219,1.676,1.68,1.334,1.0,3.299,-1.994,-0.723,0.741,-0.427,-0.713,0.509
22,-4.73,-0.139,0.24,4.219,1.601,5.232,0.013,0.739,0.098,-0.029,1.302,1.576,1.972,1.0,3.653,-2.474,-1.2,0.959,-0.374,-0.678,0.336
23,-3.76,-0.171,0.298,3.089,1.373,4.639,0.055,0.835,-0.87,-0.156,0.362,1.669,1.941,1.0,2.497,-2.192,-1.183,0.993,-0.683,0.024,0.278
24,-4.265,0.077,0.107,3.843,1.336,5.096,0.756,0.866,-0.105,-0.415,0.735,1.805,1.747,1.0,3.02,-2.461,-1.279,1.089,-0.522,-0.296,0.375
25,-3.509,-0.021,-0.291,4.757,1.503,4.378,0.685,0.562,-0.53,-0.036,1.378,1.583,1.82,1.0,2.308,-1.871,-1.336,0.921,-0.683,0.552,0.142
26,-3.965,0.001,-0.076,4.145,1.457,4.8,0.636,0.922,-0.404,-0.255,1.282,1.674,1.86,1.0,2.876,-2.433,-1.246,1.11,-0.477,0.173,0.085
27,-3.67,-0.311,-0.152,4.192,1.273,4.64,0.744,0.744,-1.103,-0.915,0.948,1.614,1.292,1.0,1.962,-2.237,-1.431,0.877,-0.917,0.607,0.066
