x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,y,x17,x18,x19,x20
-0.048,-0.393,1.571,-0.309,0.551,0.58,-0.579,0.995,4.438,-0.203,0.209,1.121,1.028,-0.702,0.657,3.289,1.0,0.618,-1.292,-1.334,0.535
0.044,-0.611,1.537,0.05,0.877,0.696,0.088,1.041,4.635,0.127,0.012,0.888,0.781,-0.834,0.903,2.626,1.0,0.411,-0.297,-1.39,-0.126
0.329,-0.534,1.65,-0.174,0.616,0.365,-0.404,1.081,4.535,-0.128,-0.036,1.289,0.862,-0.916,0.76,3.127,1.0,0.846,-1.448,-1.362,0.325
0.118,-0.591,1.332,-0.085,0.355,0.448,-0.199,0.949,4.599,-0.107,0.105,0.769,0.943,-0.516,0.406,2.811,1.0,0.622,-1.289,-1.634,0.475
0.069,-0.377,1.412,-0.164,0.761,0.558,-0.693,0.889,4.404,-0.233,0.127,0.834,0.923,-0.505,0.809,2.604,1.0,0.457,-0.968,-1.555,0.362
-0.339,-0.333,1.401,-0.173,0.388,0.61,0.118,0.927,4.87,0.144,0.182,1.027,0.955,-0.908,0.602,3.648,1.0,0.734,-1.197,-1.317,-0.012
0.019,-0.295,1.533,-0.023,0.506,0.588,0.014,0.839,4.368,0.182,0.185,0.733,0.846,-0.53,0.64,2.887,1.0,0.776,-1.158,-1.21,0.173
0.066,-0.397,1.377,-0.302,0.568,0.475,-0.625,1.02,4.307,-0.393,0.597,1.3,0.693,-0.559,0.9,2.943,1.0,0.362,-1.293,-1.414,0.556
0.035,-0.425,1.39,-0.183,0.578,0.421,-0.775,0.975,4.339,-0.226,0.373,1.265,0.717,-0.458,0.827,2.979,1.0,0.605,-1.791,-1.247,0.921
0.003,-0.416,1.386,-0.14,0.381,0.737,-0.641,0.959,4.094,0.053,0.259,1.146,0.7,-0.279,0.776,2.876,1.0,0.323,-1.444,-1.076,0.665
-0.087,-0.403,1.282,-0.006,0.504,0.511,-0.391,0.77,4.309,-0.012,0.176,0.547,0.745,-0.362,0.556,3.177,1.0,0.466,-1.413,-1.04,0.568
-0.079,-0.288,1.639,-0.077,0.781,0.694,0.56,0.999,4.921,0.155,0.062,0.776,1.112,-0.95,0.777,3.224,1.0,0.427,-0.342,-1.477,-0.416
0.075,-0.516,1.386,-0.02,0.537,0.599,-0.515,1.238,4.185,0.102,-0.179,1.132,0.904,-0.87,0.66,2.92,1.0,0.666,-1.254,-1.061,0.394
0.2,-0.523,1.601,-0.105,0.727,0.73,-0.549,0.954,4.358,-0.059,0.109,0.831,0.852,-0.644,0.666,2.702,1.0,0.561,-0.758,-1.326,0.262
0.426,-0.233,1.148,-0.034,0.351,0.443,-0.925,1.162,4.134,-0.219,0.355,1.12,0.53,-0.411,0.796,2.867,1.0,0.625,-1.994,-1.118,0.863
0.227,-0.415,1.495,0.131,0.6,0.695,-0.033,0.936,4.629,0.106,0.067,0.412,0.7,-0.787,0.632,2.853,1.0,0.589,-0.638,-1.403,-0.086
0.089,-0.445,1.618,-0.122,0.679,0.622,-0.38,0.909,4.465,0.098,-0.075,0.804,0.902,-0.46,0.821,2.85,1.0,0.667,-1.219,-1.238,0.453
0.204,-0.396,1.547,-0.131,0.468,0.604,-0.263,1.032,4.667,-0.126,0.34,0.954,0.689,-0.558,0.86,2.957,1.0,0.694,-1.173,-1.59,0.236
-0.216,-0.499,1.529,-0.137,0.396,0.484,-0.775,0.815,4.379,-0.256,0.247,0.99,0.666,-0.034,0.533,3.153,1.0,0.642,-1.852,-1.329,0.91
-0.001,-0.311,1.309,-0.196,0.551,0.591,-0.273,0.861,3.938,-0.111,0.411,0.838,0.777,-0.424,0.599,2.626,1.0,0.584,-1.251,-1.22,0.432
0.35,-0.394,1.276,-0.171,0.646,0.576,-0.795,1.176,3.853,-0.125,0.225,1.38,0.608,-0.442,0.882,2.451,1.0,0.432,-1.297,-1.202,0.549
-0.289,-0.455,1.487,-0.127,0.496,0.719,-0.447,0.977,4.429,0.011,0.172,1.276,0.752,-0.526,0.726,3.007,1.0,0.206,-1.201,-1.195,0.405
0.203,-0.488,1.199,0.171,0.59,0.459,-0.374,1.094,3.859,0.006,0.016,0.588,0.648,-0.502,0.837,2.385,1.0,0.733,-1.152,-1.09,0.388
0.349,-0.638,1.579,-0.211,0.946,0.523,-0.344,0.957,4.472,-0.174,0.171,0.882,0.873,-0.5,0.754,2.651,1.0,0.769,-1.041,-1.157,0.326
0.088,-0.355,1.493,0.039,0.347,0.666,-0.433,1.113,4.271,-0.0,-0.227,1.151,1.023,-0.591,0.562,3.058,1.0,0.71,-1.689,-1.155,0.506
0.217,-0.577,1.772,-0.206,0.856,0.487,0.079,1.039,4.792,0.003,0.044,1.085,0.886,-1.047,0.714,2.826,1.0,0.593,-0.297,-1.355,-0.166
-0.034,-0.278,1.34,-0.215,0.562,0.518,-0.408,1.033,4.639,-0.131,0.166,0.977,0.779,-0.248,0.811,3.147,1.0,0.679,-1.368,-1.352,0.586
-0.257,-0.261,1.505,-0.142,0.281,0.527,-0.262,0.901,5.052,-0.038,0.094,0.577,0.957,-0.147,0.681,3.705,1.0,0.66,-1.779,-1.362,0.463
-0.069,-0.338,1.765,-0.202,0.696,0.536,-0.13,0.829,4.692,0.15,0.099,0.783,0.94,-0.619,0.761,3.18,1.0,0.627,-0.909,-1.309,0.165
0.023,-0.261,1.4,-0.3,0.238,0.375,-0.621,0.833,3.978,-0.14,0.337,1.112,0.931,-0.163,0.62,2.845,1.0,0.797,-1.67,-1.171,0.598
-0.171,-0.588,1.409,-0.163,0.609,0.664,-0.611,0.68,4.339,0.045,0.268,0.775,0.808,-0.191,0.526,2.562,1.0,0.624,-1.197,-1.301,0.638
0.304,-0.431,1.599,-0.175,0.545,0.491,-0.192,1.053,4.364,-0.018,0.144,0.979,0.755,-0.794,0.654,2.921,1.0,0.765,-0.967,-1.402,0.002
0.173,-0.537,1.403,0.0,0.502,0.446,-0.949,1.045,3.871,-0.099,0.187,0.85,0.748,-0.243,0.549,2.445,1.0,0.608,-1.397,-1.085,0.851
0.316,-0.615,1.45,-0.351,0.847,0.643,-0.353,1.068,4.149,0.041,0.388,0.771,0.571,-0.3,0.892,2.374,1.0,0.504,-0.754,-1.108,0.445
0.055,-0.39,1.441,-0.052,0.388,0.625,-0.525,0.849,4.283,-0.058,0.066,1.036,0.878,-0.622,0.757,2.957,1.0,0.378,-1.56,-1.189,0.628
