Unnamed: 0,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,y,x20
0,0.092,0.298,2.073,1.193,-2.667,-0.105,2.783,-2.131,0.164,0.501,-0.105,-0.222,0.692,0.423,2.786,0.512,-1.107,1.077,-0.01,1.0,0.979
1,-0.46,-0.443,0.745,0.18,-1.4,0.054,1.928,-0.951,0.573,-0.043,0.247,-0.205,0.743,0.337,1.028,0.586,0.117,-0.018,-0.546,1.0,0.229
2,-0.071,-0.253,1.296,0.582,-1.967,-0.136,1.959,-1.244,0.204,0.122,0.165,-0.279,0.713,0.512,1.859,0.431,-0.343,0.206,-0.219,1.0,0.924
3,-0.296,0.199,2.156,1.381,-2.798,-0.484,3.28,-2.758,0.548,0.39,-0.305,-0.14,0.451,0.185,2.833,0.635,-1.203,0.927,-0.216,1.0,0.761
4,0.421,-0.017,1.843,1.336,-2.32,-0.276,2.097,-1.536,0.107,0.001,-0.108,-0.066,0.358,0.651,2.604,0.344,-0.883,0.518,0.021,1.0,0.862
5,-0.668,-0.102,1.562,0.864,-2.59,-0.218,2.511,-1.841,0.421,0.332,0.236,-0.163,0.763,0.46,2.401,0.473,-0.893,0.806,-0.486,1.0,0.441
6,-0.274,-0.26,1.089,0.29,-1.629,0.206,2.78,-1.333,0.502,0.197,0.418,-0.409,0.948,0.56,1.28,0.496,-0.337,0.666,-0.591,1.0,0.626
7,0.332,-0.26,1.613,0.853,-1.737,-0.29,2.852,-1.822,0.333,0.358,0.015,-0.179,0.608,0.416,2.146,0.532,-0.686,0.627,-0.177,1.0,1.01
8,-0.747,-0.167,1.181,0.386,-1.73,-0.071,2.163,-1.497,0.312,-0.29,0.332,-0.109,0.546,0.628,1.34,0.253,-0.228,0.06,-0.639,1.0,0.348
9,-0.478,-0.378,1.384,0.718,-2.339,-0.069,2.217,-1.474,0.603,0.32,-0.025,-0.203,0.592,0.121,1.763,0.685,-0.442,0.488,-0.417,1.0,0.001
10,-0.915,-0.252,1.467,0.64,-2.15,-0.05,1.952,-1.584,0.452,0.089,0.104,-0.01,0.735,0.318,1.813,0.557,-0.469,0.202,-0.79,1.0,-0.208
11,-0.594,-0.028,1.793,1.107,-3.313,-0.193,3.136,-2.579,0.824,0.605,-0.128,-0.464,0.514,0.098,2.489,0.676,-1.151,1.113,-0.258,1.0,0.134
