x0,x1,x2,x3,x4,x5,x6,x7,y,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20
-7.853,-3.804,0.187,4.918,-0.537,2.554,0.686,4.003,1.0,-1.042,-2.989,-0.581,1.416,1.582,0.022,0.491,1.558,0.009,1.447,0.307,2.909
-8.348,-4.141,0.028,5.027,-0.67,2.446,0.199,4.339,1.0,-1.141,-2.997,-0.634,1.272,1.722,-0.449,0.549,1.635,0.085,1.447,0.609,2.847
-6.852,-2.838,0.216,4.185,-0.637,2.205,0.811,3.424,1.0,-0.793,-2.465,-0.19,1.515,1.236,0.029,0.603,1.81,0.217,1.304,0.622,2.634
-6.824,-2.893,0.413,3.888,-0.481,2.408,0.893,3.53,1.0,-0.989,-1.898,-0.11,1.05,1.288,-0.521,0.466,1.666,0.242,1.754,0.557,2.573
-7.017,-4.678,0.525,3.923,-0.452,2.175,0.326,4.33,1.0,-0.987,-1.755,-0.793,0.9,1.591,-0.38,0.303,1.257,0.135,1.614,0.547,2.66
-7.598,-4.319,0.293,4.53,-0.293,2.413,0.574,4.248,1.0,-0.843,-2.594,-0.847,1.055,1.829,-0.542,0.459,1.731,0.233,1.467,0.797,2.803
-6.458,-3.584,0.114,3.752,-0.557,2.19,1.149,3.839,1.0,-0.357,-1.989,0.015,1.656,0.998,0.336,0.239,1.46,0.101,1.791,0.595,2.412
-6.209,-4.036,0.184,3.541,-0.51,2.081,0.303,4.511,1.0,-1.356,-1.985,-0.89,1.169,1.625,-0.227,0.471,1.403,0.196,1.232,0.594,2.306
-7.07,-3.336,0.337,4.189,-0.536,2.369,0.815,3.789,1.0,-0.863,-2.666,-0.274,1.381,1.327,-0.101,0.682,1.521,0.206,1.645,0.812,2.577
-7.042,-3.748,0.062,3.984,-0.575,2.269,0.827,4.161,1.0,-0.946,-2.538,-0.421,1.365,1.522,0.011,0.533,1.876,0.255,1.59,0.612,2.62
-7.77,-4.253,0.282,4.645,-0.251,2.294,1.593,4.268,1.0,-0.55,-2.715,-0.261,1.429,1.219,0.039,0.354,1.598,-0.084,1.558,0.368,2.759
-7.73,-3.764,0.179,4.494,-0.561,2.385,0.371,4.045,1.0,-0.986,-2.555,-0.454,1.31,1.54,-0.174,0.674,1.236,-0.222,1.406,0.762,2.899
-7.392,-3.963,0.442,4.336,-0.423,2.224,0.687,3.801,1.0,-0.864,-2.441,-0.503,0.977,1.65,-0.246,0.415,1.691,0.212,1.572,0.669,2.908
-7.197,-3.544,0.313,4.247,-0.393,2.177,0.359,3.759,1.0,-0.832,-2.711,-0.797,0.908,1.652,-0.624,0.62,1.834,0.378,1.362,0.772,2.854
-7.689,-4.138,0.316,4.36,-0.538,2.281,0.663,4.52,1.0,-0.844,-2.823,-0.559,1.02,1.55,-0.385,0.494,1.683,0.263,1.156,0.67,2.687
-6.451,-3.338,0.049,3.803,-0.648,2.298,0.487,3.68,1.0,-1.09,-2.071,-0.449,1.284,1.381,-0.111,0.399,1.565,0.235,1.423,0.748,2.488
-6.501,-3.122,0.216,3.679,-0.636,2.245,0.393,3.762,1.0,-1.113,-1.888,-0.535,1.22,1.584,-0.266,0.43,1.541,0.151,1.67,0.439,2.521
-6.332,-2.694,0.243,3.893,-0.611,2.186,0.614,3.295,1.0,-0.816,-2.126,-0.639,1.051,1.262,-0.177,0.416,1.626,0.355,1.549,0.676,2.587
-7.318,-3.732,0.484,3.999,-0.304,1.782,1.759,3.805,1.0,-0.279,-2.531,-0.067,1.391,0.912,0.169,0.746,1.593,0.042,1.567,0.541,2.776
-6.816,-3.543,0.355,4.116,-0.525,2.26,0.436,3.941,1.0,-0.856,-2.311,-0.724,0.893,1.471,-0.242,0.441,1.538,0.062,1.507,0.484,2.62
-6.109,-3.076,0.414,3.87,-0.502,2.172,0.169,3.506,1.0,-0.779,-2.159,-1.169,0.748,1.545,-0.454,0.671,1.352,0.273,1.27,0.93,2.602
-6.655,-3.542,0.074,4.286,-0.663,2.249,0.285,3.79,1.0,-0.947,-2.644,-0.781,1.215,1.763,-0.51,0.502,1.769,0.356,1.542,0.716,2.327
-6.745,-4.169,0.165,3.903,-0.504,2.265,0.712,4.346,1.0,-0.742,-2.5,-0.573,1.176,1.361,-0.2,0.58,1.772,0.378,1.393,1.026,2.322
-7.373,-4.799,0.361,4.216,-0.356,1.985,1.321,4.542,1.0,-0.666,-2.638,-0.751,1.111,1.404,0.034,0.605,1.419,0.093,1.725,0.426,2.612
-6.249,-4.552,0.266,3.338,-0.695,2.185,0.582,4.478,1.0,-1.053,-1.837,-0.609,1.244,1.667,-0.318,0.468,1.651,0.311,1.426,0.42,2.314
-6.674,-3.937,0.156,3.803,-0.569,2.316,0.764,4.325,1.0,-0.87,-2.361,-0.539,1.253,1.443,-0.251,0.476,1.573,0.118,1.553,0.736,2.336
-6.621,-2.977,0.454,3.925,-0.463,2.044,1.03,3.359,1.0,-0.693,-2.296,-0.434,1.198,0.985,0.108,0.508,1.554,0.202,1.687,0.486,2.512
-7.93,-4.292,0.299,4.437,-0.351,2.288,1.161,4.444,1.0,-0.845,-2.602,-0.256,1.182,1.186,-0.14,0.537,1.46,0.036,1.626,0.671,2.813
-6.588,-3.732,0.577,3.597,-0.299,2.249,0.661,3.968,1.0,-1.085,-1.638,-0.902,0.651,1.372,-0.201,0.476,1.323,0.053,1.499,0.689,2.64
-8.094,-4.817,0.207,4.902,-0.49,2.581,0.726,4.548,1.0,-0.942,-2.881,-0.785,1.337,1.732,-0.277,0.517,1.784,0.148,1.662,0.779,2.969
-8.273,-4.022,0.168,4.656,-0.688,2.673,0.502,4.342,1.0,-0.899,-3.021,-0.288,1.399,1.524,-0.208,0.461,1.671,0.134,1.532,0.945,3.044
-7.743,-3.591,0.276,4.573,-0.582,2.392,0.996,3.687,1.0,-0.754,-2.788,-0.211,1.186,0.931,0.007,0.495,1.348,0.1,1.367,0.84,2.935
-7.66,-3.943,0.546,4.483,-0.344,2.168,1.007,4.07,1.0,-0.797,-2.884,-0.762,0.886,1.377,-0.232,0.747,1.54,0.107,1.363,0.687,2.861
-7.777,-2.684,0.216,4.679,-0.697,2.57,0.298,3.622,1.0,-0.983,-2.87,-0.798,0.999,1.517,-0.315,0.493,1.649,0.155,1.321,0.876,2.956
-6.811,-3.565,0.042,3.793,-0.657,2.339,0.455,4.079,1.0,-0.848,-2.397,-0.556,1.248,1.608,-0.243,0.534,1.613,0.144,1.597,0.658,2.465
-7.299,-4.178,0.019,4.446,-0.632,2.456,0.79,4.378,1.0,-0.976,-2.929,-0.612,1.45,1.552,-0.1,0.655,1.461,0.12,1.462,0.668,2.548
-8.354,-5.015,0.292,4.654,-0.581,2.492,0.733,5.075,1.0,-0.783,-3.217,-0.523,1.208,1.637,-0.079,0.587,1.705,0.296,1.325,0.733,3.0
-5.555,-4.401,0.352,2.94,-0.475,2.155,0.628,4.483,1.0,-0.66,-1.498,-0.456,1.14,1.394,-0.403,0.319,1.353,0.169,1.355,0.456,1.999
-6.345,-2.928,0.31,3.523,-0.606,2.231,0.605,3.482,1.0,-0.744,-2.056,-0.329,1.081,1.076,-0.209,0.409,1.564,0.288,1.326,0.709,2.392
-6.099,-3.951,0.24,3.511,-0.481,2.078,1.06,4.186,1.0,-0.714,-2.253,-0.56,1.337,1.427,-0.008,0.605,1.617,0.246,1.315,0.636,2.268
-6.502,-4.297,-0.045,3.6,-0.686,2.119,0.355,4.543,1.0,-0.979,-2.553,-0.582,1.291,1.578,-0.225,0.565,1.593,0.299,1.298,0.897,2.417
-6.549,-4.686,0.542,3.766,-0.125,1.851,1.274,4.411,1.0,-0.579,-2.131,-0.853,0.803,1.202,0.151,0.67,1.565,0.354,1.631,0.585,2.403
-6.761,-5.06,0.41,3.464,-0.416,2.065,0.959,4.788,1.0,-0.588,-1.824,-0.513,1.144,1.289,0.073,0.437,1.304,0.151,1.782,0.54,2.473
-7.714,-3.504,0.099,4.697,-0.691,2.574,0.228,3.909,1.0,-1.122,-2.727,-0.486,1.136,1.706,-0.357,0.37,1.405,-0.003,1.362,0.476,2.891
-7.2,-3.928,0.15,4.233,-0.654,2.383,0.346,4.372,1.0,-1.073,-2.411,-0.681,1.206,1.506,-0.391,0.501,1.703,0.43,1.286,0.577,2.551
-5.808,-3.694,0.046,3.382,-0.664,2.118,0.43,4.21,1.0,-1.021,-2.208,-0.82,1.344,1.524,0.164,0.545,1.478,0.411,1.282,0.666,2.197
-8.14,-4.605,0.178,4.778,-0.653,2.381,0.965,4.574,1.0,-0.978,-2.918,-0.515,1.469,1.585,0.1,0.544,1.533,0.104,1.345,0.82,2.956
-8.334,-4.28,0.132,4.863,-0.697,2.526,0.451,4.449,1.0,-0.851,-3.206,-0.61,1.195,1.775,-0.704,0.534,1.667,0.234,1.441,0.815,2.994
-6.568,-3.138,0.524,3.576,-0.532,2.144,0.78,3.516,1.0,-0.709,-1.883,-0.442,0.97,1.352,-0.1,0.439,1.673,0.182,1.439,0.652,2.627
-7.166,-4.622,0.075,4.17,-0.631,2.227,0.756,4.95,1.0,-0.887,-2.578,-0.732,1.429,1.595,0.069,0.46,1.552,0.099,1.479,0.664,2.604
-7.368,-3.601,0.177,4.387,-0.688,2.416,0.409,4.012,1.0,-1.052,-2.626,-0.577,1.321,1.43,-0.064,0.462,1.739,0.071,1.657,0.695,2.641
-6.772,-4.249,0.26,3.673,-0.343,1.972,0.979,4.31,1.0,-0.755,-2.308,-0.247,1.221,1.13,0.07,0.52,1.749,0.437,1.605,0.819,2.352
