x0,x1,x2,x3,x4,x5,x6,y,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20
-0.164,-0.312,0.758,-3.123,-0.166,7.65,3.833,1.0,-0.658,-3.717,1.833,0.433,4.47,3.092,0.554,8.99,-0.004,0.138,-0.474,-1.418,1.439
-0.119,-0.215,0.466,-2.638,-0.36,6.956,3.41,1.0,-0.647,-3.788,1.724,0.491,3.748,2.725,0.658,8.249,-0.032,0.351,-0.835,-1.749,2.039
0.063,-0.162,0.502,-2.402,-0.659,7.283,2.812,1.0,-0.471,-3.722,1.593,0.533,3.828,2.232,0.753,9.277,-0.072,0.372,-0.164,-1.204,1.45
-0.232,-0.494,0.817,-3.17,-0.452,7.279,3.414,1.0,-0.503,-3.116,1.853,0.374,4.275,3.075,0.585,7.897,0.03,0.152,-0.353,-1.441,1.505
-0.08,-0.485,0.62,-2.883,-0.339,6.705,3.388,1.0,-0.479,-3.494,1.492,0.515,3.761,2.587,0.756,6.471,0.203,0.373,-0.258,-1.519,1.606
-0.079,-0.213,0.68,-4.042,-0.37,8.506,4.243,1.0,-0.658,-4.279,2.038,1.111,5.197,3.678,0.954,7.827,-0.126,0.19,-0.393,-2.024,1.512
0.137,-0.464,0.771,-3.443,-0.864,8.505,3.71,1.0,-0.498,-3.444,1.791,1.223,5.068,3.11,1.252,7.889,-0.05,0.548,0.517,-1.383,1.426
-0.118,-0.679,0.096,-1.975,-0.494,5.916,2.707,1.0,-0.131,-4.04,1.31,0.28,2.898,1.98,0.634,8.683,0.129,0.284,-1.193,-1.381,2.302
-0.137,-0.507,0.37,-3.144,-0.658,8.116,3.515,1.0,-0.525,-4.716,1.799,0.625,4.498,2.893,0.889,7.874,0.208,0.262,-0.179,-1.328,1.667
-0.403,-0.574,0.313,-3.504,-0.939,8.584,3.79,1.0,-0.734,-4.471,1.99,1.313,5.011,3.296,1.509,7.667,-0.122,0.525,0.072,-1.601,1.571
-0.04,-0.476,0.523,-3.324,-0.394,8.104,3.865,1.0,-0.711,-3.948,1.652,0.651,4.687,3.043,0.811,8.614,-0.042,0.213,-0.105,-1.413,1.455
-0.348,-0.393,0.592,-3.348,-0.387,8.066,3.913,1.0,-0.523,-3.685,1.963,0.715,4.81,3.265,0.882,7.752,-0.094,0.105,-0.049,-1.4,1.38
-0.058,-0.429,0.929,-3.423,-0.298,8.09,3.726,1.0,-0.486,-3.445,1.971,0.332,4.722,3.372,0.768,7.908,0.208,0.446,0.356,-1.345,1.171
-0.254,-0.405,0.772,-2.925,-0.397,7.803,3.054,1.0,-0.382,-3.787,1.801,0.609,4.306,2.776,0.771,8.669,0.101,0.174,-0.1,-1.298,1.494
0.006,-0.424,0.599,-3.338,-0.546,7.604,3.648,1.0,-0.548,-3.05,1.907,0.94,4.588,3.177,1.073,7.164,0.005,0.369,-0.124,-1.323,1.506
0.002,-0.576,0.421,-3.122,-0.614,7.82,3.514,1.0,-0.5,-3.627,1.933,1.17,4.351,2.867,1.151,8.224,-0.137,0.59,-0.285,-1.851,1.826
-0.169,-0.446,0.537,-3.147,-0.696,7.022,3.479,1.0,-0.581,-3.342,1.876,0.916,4.239,2.882,1.083,7.236,0.164,0.296,-0.352,-1.305,1.799
-0.295,-0.392,0.614,-3.696,-0.699,7.847,4.081,1.0,-0.585,-4.088,2.076,1.103,4.915,3.507,1.234,8.535,-0.098,0.172,-0.985,-1.973,2.0
0.011,-0.409,0.305,-3.003,-1.007,7.741,3.1,1.0,-0.656,-4.299,1.5,1.579,4.289,2.503,1.417,7.768,0.086,0.573,0.178,-1.331,1.395
-0.183,-0.568,0.823,-3.655,-0.435,7.497,3.966,1.0,-0.4,-3.36,2.034,0.655,4.616,3.679,1.033,7.62,0.095,0.499,-0.561,-2.058,1.809
-0.088,-0.241,0.729,-2.814,-0.234,7.797,3.216,1.0,-0.594,-3.155,1.694,0.511,4.516,2.696,0.705,7.705,0.037,0.255,0.378,-1.313,1.191
-0.417,-0.246,0.554,-3.022,-0.649,7.58,3.699,1.0,-0.757,-3.707,1.727,0.769,4.319,3.128,1.009,8.397,-0.061,0.165,-0.351,-1.36,1.724
0.02,-0.412,0.336,-2.588,-0.542,7.292,2.852,1.0,-0.625,-3.937,1.381,0.648,3.9,2.247,0.908,8.631,0.28,0.333,-0.108,-1.087,1.461
0.204,-0.468,-0.057,-2.237,-1.143,6.35,2.572,1.0,-0.523,-3.825,1.163,1.394,3.251,1.777,1.463,7.95,0.095,0.602,-0.678,-1.702,1.8
