Unnamed: 0,x0,x1,x2,x3,x4,y,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20
0,-0.543,6.82,0.447,-0.189,2.011,1.0,0.241,-0.686,-0.81,8.417,5.088,-0.663,0.061,0.509,-0.645,0.347,-6.649,-0.18,1.03,-5.561,0.08
1,-0.265,6.541,0.202,0.118,1.651,1.0,0.226,-0.213,-0.665,7.703,4.954,-0.528,0.095,0.555,0.087,0.322,-6.181,-0.29,1.001,-5.07,0.184
2,-0.756,6.918,0.47,0.344,2.497,1.0,0.099,-0.369,-1.253,8.386,6.222,-0.467,0.119,0.894,-0.263,0.287,-6.785,-0.593,1.048,-6.326,0.275
3,-0.686,6.455,0.459,0.298,2.382,1.0,0.215,-0.191,-1.19,7.617,6.026,-0.521,0.359,1.055,0.02,0.47,-6.242,-0.271,0.869,-5.762,0.121
4,-0.973,6.221,0.497,-0.42,1.967,1.0,0.358,-0.547,-1.269,7.398,4.307,-0.428,-0.01,0.535,-1.062,0.374,-5.967,-0.204,0.967,-5.255,-0.058
5,-0.282,6.981,0.62,-0.169,1.422,1.0,0.288,-0.376,-0.71,8.188,4.689,-0.651,-0.231,0.403,-0.115,0.181,-6.675,-0.014,0.995,-5.269,-0.155
6,-0.944,6.642,0.814,0.028,2.097,1.0,0.099,-0.472,-1.036,8.328,5.258,-0.383,0.227,0.757,-0.67,0.55,-6.503,-0.364,1.033,-5.73,0.259
7,-0.624,6.9,0.823,-0.052,2.262,1.0,0.304,-0.513,-1.196,8.283,6.104,-0.667,0.081,0.729,-0.074,0.259,-6.729,-0.171,0.975,-5.829,-0.125
8,-1.255,6.267,1.051,0.032,2.357,1.0,0.202,-0.244,-1.577,7.859,5.4,-0.584,0.133,1.088,-0.491,0.672,-5.967,-0.526,1.192,-5.396,0.172
9,-0.365,6.626,0.172,-0.171,2.178,1.0,0.219,-0.523,-0.918,8.081,5.824,-0.434,0.274,0.926,0.065,0.359,-6.516,-0.285,0.934,-5.523,-0.005
10,-0.225,6.939,0.88,-0.228,2.09,1.0,0.297,-0.563,-0.791,8.187,5.8,-0.782,0.147,0.812,0.117,0.273,-6.513,0.065,0.9,-5.688,-0.087
11,-0.453,6.473,0.422,-0.547,1.682,1.0,0.503,-0.512,-0.988,8.222,4.656,-0.465,0.03,0.605,-0.483,0.239,-6.279,-0.106,1.065,-5.219,0.024
12,-0.928,6.796,0.631,0.088,2.622,1.0,0.262,-0.277,-1.3,8.553,6.119,-0.437,0.24,0.998,-0.485,0.53,-6.769,-0.31,1.05,-6.409,0.039
13,-0.5,6.904,0.702,-0.793,1.418,1.0,0.411,-0.664,-0.916,8.343,4.416,-0.399,0.097,0.223,-0.786,0.309,-6.709,0.253,0.91,-5.463,-0.055
