x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,y,x15,x16,x17,x18,x19,x20
-0.787,-4.376,0.314,-0.537,-0.139,0.489,0.193,1.552,0.734,-0.389,0.59,0.775,-4.467,1.443,1.0,-0.092,-0.721,-0.276,-0.783,-0.151,2.305
-0.862,-2.707,0.151,-0.142,-0.18,0.376,-0.061,1.242,0.527,-0.406,0.331,0.594,-3.969,1.541,1.0,-0.27,-0.576,0.111,-0.725,-0.299,2.015
-0.502,-3.587,-0.017,-0.208,-0.167,0.435,0.19,1.271,0.54,-0.408,0.773,0.729,-4.134,1.518,1.0,-0.04,-0.687,0.215,-0.672,-0.195,2.004
-0.782,-3.881,0.32,-0.248,-0.063,0.689,0.192,0.965,0.509,-0.355,0.313,0.672,-4.755,1.597,1.0,-0.263,-1.172,-0.059,-0.804,-0.234,2.358
-0.199,-4.134,0.116,-0.384,-0.319,0.279,0.343,1.553,0.867,-0.168,0.807,0.771,-4.415,1.629,1.0,-0.16,-0.296,0.145,-0.522,-0.219,2.069
-0.395,-3.715,0.086,-0.413,-0.085,0.194,0.254,1.508,0.7,-0.21,0.581,0.865,-4.23,1.449,1.0,-0.301,-0.537,0.107,-0.11,-0.334,2.543
-0.911,-3.727,0.037,-0.519,-0.135,0.116,0.135,1.397,0.429,-0.702,0.437,0.63,-4.352,1.453,1.0,0.006,-0.988,0.118,-0.675,-0.653,1.931
-0.167,-3.29,0.111,0.093,-0.446,-0.065,0.441,1.761,0.749,-0.233,0.805,0.718,-4.221,1.586,1.0,-0.36,0.004,-0.012,-0.402,-0.04,2.302
-0.455,-2.26,0.127,-0.198,-0.293,0.081,0.245,1.433,0.683,-0.428,0.584,0.569,-4.057,1.418,1.0,-0.113,-0.36,-0.136,-0.727,-0.12,1.796
-0.524,-2.362,-0.017,-0.08,-0.401,0.026,0.088,1.661,0.563,-0.324,0.523,0.745,-4.253,1.6,1.0,-0.328,-0.005,0.337,-0.549,-0.04,2.277
-0.183,-2.561,0.135,-0.205,-0.371,-0.257,0.311,1.97,0.996,-0.428,1.031,0.85,-3.818,1.19,1.0,-0.115,0.351,0.168,-0.184,-0.03,2.227
-0.496,-3.605,0.011,-0.156,-0.307,0.227,0.415,1.568,0.638,-0.614,0.612,0.724,-4.142,1.596,1.0,-0.212,-0.386,0.226,-0.601,-0.201,1.877
-0.581,-3.588,0.14,-0.504,0.173,0.833,0.079,0.587,0.322,-0.102,0.018,0.604,-4.339,1.202,1.0,-0.035,-1.331,0.102,-0.657,-0.293,2.003
0.075,-2.295,0.087,0.087,-0.571,-0.376,0.189,1.723,0.847,-0.185,1.039,0.491,-3.761,1.383,1.0,-0.135,0.447,-0.022,-0.601,-0.207,1.915
