x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,y,x14,x15,x16,x17,x18,x19,x20
-5.035,0.051,0.471,3.356,1.33,5.486,0.508,0.426,0.249,-0.58,-0.135,1.696,2.164,1.0,3.092,-3.124,-1.674,0.754,-0.376,-0.733,0.488
-5.042,-0.34,0.53,3.585,1.539,5.904,0.559,0.659,-0.876,-1.019,-0.49,1.597,1.78,1.0,2.005,-3.138,-1.824,1.114,-1.003,0.275,-0.039
-4.658,-0.686,0.22,3.909,1.285,5.745,-0.019,0.651,-0.777,-0.92,-0.299,1.682,1.952,1.0,2.254,-2.816,-1.731,0.97,-0.942,0.399,0.172
-4.082,-0.329,-0.108,4.842,1.473,4.845,0.538,0.758,-0.932,-0.435,1.401,1.645,1.829,1.0,2.394,-2.383,-1.434,1.174,-0.869,0.834,0.17
-4.682,0.467,0.206,4.218,1.627,5.373,1.384,0.767,0.002,-0.225,0.961,1.702,2.079,1.0,3.134,-2.621,-1.417,1.018,-0.56,-0.262,0.374
-4.657,0.311,0.145,4.554,1.412,5.307,0.935,0.697,0.065,-0.463,1.128,1.604,1.644,1.0,3.154,-2.797,-1.529,1.113,-0.554,-0.151,0.631
-3.767,-0.089,-0.187,4.374,1.277,4.385,0.671,0.75,-0.422,0.014,1.678,1.595,1.564,1.0,2.669,-2.081,-1.008,1.051,-0.618,0.29,0.279
-4.731,0.017,0.255,3.623,1.29,5.71,0.938,0.361,-0.303,-0.773,-0.259,1.702,1.953,1.0,2.325,-3.008,-1.821,0.963,-0.726,0.133,0.178
-4.479,0.179,0.501,3.37,1.408,5.062,0.899,0.601,0.315,-0.024,0.523,1.802,2.166,1.0,3.711,-2.626,-0.998,0.944,-0.29,-0.987,0.409
-4.089,-0.071,-0.194,4.96,1.475,4.956,1.09,1.055,-0.593,-0.407,1.37,1.625,1.604,1.0,2.464,-2.359,-1.337,1.073,-0.764,0.521,0.168
