Unnamed: 0,x0,x1,x2,x3,x4,x5,x6,x7,x8,y,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20
0,0.021,-3.122,-4.487,0.273,0.656,0.306,-5.337,0.335,-0.4,1.0,0.7,-0.388,0.077,0.909,-1.455,1.324,0.454,-3.716,-3.867,0.118,4.155
1,0.126,-3.167,-3.4,0.115,0.733,0.294,-4.457,0.609,-0.41,1.0,0.732,-0.204,0.272,0.632,-1.63,1.051,0.363,-3.526,-3.529,0.33,4.038
2,0.223,-2.663,-3.385,0.053,1.066,0.304,-4.187,0.609,-0.333,1.0,0.927,-0.69,0.258,0.99,-1.309,1.327,0.559,-3.138,-2.519,0.371,3.109
3,0.093,-2.992,-4.181,0.299,0.605,0.353,-5.175,0.822,-0.533,1.0,0.788,-0.23,0.353,0.733,-1.389,1.16,0.481,-3.112,-3.251,0.168,3.571
4,-0.04,-3.031,-3.992,0.1,0.558,0.308,-4.738,0.453,-0.356,1.0,0.363,-0.546,0.264,0.543,-1.579,0.94,0.288,-2.911,-2.92,-0.141,3.348
5,0.115,-3.084,-3.638,0.309,0.213,0.251,-4.422,0.544,-0.275,1.0,0.683,-0.577,0.325,0.436,-1.572,1.259,0.406,-3.397,-3.411,-0.024,3.981
6,0.224,-2.873,-4.18,0.039,0.64,0.291,-4.849,0.321,-0.594,1.0,0.642,-0.391,-0.077,0.583,-1.442,1.256,0.564,-3.01,-2.851,-0.071,3.33
7,0.077,-3.385,-3.839,0.111,0.38,0.124,-4.444,0.044,-0.41,1.0,0.359,-0.637,-0.035,0.821,-1.506,1.512,0.519,-3.619,-3.732,-0.034,4.132
8,-0.077,-3.474,-3.698,0.431,0.66,0.104,-4.464,0.567,-0.182,1.0,0.594,-0.089,0.538,0.498,-1.871,0.861,0.336,-3.345,-3.686,0.012,4.387
9,-0.031,-2.975,-4.255,0.084,0.707,0.354,-4.662,0.172,-0.234,1.0,0.45,-0.569,0.016,0.824,-1.285,1.213,0.358,-2.921,-2.839,-0.046,3.277
10,0.046,-4.111,-4.128,0.276,0.417,0.358,-4.812,0.255,-0.338,1.0,0.601,-0.077,0.159,0.62,-1.828,1.303,0.591,-4.059,-5.026,0.004,5.682
11,0.042,-3.31,-3.613,0.399,0.43,0.051,-4.326,0.363,-0.481,1.0,0.473,-0.279,-0.125,0.613,-1.519,1.216,0.539,-3.66,-4.185,0.031,4.457
12,0.177,-3.578,-4.64,0.3,0.519,0.239,-4.953,0.108,-0.285,1.0,0.535,-0.56,-0.316,0.841,-1.474,1.548,0.668,-3.749,-3.725,0.049,4.311
