x0,x1,x2,x3,x4,y,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20
-0.543,6.82,0.447,-0.189,2.011,1.0,0.241,-0.686,-0.81,8.417,5.088,-0.663,0.061,0.509,-0.645,0.347,-6.649,-0.18,1.03,-5.561,0.08
-0.265,6.541,0.202,0.118,1.651,1.0,0.226,-0.213,-0.665,7.703,4.954,-0.528,0.095,0.555,0.087,0.322,-6.181,-0.29,1.001,-5.07,0.184
-0.756,6.918,0.47,0.344,2.497,1.0,0.099,-0.369,-1.253,8.386,6.222,-0.467,0.119,0.894,-0.263,0.287,-6.785,-0.593,1.048,-6.326,0.275
-0.686,6.455,0.459,0.298,2.382,1.0,0.215,-0.191,-1.19,7.617,6.026,-0.521,0.359,1.055,0.02,0.47,-6.242,-0.271,0.869,-5.762,0.121
-0.973,6.221,0.497,-0.42,1.967,1.0,0.358,-0.547,-1.269,7.398,4.307,-0.428,-0.01,0.535,-1.062,0.374,-5.967,-0.204,0.967,-5.255,-0.058
-0.282,6.981,0.62,-0.169,1.422,1.0,0.288,-0.376,-0.71,8.188,4.689,-0.651,-0.231,0.403,-0.115,0.181,-6.675,-0.014,0.995,-5.269,-0.155
-0.944,6.642,0.814,0.028,2.097,1.0,0.099,-0.472,-1.036,8.328,5.258,-0.383,0.227,0.757,-0.67,0.55,-6.503,-0.364,1.033,-5.73,0.259
-0.624,6.9,0.823,-0.052,2.262,1.0,0.304,-0.513,-1.196,8.283,6.104,-0.667,0.081,0.729,-0.074,0.259,-6.729,-0.171,0.975,-5.829,-0.125
-1.255,6.267,1.051,0.032,2.357,1.0,0.202,-0.244,-1.577,7.859,5.4,-0.584,0.133,1.088,-0.491,0.672,-5.967,-0.526,1.192,-5.396,0.172
-0.365,6.626,0.172,-0.171,2.178,1.0,0.219,-0.523,-0.918,8.081,5.824,-0.434,0.274,0.926,0.065,0.359,-6.516,-0.285,0.934,-5.523,-0.005
-0.225,6.939,0.88,-0.228,2.09,1.0,0.297,-0.563,-0.791,8.187,5.8,-0.782,0.147,0.812,0.117,0.273,-6.513,0.065,0.9,-5.688,-0.087
-0.453,6.473,0.422,-0.547,1.682,1.0,0.503,-0.512,-0.988,8.222,4.656,-0.465,0.03,0.605,-0.483,0.239,-6.279,-0.106,1.065,-5.219,0.024
-0.928,6.796,0.631,0.088,2.622,1.0,0.262,-0.277,-1.3,8.553,6.119,-0.437,0.24,0.998,-0.485,0.53,-6.769,-0.31,1.05,-6.409,0.039
-0.5,6.904,0.702,-0.793,1.418,1.0,0.411,-0.664,-0.916,8.343,4.416,-0.399,0.097,0.223,-0.786,0.309,-6.709,0.253,0.91,-5.463,-0.055
-0.808,6.723,0.165,-0.126,2.68,1.0,0.439,-0.514,-1.183,8.511,5.629,-0.295,0.337,0.991,-0.659,0.535,-6.659,-0.386,1.105,-6.362,0.072
-0.187,6.436,1.058,-0.349,1.736,1.0,0.183,-0.513,-0.863,7.999,5.117,-0.668,0.067,0.775,-0.065,0.232,-6.302,-0.002,0.937,-5.342,-0.062
0.089,7.291,0.359,-0.128,2.119,1.0,0.326,-0.642,-0.515,8.831,5.992,-0.494,0.267,0.254,-0.186,-0.001,-7.195,0.087,1.044,-6.343,-0.245
-0.483,7.197,0.31,0.185,2.044,1.0,0.162,-0.377,-0.736,8.874,5.808,-0.608,0.356,0.827,-0.073,0.2,-7.125,-0.189,1.168,-6.041,-0.047
0.06,6.897,0.626,-0.275,1.96,1.0,0.336,-0.607,-0.321,8.148,5.773,-0.753,-0.076,0.576,0.255,0.188,-6.649,0.191,1.247,-5.386,-0.343
-0.604,6.743,1.208,-0.184,2.285,1.0,0.242,-0.438,-1.028,8.224,5.63,-0.364,0.277,0.891,-0.481,0.438,-6.584,0.001,0.955,-6.066,0.135
-0.223,6.684,1.329,-0.184,1.679,1.0,0.469,-0.387,-0.672,7.799,4.964,-0.687,0.178,0.566,-0.133,-0.062,-6.2,0.262,1.019,-4.991,-0.18
-0.578,6.444,0.349,0.162,1.882,1.0,0.047,-0.337,-0.91,8.26,5.314,-0.595,0.176,0.593,-0.246,0.341,-6.478,-0.299,0.953,-5.488,0.196
-0.478,6.4,0.232,0.119,1.842,1.0,0.183,-0.42,-0.864,7.961,5.061,-0.585,-0.074,0.921,0.007,0.174,-6.344,-0.603,1.169,-4.946,0.015
-0.293,7.27,0.89,-0.257,1.825,1.0,0.095,-0.583,-0.758,8.911,5.767,-0.632,0.049,0.57,-0.322,0.012,-7.323,0.178,1.061,-6.134,0.028
-0.202,6.474,1.006,-0.085,1.983,1.0,0.271,-0.568,-0.68,7.787,5.084,-0.584,0.221,0.559,-0.181,0.114,-6.106,-0.002,0.853,-5.304,-0.238
-0.391,6.318,0.865,-0.303,2.143,1.0,0.332,-0.69,-0.912,7.885,5.005,-0.254,0.213,0.341,-0.922,0.164,-6.382,-0.042,0.944,-5.849,0.067
-1.02,6.083,1.215,-0.103,2.01,1.0,0.271,-0.361,-1.256,7.629,4.679,-0.358,0.191,0.713,-0.859,0.511,-5.882,-0.212,0.821,-5.207,0.039
-0.346,7.504,0.25,0.276,1.977,1.0,0.179,-0.362,-0.948,8.986,6.042,-0.554,0.243,0.688,0.002,0.112,-7.182,-0.462,1.196,-6.032,0.048
-0.596,7.727,0.265,-0.136,2.068,1.0,0.136,-0.429,-0.966,9.289,5.917,-0.409,0.032,0.847,-0.263,0.365,-7.598,-0.491,1.225,-6.511,0.122
-0.406,6.7,0.166,-0.028,1.751,1.0,0.179,-0.527,-0.898,8.042,4.813,-0.39,0.02,0.604,-0.446,0.196,-6.508,-0.246,1.068,-5.698,0.036
