x0,x1,x2,x3,y,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20
-5.612,-0.536,-2.254,0.201,1.0,-4.719,-0.789,3.648,0.074,-2.784,0.126,0.79,8.914,-2.038,2.227,0.297,-1.678,0.779,-0.945,0.182,-4.478
-5.69,-0.618,-1.391,0.178,1.0,-3.724,-0.542,4.15,-0.336,-2.615,0.898,1.062,7.799,-2.258,2.453,-0.221,-1.25,1.033,-0.82,0.153,-5.053
-4.992,-0.351,-0.285,0.295,1.0,-2.659,-0.573,3.786,-0.303,-2.773,1.108,2.021,7.251,-1.95,2.293,0.776,-1.529,0.287,-0.854,0.101,-3.507
-5.422,-0.957,-0.29,0.188,1.0,-3.048,-0.592,5.07,-0.795,-3.262,-0.816,1.945,8.69,-2.324,2.304,0.665,-1.656,0.23,-0.982,-0.18,-3.97
-5.237,-0.43,-1.373,0.233,1.0,-3.917,-0.885,4.798,-0.013,-3.072,1.766,0.937,7.78,-1.862,2.125,-0.022,-1.438,0.34,-1.031,-0.233,-4.334
-5.833,-0.617,-1.978,0.163,1.0,-4.495,-0.826,4.489,0.137,-2.871,0.21,0.466,7.938,-2.079,2.421,0.873,-1.625,0.677,-0.93,0.152,-4.053
-5.794,-0.635,-1.406,0.043,1.0,-4.1,-0.784,3.782,-0.212,-3.087,0.466,1.449,8.19,-2.223,2.272,0.083,-1.303,0.801,-0.961,0.204,-4.79
-5.149,-0.516,-0.698,0.082,1.0,-3.093,-0.577,3.859,-0.526,-2.89,-0.641,1.492,7.379,-1.885,2.116,-0.109,-1.408,0.653,-0.869,0.207,-4.392
-5.208,-0.591,-1.467,0.18,1.0,-3.726,-0.704,4.777,-0.114,-2.65,0.274,0.513,7.611,-2.029,2.429,-0.172,-1.14,0.602,-0.84,-0.081,-4.569
-5.437,-0.141,-1.824,0.154,1.0,-4.238,-0.733,4.185,0.162,-2.679,1.453,0.795,7.948,-2.08,2.28,0.459,-1.296,0.615,-0.899,0.133,-4.206
-5.47,-0.505,-1.305,0.071,1.0,-3.975,-0.594,3.568,0.054,-3.114,0.058,1.436,7.903,-2.26,2.19,0.519,-1.506,0.407,-0.901,-0.006,-4.016
-5.507,-0.625,-1.433,0.18,1.0,-4.023,-0.65,4.342,0.0,-2.782,0.407,1.269,8.244,-2.221,2.466,0.301,-1.374,0.679,-0.748,0.24,-4.256
-5.241,-0.515,-1.191,0.246,1.0,-3.424,-0.423,3.854,0.03,-2.633,0.635,1.644,8.409,-2.304,2.016,0.408,-1.388,0.296,-1.015,0.154,-4.239
-5.16,-0.484,-1.02,0.248,1.0,-3.955,-0.539,4.376,0.011,-3.161,-0.281,1.123,7.628,-1.867,2.202,0.603,-1.401,0.181,-0.879,0.16,-3.827
-5.057,-0.438,-1.537,0.024,1.0,-3.94,-0.867,4.403,0.044,-2.818,0.87,0.737,7.608,-2.019,2.449,0.112,-1.19,0.344,-0.914,-0.186,-4.066
-5.465,-0.46,-0.518,0.147,1.0,-3.317,-0.509,4.94,-0.427,-3.501,0.364,1.512,8.136,-1.939,2.442,0.254,-1.743,0.466,-0.891,-0.043,-4.156
