x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,y
0.129,0.59,-0.296,0.756,-0.605,0.25,0.267,-0.916,-0.065,-0.047,-0.512,0.686,-0.524,-0.471,-1.238,0.042,-0.534,0.698,-0.321,-0.448,1.0
0.471,0.307,0.12,0.617,-0.411,0.397,0.198,-0.794,0.028,0.22,-0.097,0.849,-0.041,-0.057,-1.167,-0.803,-0.478,0.797,-0.487,-0.64,1.0
0.086,0.292,0.426,0.205,-0.116,0.577,-0.054,-0.402,-0.263,0.112,0.325,1.078,-0.296,0.073,-1.036,-0.376,-0.694,0.101,-0.109,-0.074,1.0
0.586,0.502,0.12,0.725,-0.167,0.368,0.309,-0.83,-0.003,0.142,-0.102,0.832,-0.485,-0.062,-1.032,-0.604,-0.473,0.753,-0.496,-0.429,1.0
0.758,0.792,-0.13,0.761,-0.299,0.307,0.365,-0.885,0.245,0.208,-0.112,0.884,-0.464,-0.223,-1.431,-0.709,-0.519,1.197,-0.736,-0.778,1.0
0.288,0.26,0.196,0.658,-0.205,0.448,0.228,-0.845,0.199,0.27,0.039,0.866,-0.245,-0.172,-1.104,-0.507,-0.501,0.54,-0.418,-0.464,1.0
0.469,0.372,-0.061,0.695,-0.592,0.247,0.19,-0.69,0.449,0.166,-0.111,1.031,-0.213,-0.306,-0.85,-0.495,-0.531,0.822,-0.154,-0.296,1.0
0.24,-0.016,0.234,0.734,-0.078,0.376,0.222,-0.418,-0.242,-0.062,0.111,0.772,0.174,0.083,-1.265,-0.416,-1.01,0.156,-0.608,-0.61,1.0
0.125,0.359,-0.026,0.594,-0.319,0.508,0.164,-0.6,0.149,0.046,-0.029,0.964,-0.156,-0.345,-1.256,-0.294,-0.745,0.645,-0.564,-0.645,1.0
0.402,0.365,0.751,0.555,0.253,0.335,-0.071,-0.61,-0.342,0.174,0.525,1.205,-0.222,0.201,-1.349,-0.681,-0.916,0.535,-0.553,-0.666,1.0
0.271,0.227,0.152,0.68,-0.067,0.786,0.257,-0.752,-0.156,-0.028,0.125,0.824,-0.084,0.158,-1.59,-0.166,-1.067,0.217,-0.599,-0.726,1.0
0.768,0.164,0.092,0.598,-0.252,0.26,0.237,-0.907,-0.298,-0.096,-0.057,0.934,-0.206,-0.175,-1.037,-0.804,-0.74,0.94,-0.483,-0.414,1.0
0.103,0.226,-0.382,0.521,-0.753,0.324,0.175,-0.42,0.396,0.097,-0.317,0.959,-0.019,-0.582,-0.948,0.123,-0.509,0.213,-0.1,-0.202,1.0
0.22,0.29,0.653,0.594,-0.241,0.491,0.032,-0.772,-0.404,-0.066,0.306,1.383,-0.184,-0.125,-1.442,-0.546,-0.753,0.422,-0.597,-0.622,1.0
0.041,0.282,-0.207,0.637,-0.305,0.288,0.271,-0.899,0.368,0.086,-0.208,0.749,-0.11,-0.415,-1.353,0.275,-0.516,0.532,-0.429,-0.462,1.0
0.39,0.086,-0.078,0.532,-0.266,0.39,0.12,-0.582,-0.089,-0.023,0.018,0.869,-0.204,0.006,-1.055,-0.62,-0.89,0.452,-0.363,-0.404,1.0
0.411,0.449,-0.127,0.723,-0.117,0.138,0.16,-0.849,-0.087,0.225,-0.216,0.976,-0.255,-0.136,-1.021,-0.4,-0.477,0.722,-0.268,-0.427,1.0
0.476,0.443,0.143,0.648,-0.126,0.462,0.216,-0.834,-0.092,0.096,-0.003,1.052,-0.062,-0.13,-1.041,-0.649,-0.488,0.689,-0.233,-0.545,1.0
0.182,0.245,0.004,0.681,-0.128,0.487,0.274,-0.868,-0.094,-0.013,0.066,0.786,0.017,-0.125,-1.191,-0.452,-0.739,0.511,-0.302,-0.573,1.0
0.137,0.36,0.137,0.485,-0.459,0.523,0.126,-0.814,0.116,0.005,-0.112,0.971,-0.043,-0.402,-1.063,-0.305,-0.651,0.558,-0.327,-0.522,1.0
-0.022,0.187,-0.302,0.414,-0.379,0.629,0.203,-0.627,0.109,0.164,-0.167,0.868,-0.241,-0.204,-0.997,-0.126,-0.621,0.117,-0.115,-0.366,1.0
0.741,0.601,0.607,0.472,0.214,0.148,0.265,-0.714,-0.402,0.117,0.34,0.778,-0.387,0.219,-1.046,-1.27,-0.785,0.936,-0.306,-0.351,1.0
-0.201,0.319,0.076,0.35,-0.195,0.622,0.104,-0.596,0.188,0.182,-0.005,1.022,-0.055,-0.2,-1.088,-0.07,-0.54,0.11,-0.074,-0.255,1.0
0.527,0.526,0.283,0.517,0.165,0.285,0.422,-0.879,-0.522,0.108,0.067,0.788,-0.242,0.318,-1.316,-0.639,-0.949,0.713,-0.487,-0.355,1.0
0.476,0.196,0.85,0.817,0.472,0.551,0.307,-0.564,-0.656,0.052,0.589,0.827,-0.012,0.647,-1.433,-0.942,-1.312,0.353,-0.549,-0.742,1.0
0.466,0.084,0.602,0.525,0.237,0.503,0.189,-0.744,-0.365,0.096,0.263,0.969,-0.169,0.32,-1.286,-0.553,-0.781,0.164,-0.312,-0.487,1.0
0.012,0.442,0.042,0.667,-0.382,0.595,0.186,-0.482,-0.039,0.32,-0.099,0.92,-0.16,-0.169,-1.156,-0.142,-0.554,0.413,-0.388,-0.388,1.0
0.4,0.238,0.131,0.776,-0.127,0.742,0.156,-0.85,-0.103,0.016,-0.011,1.132,0.002,-0.055,-1.418,-0.199,-0.814,0.372,-0.599,-0.613,1.0
0.322,0.46,-0.149,0.456,-0.216,0.637,0.26,-0.756,0.243,0.187,-0.116,0.635,-0.45,-0.071,-0.867,-0.377,-0.496,0.459,-0.038,-0.292,1.0
-0.056,0.209,0.085,0.809,-0.219,0.46,0.191,-0.626,-0.084,-0.022,0.147,0.848,-0.192,-0.104,-1.173,-0.421,-0.985,0.383,-0.457,-0.446,1.0
0.2,0.285,-0.065,0.517,0.112,0.526,0.212,-1.006,-0.094,0.029,-0.005,0.701,-0.114,0.055,-0.939,-0.293,-0.893,0.445,-0.256,-0.273,1.0
-0.115,0.204,0.361,0.617,-0.179,0.733,0.23,-0.548,-0.51,-0.221,0.175,1.085,-0.049,0.068,-1.321,-0.203,-0.859,-0.051,-0.548,-0.774,1.0
0.699,0.541,0.087,0.741,-0.275,0.192,0.257,-1.049,0.052,0.186,-0.129,0.664,-0.341,-0.204,-1.001,-0.698,-0.504,1.178,-0.378,-0.371,1.0
0.326,0.274,0.602,0.834,-0.052,0.706,0.092,-0.653,-0.214,0.033,0.372,1.253,-0.144,0.117,-1.716,-0.618,-1.045,0.519,-0.886,-0.733,1.0
1.09,0.555,0.335,0.796,0.411,0.357,0.312,-1.06,-0.492,0.138,0.279,0.883,-0.197,0.408,-1.637,-1.1,-0.978,0.993,-0.641,-0.722,1.0
0.839,0.563,0.223,0.779,-0.504,0.182,0.272,-0.951,0.061,0.008,0.007,0.997,-0.277,-0.284,-1.4,-0.669,-0.628,1.119,-0.672,-0.746,1.0
0.754,0.188,0.527,0.625,0.454,0.303,0.05,-0.721,-0.495,0.169,0.416,1.015,-0.194,0.417,-1.46,-1.117,-1.18,0.55,-0.657,-0.514,1.0
0.8,0.308,0.118,0.788,0.108,0.362,0.414,-1.098,-0.598,-0.157,0.074,0.902,-0.154,0.272,-1.555,-0.625,-1.129,0.547,-0.765,-0.719,1.0
0.583,0.45,-0.089,0.764,-0.225,0.39,0.3,-1.165,0.299,0.167,-0.162,0.971,-0.218,-0.161,-1.256,-0.5,-0.621,0.856,-0.37,-0.461,1.0
0.214,0.021,0.108,0.668,-0.173,0.678,0.121,-0.983,-0.326,-0.054,0.063,1.189,-0.042,0.028,-1.485,-0.277,-0.929,0.367,-0.679,-0.704,1.0
0.633,0.335,0.133,0.611,0.076,0.535,0.259,-0.882,-0.058,0.091,0.019,1.024,-0.094,0.136,-0.853,-0.895,-0.745,0.73,-0.323,-0.302,1.0
0.204,0.148,0.317,0.504,-0.0,0.564,-0.131,-0.689,-0.436,-0.012,0.272,1.139,0.003,0.139,-1.425,-0.349,-1.093,0.089,-0.561,-0.495,1.0
0.814,0.536,0.397,0.737,0.108,0.116,0.221,-1.309,-0.192,0.174,0.091,1.039,-0.291,0.095,-1.65,-0.942,-0.757,1.204,-0.748,-0.846,1.0
0.513,0.106,0.298,0.536,0.264,0.428,0.278,-0.827,-0.376,0.012,0.145,0.807,-0.125,0.335,-1.207,-0.705,-0.942,0.317,-0.401,-0.429,1.0
0.398,0.492,0.24,0.687,-0.338,0.436,0.174,-0.807,0.299,0.372,-0.01,0.911,-0.429,-0.219,-1.285,-0.586,-0.478,0.696,-0.544,-0.687,1.0
-0.083,0.212,0.071,0.485,-0.428,0.575,0.204,-0.263,0.035,0.089,-0.02,0.866,-0.171,-0.205,-0.71,-0.441,-0.608,0.373,0.149,-0.052,1.0
-0.334,0.15,0.023,0.449,-0.323,0.885,-0.031,-0.599,-0.039,0.007,0.022,1.298,-0.134,-0.05,-1.073,0.001,-0.72,-0.115,-0.507,-0.43,1.0
0.193,0.296,0.028,0.652,-0.203,0.522,-0.029,-0.688,0.174,0.132,-0.011,0.894,-0.343,-0.218,-1.003,-0.342,-0.661,0.483,-0.136,-0.385,1.0
-0.449,0.172,0.33,0.491,-0.22,0.563,0.163,-0.439,-0.058,0.015,0.189,1.101,-0.136,-0.214,-0.89,-0.164,-0.588,-0.089,-0.064,-0.2,1.0
0.72,0.576,0.136,0.636,0.144,0.178,0.49,-0.834,-0.068,0.174,0.006,0.675,-0.363,0.152,-1.217,-0.732,-0.723,0.743,-0.3,-0.541,1.0
0.404,0.453,-0.449,0.973,-0.636,0.091,0.455,-0.775,0.482,0.047,-0.396,0.407,-0.286,-0.715,-1.047,-0.463,-0.49,1.112,-0.451,-0.663,1.0
0.497,0.506,0.35,0.567,-0.072,0.321,0.385,-0.606,-0.028,0.008,0.158,0.633,-0.356,-0.034,-1.081,-0.712,-0.837,0.691,-0.215,-0.274,1.0
-0.118,0.016,-0.315,0.648,-0.721,0.728,0.25,-0.319,0.096,0.014,-0.291,0.671,-0.237,-0.395,-0.881,-0.009,-0.679,0.084,-0.034,-0.327,1.0
0.238,0.417,0.096,0.418,0.013,0.462,0.274,-0.476,-0.214,0.133,0.197,0.838,-0.235,0.034,-0.79,-0.818,-0.637,0.345,0.023,-0.169,1.0
0.342,0.305,-0.282,0.598,-0.16,0.427,0.174,-0.914,0.049,0.146,-0.177,0.973,-0.174,-0.203,-0.952,-0.278,-0.481,0.668,-0.433,-0.54,1.0
0.096,0.12,-0.124,0.548,-0.516,0.366,0.286,-0.574,0.296,-0.062,-0.196,0.76,0.126,-0.497,-0.823,-0.156,-0.489,0.446,-0.113,-0.332,1.0
0.448,0.343,-0.038,0.589,-0.275,0.341,0.222,-1.161,0.171,0.127,-0.139,0.963,-0.145,-0.279,-0.985,-0.62,-0.596,0.849,-0.245,-0.435,1.0
0.717,0.479,0.258,0.726,0.356,0.466,0.346,-0.84,-0.29,0.069,0.172,0.931,-0.188,0.389,-1.494,-0.754,-0.932,0.651,-0.685,-0.756,1.0
0.837,0.448,-0.299,0.738,-0.57,0.169,0.307,-0.532,0.149,0.202,-0.317,0.832,-0.19,-0.176,-0.797,-0.635,-0.559,0.94,-0.373,-0.555,1.0
0.231,0.159,-0.067,0.745,-0.186,0.51,0.306,-0.88,-0.112,0.013,0.036,0.835,0.012,0.029,-1.202,-0.438,-0.761,0.467,-0.52,-0.601,1.0
0.315,0.294,-0.143,0.622,-0.447,0.487,0.267,-0.832,0.032,-0.044,-0.16,0.928,-0.043,-0.263,-1.11,-0.364,-0.584,0.539,-0.421,-0.395,1.0
0.634,0.458,-0.073,0.687,-0.397,0.329,0.326,-0.866,0.238,0.195,-0.236,0.945,-0.227,-0.225,-1.074,-0.62,-0.483,1.017,-0.199,-0.392,1.0
0.213,0.547,-0.108,0.649,-0.748,0.558,0.137,-0.606,0.248,-0.025,-0.238,1.149,-0.059,-0.443,-1.197,0.05,-0.623,0.471,-0.27,-0.4,1.0
-0.53,0.047,-0.055,0.568,-0.507,0.663,0.235,-0.458,0.261,-0.17,-0.111,1.002,0.198,-0.452,-0.946,-0.135,-0.59,0.083,-0.036,-0.352,1.0
0.244,0.101,-0.396,0.803,-0.375,0.523,0.301,-0.749,0.139,0.157,-0.286,0.922,0.089,-0.258,-0.97,-0.234,-0.54,0.389,-0.398,-0.434,1.0
-0.29,0.198,-0.091,0.763,-0.293,0.339,0.454,-0.957,0.419,0.07,-0.217,0.672,-0.141,-0.419,-1.291,-0.048,-0.58,0.372,-0.582,-0.714,1.0
1.482,0.718,0.348,0.863,0.443,0.136,0.507,-1.39,-0.262,0.423,0.132,0.674,-0.501,0.368,-1.496,-1.623,-0.982,1.486,-0.686,-0.847,1.0
-0.163,-0.18,0.083,0.508,-0.554,0.622,-0.031,-0.85,0.017,-0.15,0.068,1.457,0.129,-0.28,-1.505,0.157,-0.72,0.031,-0.742,-0.515,1.0
