x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,y,x17,x18,x19,x20
1.098,-0.753,0.098,0.213,0.809,-0.138,0.01,0.123,-2.902,1.052,-0.569,-0.38,0.567,-1.028,1.598,0.569,1.0,1.076,-0.816,-0.182,-2.657
1.525,-0.977,0.07,0.439,1.151,-0.224,0.285,0.215,-2.776,0.858,-0.608,-0.512,0.475,-1.222,1.73,0.569,1.0,1.168,-0.885,-0.224,-2.711
1.459,-0.773,0.198,0.306,0.645,-0.15,0.096,0.442,-2.99,1.167,-0.587,-0.721,0.251,-0.893,1.51,0.422,1.0,0.994,-0.687,0.015,-2.465
1.723,-0.849,0.031,0.544,0.965,-0.256,0.234,0.096,-2.931,0.79,-0.636,-0.764,0.87,-1.35,2.045,0.672,1.0,1.06,-1.194,-0.202,-2.834
1.571,-0.783,0.137,0.551,0.696,-0.238,0.102,0.066,-2.925,1.22,-0.703,-0.599,0.753,-1.22,2.041,0.7,1.0,0.969,-0.899,-0.276,-3.028
1.165,-1.109,-0.196,0.372,0.769,-0.122,0.193,0.326,-2.825,0.793,-0.392,-0.495,0.29,-1.064,1.45,0.441,1.0,1.071,-0.76,-0.116,-2.245
1.74,-0.916,0.063,0.763,1.094,-0.401,0.352,0.36,-3.326,1.177,-0.735,-0.662,0.857,-1.401,2.21,0.746,1.0,1.149,-1.226,-0.069,-3.302
1.81,-0.9,0.066,0.433,0.85,-0.5,0.18,-0.109,-2.974,0.987,-0.66,-0.874,0.839,-1.255,2.189,0.816,1.0,1.12,-1.07,-0.097,-3.116
2.068,-0.922,-0.086,0.629,1.155,-0.283,0.149,0.237,-3.821,1.047,-0.745,-0.801,1.219,-1.492,2.839,1.262,1.0,1.253,-1.43,-0.276,-3.854
0.243,-1.218,-0.246,-0.121,0.397,0.185,-0.128,-0.107,-1.965,0.859,-0.014,-0.101,-0.187,-0.669,0.698,0.021,1.0,0.741,-0.148,0.115,-1.434
1.539,-0.797,0.134,0.347,0.891,-0.286,0.02,0.019,-3.048,1.164,-0.677,-0.51,0.655,-1.035,2.095,0.769,1.0,1.437,-0.719,-0.324,-2.981
0.884,-0.733,0.227,0.057,0.34,-0.249,-0.031,0.024,-2.395,1.252,-0.573,-0.523,0.365,-0.809,1.574,0.455,1.0,0.68,-0.306,-0.197,-2.309
0.949,-0.836,-0.177,0.268,0.674,-0.173,0.129,0.353,-2.552,0.868,-0.397,-0.46,0.157,-1.037,1.267,0.393,1.0,0.8,-0.787,-0.11,-2.034
0.76,-0.876,0.106,-0.005,0.175,-0.203,-0.016,0.25,-2.255,1.079,-0.401,-0.542,0.08,-0.608,1.194,0.306,1.0,0.399,-0.311,-0.078,-1.815
0.776,-0.733,-0.019,-0.268,0.454,-0.243,0.171,-0.284,-1.836,0.803,-0.349,-0.387,0.146,-0.696,1.075,0.19,1.0,0.849,-0.163,0.01,-1.491
1.984,-0.699,-0.039,0.56,1.026,-0.613,0.194,0.192,-3.379,1.148,-0.724,-0.709,0.911,-1.326,2.549,0.983,1.0,1.178,-1.331,-0.162,-3.428
1.197,-0.97,0.186,0.119,0.92,-0.23,0.089,-0.166,-2.545,1.099,-0.601,-0.771,0.647,-0.914,1.948,0.787,1.0,1.208,-0.429,-0.069,-2.785
0.883,-0.622,0.035,0.074,0.168,-0.072,0.033,0.14,-2.38,1.083,-0.402,-0.268,0.115,-0.751,1.039,0.196,1.0,0.764,-0.248,-0.12,-1.877
0.602,-0.813,-0.257,-0.026,0.402,0.009,-0.018,-0.118,-1.678,1.031,-0.094,-0.127,0.164,-0.82,1.177,0.309,1.0,0.525,-0.165,0.135,-1.769
1.386,-0.521,0.142,0.321,0.961,-0.386,0.24,0.363,-2.945,1.087,-0.652,-0.799,0.46,-1.067,1.641,0.524,1.0,0.934,-1.029,-0.083,-2.568
1.557,-0.66,0.274,0.497,0.884,-0.289,0.077,0.489,-3.449,1.092,-0.792,-0.616,0.693,-1.233,1.933,0.738,1.0,1.029,-1.177,-0.264,-2.884
1.485,-0.955,-0.234,0.596,1.068,-0.283,0.184,0.371,-3.605,1.047,-0.683,-0.45,0.725,-1.184,1.952,0.749,1.0,1.415,-1.044,-0.15,-2.982
1.178,-1.174,-0.118,0.372,0.661,-0.235,0.033,0.444,-3.166,1.102,-0.424,-0.59,0.522,-1.038,1.807,0.658,1.0,0.915,-0.791,0.035,-2.648
