Unnamed: 0,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,y,x12,x13,x14,x15,x16,x17,x18,x19,x20
0,0.0,0.802,1.464,1.597,-3.747,0.759,0.931,-1.069,3.231,0.14,0.7,1.0,-0.966,1.87,1.576,1.994,0.726,1.861,-0.686,0.033,0.846
1,1.027,0.777,-0.005,2.049,-3.523,1.234,1.098,-0.964,4.88,0.407,1.175,1.0,-0.47,2.15,0.946,2.806,-0.327,2.023,-0.551,0.542,0.844
2,0.994,0.753,0.48,2.294,-3.75,0.634,1.211,-1.224,5.156,0.717,1.438,1.0,-0.394,2.056,1.016,3.134,0.287,2.127,-0.341,0.316,0.834
3,1.092,0.832,0.579,2.126,-3.678,0.605,1.07,-0.925,4.782,0.879,1.316,1.0,-0.511,2.088,1.017,2.565,0.166,1.943,-0.306,-0.014,0.96
4,0.365,0.789,0.985,1.818,-3.468,1.099,1.396,-1.008,4.784,0.143,0.966,1.0,-1.006,2.176,1.118,2.554,1.035,2.209,-0.704,-0.109,0.976
5,0.889,0.98,0.472,1.8,-2.531,0.66,0.808,-0.869,4.14,0.393,1.304,1.0,-0.321,2.012,0.698,3.198,0.462,1.61,-0.22,0.142,0.851
6,1.021,1.277,-0.413,1.684,-3.929,1.189,0.209,-1.146,3.382,0.758,1.271,1.0,-0.13,1.537,1.512,3.306,-0.181,0.982,-0.711,0.528,0.696
7,0.46,0.934,1.351,1.812,-3.719,0.887,0.897,-1.039,3.538,0.633,1.043,1.0,-0.759,1.835,1.383,1.986,0.467,1.88,-0.639,0.065,0.79
8,0.788,0.932,0.476,1.945,-2.83,0.619,0.909,-0.964,4.128,1.004,1.281,1.0,-0.329,2.146,0.251,3.294,0.373,1.658,-0.07,0.132,1.006
9,1.191,0.836,0.372,1.946,-3.112,0.729,1.096,-0.706,4.606,0.449,1.044,1.0,-0.269,2.1,0.986,2.285,-0.327,2.083,-0.381,0.607,0.725
10,0.649,0.96,-0.764,1.845,-3.748,1.043,0.456,-0.995,4.284,0.486,1.319,1.0,-0.199,1.679,1.525,3.942,0.469,1.404,-0.685,0.315,0.88
11,0.925,0.934,0.993,1.534,-3.193,0.229,1.014,-0.861,3.675,1.052,1.22,1.0,-0.47,2.26,0.546,2.504,0.14,1.849,0.155,0.4,0.794
12,0.252,0.873,0.951,1.653,-3.99,1.095,1.018,-1.09,4.174,0.147,1.047,1.0,-0.831,1.825,1.509,2.506,0.903,1.976,-1.021,0.002,0.868
13,0.563,0.595,0.681,1.879,-3.678,1.137,0.98,-0.959,5.542,0.402,1.067,1.0,-0.772,2.037,1.436,2.038,0.041,2.186,-0.657,0.141,1.055
14,0.957,0.919,-1.188,1.581,-3.561,1.162,0.153,-1.086,3.812,0.372,1.259,1.0,-0.015,1.606,1.437,3.978,-0.008,0.916,-0.568,0.975,0.551
15,1.36,0.851,0.218,1.774,-1.814,0.305,1.173,-0.784,4.797,0.521,1.427,1.0,-0.211,2.49,0.277,3.287,-0.206,2.004,0.416,0.719,0.63
16,0.943,0.799,0.061,1.739,-3.101,0.957,1.273,-0.859,4.281,0.581,1.324,1.0,-0.337,2.217,0.663,3.052,-0.111,2.042,-0.167,0.46,1.149
17,0.949,0.877,-0.166,1.757,-4.898,1.236,0.995,-1.305,4.073,0.547,1.154,1.0,-0.475,1.818,1.957,2.869,0.07,1.931,-0.787,0.523,0.721
18,0.365,0.49,1.793,1.722,-3.455,0.696,1.61,-1.184,3.874,0.981,0.868,1.0,-0.598,2.079,0.896,1.005,0.268,2.569,-0.309,0.017,0.84
19,0.562,0.94,0.315,1.832,-4.917,1.312,0.708,-1.248,3.802,0.771,1.281,1.0,-0.614,1.895,2.033,2.782,0.514,1.803,-0.901,0.184,0.855
20,0.806,0.862,-0.04,1.91,-4.403,0.899,0.725,-1.058,4.284,0.802,1.266,1.0,-0.199,1.985,1.438,3.273,0.054,1.661,-0.559,0.708,0.62
21,0.843,0.858,-0.064,1.822,-3.341,0.625,0.619,-1.21,3.358,0.872,1.242,1.0,-0.126,1.823,0.792,3.153,-0.123,1.375,-0.32,0.222,0.757
