Unnamed: 0,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,y,x15,x16,x17,x18,x19,x20
0,0.138,0.097,0.433,-0.446,-0.788,1.167,0.016,0.591,-0.063,-0.478,0.284,0.953,-0.672,0.195,1.0,-0.71,0.295,-1.428,0.131,0.766,0.158
1,0.09,0.257,0.139,0.505,-0.521,0.571,-0.039,0.129,0.13,0.667,0.25,0.919,-0.023,0.344,1.0,-0.433,0.47,-0.495,0.188,-0.335,-0.13
2,0.326,-0.033,0.296,-0.401,-0.756,1.348,-0.118,0.149,0.345,-0.264,0.093,1.196,-0.601,0.475,1.0,-0.774,0.408,-1.336,0.277,0.526,0.071
3,0.119,0.145,0.648,0.05,-0.903,0.666,0.099,0.72,0.276,0.041,0.389,0.7,-0.673,0.33,1.0,-0.309,0.384,-1.03,0.121,0.193,0.081
4,0.123,0.008,0.501,-0.779,-0.907,1.509,0.012,0.894,0.195,-0.834,0.1,0.419,-0.915,0.177,1.0,-0.041,0.172,-1.742,0.053,0.795,0.095
5,-0.091,0.033,0.652,-0.038,-0.778,0.954,0.106,0.646,0.217,0.034,0.079,0.785,-0.55,0.295,1.0,-0.144,0.342,-1.154,-0.183,-0.086,0.046
6,-0.061,0.032,0.241,-0.153,-0.736,0.938,0.002,0.478,0.321,-0.205,0.106,0.765,-0.729,0.41,1.0,-0.613,0.254,-1.16,0.003,0.358,0.13
7,-0.117,0.217,0.684,-0.349,-0.965,0.886,-0.05,0.655,-0.012,-0.166,0.299,0.937,-0.78,0.216,1.0,-0.858,0.031,-0.816,0.091,0.407,0.276
8,0.191,0.005,0.341,-0.114,-0.594,0.948,0.128,0.262,0.165,0.314,0.535,1.057,-0.419,0.435,1.0,-0.336,0.604,-1.161,0.172,-0.251,-0.076
9,0.077,0.186,0.635,-0.486,-0.818,1.177,-0.154,0.634,0.155,-0.517,-0.08,0.869,-0.699,0.383,1.0,-0.718,0.405,-1.448,0.219,0.878,0.237
10,-0.095,0.351,0.711,-1.155,-1.049,1.536,-0.122,0.718,0.083,-0.908,-0.093,0.902,-0.906,0.096,0.0,-0.878,0.444,-1.762,0.045,1.282,0.255
11,-0.084,0.301,0.593,-0.399,-1.212,0.9,0.128,0.85,0.197,-0.229,0.354,0.827,-0.937,0.309,0.0,-1.201,0.092,-0.949,0.148,0.73,0.236
12,0.035,0.232,0.562,-0.335,-1.083,1.028,0.24,0.556,0.402,-0.199,0.421,0.74,-0.69,0.408,0.0,-0.384,0.175,-1.05,0.109,0.407,0.172
13,-0.189,0.355,0.571,-0.529,-1.21,1.008,0.125,0.756,0.031,-0.612,0.321,0.878,-0.857,0.196,0.0,-1.477,-0.179,-0.897,0.043,1.171,0.318
14,-0.119,0.184,0.62,-0.251,-1.192,0.897,0.158,1.024,0.372,-0.123,0.265,0.491,-0.615,0.338,0.0,-0.411,0.19,-0.906,0.002,0.324,0.194
15,0.366,-0.207,0.579,0.172,-1.168,0.797,0.315,1.04,0.271,0.287,0.486,0.522,-0.459,0.25,0.0,-0.093,0.129,-0.861,0.067,-0.404,-0.021
16,-0.027,0.343,0.543,-0.75,-1.13,0.936,0.03,0.954,0.201,-0.712,0.121,0.581,-1.066,0.295,0.0,-0.722,0.233,-1.163,0.369,0.897,0.353
17,-0.167,0.386,0.708,-0.095,-1.167,0.573,0.004,0.532,0.261,-0.1,0.3,0.759,-0.622,0.371,0.0,-1.042,0.022,-0.789,0.055,0.769,0.214
18,0.043,0.212,0.777,-0.489,-1.088,1.017,-0.048,0.644,0.079,-0.357,0.14,0.776,-0.632,0.375,0.0,-0.493,0.468,-1.409,0.125,0.687,0.292
19,-0.074,0.194,0.665,-0.902,-1.249,1.284,-0.005,1.145,-0.063,-0.929,0.012,0.629,-1.117,0.077,0.0,-0.811,0.374,-1.764,-0.026,1.221,0.482
20,0.065,0.017,0.566,-0.082,-1.102,0.807,0.197,0.969,0.363,0.205,0.307,0.341,-0.371,0.109,0.0,-0.227,0.268,-0.91,0.065,0.013,0.039
21,0.031,0.288,0.821,-0.133,-1.168,0.645,0.0,0.729,0.209,0.111,0.202,0.927,-0.56,0.031,0.0,-1.111,0.041,-0.755,0.216,0.321,0.375
22,-0.15,0.355,0.787,-1.122,-1.404,1.402,0.23,0.855,0.074,-1.022,0.606,1.097,-1.144,0.436,0.0,-1.046,0.16,-1.649,0.323,1.397,0.412
23,0.071,-0.186,0.701,-0.742,-1.13,1.725,0.156,1.271,0.149,-0.604,0.023,0.265,-0.866,0.193,0.0,-0.065,0.222,-1.546,-0.097,0.456,0.347
24,0.157,0.057,0.532,0.329,-1.092,0.423,0.202,0.655,0.366,0.571,0.432,0.512,-0.115,0.324,0.0,-0.31,0.112,-0.537,0.252,-0.62,0.027
25,0.197,-0.005,0.644,-0.195,-1.153,0.941,0.255,0.898,0.307,-0.156,0.326,0.64,-0.522,0.25,0.0,-0.469,0.331,-1.22,-0.094,0.357,-0.038
26,0.194,-0.031,0.801,-0.359,-1.172,1.218,0.031,0.632,0.208,-0.282,-0.178,0.859,-0.772,0.128,0.0,-0.921,0.23,-1.244,-0.144,0.474,0.186
27,-0.189,0.181,0.705,-0.277,-1.192,0.942,0.21,1.151,0.165,-0.055,0.113,0.356,-0.475,0.183,0.0,-0.98,-0.136,-0.561,-0.071,0.361,0.303
28,-0.188,0.353,0.721,-0.484,-1.144,0.856,0.119,1.018,-0.035,-0.368,0.305,0.824,-0.809,0.107,0.0,-1.161,0.087,-1.059,0.183,0.858,0.466
29,-0.175,0.196,0.724,-0.238,-1.198,0.946,0.067,0.93,0.191,-0.077,0.014,0.567,-0.426,0.325,0.0,-0.899,-0.017,-0.836,-0.001,0.399,0.367
30,0.23,0.181,0.63,-0.15,-1.037,0.787,0.07,0.514,0.066,0.136,0.218,0.945,-0.55,0.277,0.0,-1.211,0.322,-0.792,0.039,0.382,0.13
31,0.113,0.197,0.718,-0.231,-1.107,0.938,0.228,0.958,0.405,-0.21,0.532,0.401,-0.488,0.19,0.0,-0.611,0.312,-1.079,0.028,0.75,0.081
32,-0.132,0.119,0.631,-0.585,-1.326,1.245,0.098,0.988,0.285,-0.356,0.306,0.521,-0.693,0.412,0.0,-0.585,-0.122,-1.04,0.042,0.514,0.393
33,-0.116,0.194,0.768,-1.055,-1.18,1.488,0.139,0.761,0.036,-1.007,0.288,1.148,-1.43,0.5,0.0,-1.035,0.317,-1.694,0.237,1.133,0.293
34,-0.089,-0.064,0.604,-0.624,-1.085,1.119,0.148,0.965,0.2,-0.46,0.167,0.549,-0.771,0.091,0.0,-0.537,0.288,-1.518,0.151,0.835,0.218
35,-0.105,0.139,0.673,-0.42,-1.084,0.984,0.282,0.736,0.406,-0.337,0.429,0.894,-0.947,0.496,0.0,-0.942,0.354,-1.235,-0.04,0.625,0.079
36,-0.006,0.057,0.609,-0.104,-1.413,0.951,0.162,0.895,0.253,-0.022,0.386,0.473,-0.559,0.112,0.0,-0.512,0.146,-0.955,0.113,0.271,0.051
37,0.052,-0.19,0.587,-0.601,-1.145,1.526,0.174,0.861,0.083,-0.563,0.224,0.637,-1.064,0.511,0.0,-0.437,0.318,-1.792,-0.031,0.792,0.305
38,0.201,0.156,0.699,-1.03,-1.157,1.673,0.032,0.663,0.273,-1.128,0.142,1.073,-1.273,0.48,0.0,-0.68,0.279,-1.884,0.09,1.127,0.24
39,-0.112,0.121,0.654,-0.916,-1.158,1.479,0.171,0.703,0.341,-0.867,0.553,1.033,-0.996,0.248,0.0,-0.803,0.516,-1.874,0.259,1.116,0.065
40,0.287,0.08,0.721,-0.585,-1.058,1.268,0.121,1.044,0.205,-0.437,0.073,0.571,-0.766,0.297,0.0,-0.417,0.225,-1.341,0.11,0.631,0.305
41,0.017,0.407,0.674,0.036,-1.243,0.283,0.445,1.113,0.34,0.057,0.689,0.256,-0.281,0.024,0.0,-0.579,0.176,-0.691,0.14,0.464,0.197
42,0.139,-0.064,0.732,-0.528,-1.183,1.454,0.238,0.768,0.257,-0.41,0.415,0.906,-0.74,0.338,0.0,-0.6,0.344,-1.578,0.196,0.593,0.129
43,-0.236,0.26,0.594,-0.412,-1.102,0.976,0.103,0.78,-0.049,-0.316,0.348,0.471,-0.818,0.336,0.0,-0.784,0.328,-1.107,0.171,0.809,0.313
44,-0.166,0.088,0.548,-1.104,-1.224,1.66,0.055,1.171,-0.243,-0.904,0.032,0.572,-1.194,0.091,0.0,-0.746,0.095,-1.735,-0.118,1.176,0.577
45,-0.059,0.44,0.615,-0.276,-1.156,0.547,0.268,0.952,0.145,0.046,0.405,0.391,-0.569,0.4,0.0,-0.903,-0.051,-0.483,0.279,0.472,0.301
46,0.108,-0.053,0.734,-0.994,-1.401,1.602,0.238,1.434,0.107,-0.885,0.121,0.337,-1.161,0.337,0.0,0.005,0.119,-1.924,0.016,0.933,0.416
47,0.198,0.044,0.805,-1.126,-1.021,1.746,0.131,0.687,0.186,-0.986,0.068,1.273,-1.389,0.458,0.0,-0.775,0.595,-1.932,0.15,1.112,0.273
48,-0.175,0.352,0.532,-0.372,-1.141,0.779,0.153,0.763,0.324,-0.159,0.372,0.756,-0.46,0.403,0.0,-1.201,-0.18,-0.616,0.165,0.541,0.292
