Unnamed: 0,x0,x1,x2,x3,x4,x5,x6,x7,x8,y,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20
0,-9.931,0.266,0.09,1.992,-4.132,3.491,4.145,0.282,5.336,1.0,1.626,8.577,1.39,-0.586,3.254,0.255,12.252,0.092,0.325,1.24,11.086
1,-9.334,0.045,0.281,1.232,-3.439,3.328,4.205,0.555,4.8,1.0,1.747,7.456,1.128,-0.389,3.028,0.116,11.004,0.068,0.111,1.208,10.179
2,-9.204,0.217,-0.017,0.927,-3.832,3.493,3.721,1.39,4.8,1.0,1.845,7.627,1.247,-0.373,2.807,0.512,11.218,-0.016,0.22,1.129,10.132
3,-9.113,0.073,0.078,0.67,-3.0,3.514,4.051,1.033,4.951,1.0,1.549,7.53,1.124,-0.129,2.948,0.117,10.84,-0.085,0.188,1.449,9.972
4,-9.754,0.309,0.116,1.755,-3.748,3.467,4.145,0.283,5.175,1.0,1.829,8.077,1.203,-0.47,3.047,0.138,11.612,0.076,0.287,1.126,10.652
5,-9.003,0.328,0.181,2.026,-4.853,3.302,4.087,0.491,4.402,1.0,1.928,7.066,1.646,-0.662,2.6,0.732,10.576,-0.179,0.126,1.235,10.266
6,-8.51,-0.034,-0.283,0.73,-3.659,3.126,3.251,1.007,5.083,1.0,1.302,7.794,1.225,-0.43,3.22,0.865,10.449,-0.263,-0.027,1.198,9.545
7,-9.463,-0.087,0.014,1.089,-3.122,3.476,4.242,0.624,5.16,1.0,0.4,8.048,0.756,-0.238,3.25,-0.455,11.558,0.381,0.389,1.447,10.518
8,-9.589,0.116,0.224,1.78,-4.411,3.331,4.078,0.751,5.269,1.0,1.781,7.985,1.637,-0.341,3.339,0.702,11.436,-0.222,0.062,1.115,11.05
9,-9.673,-0.155,0.36,0.812,-2.454,3.51,4.331,0.836,4.714,1.0,1.794,7.545,0.698,-0.047,3.009,-0.348,11.323,0.159,0.215,1.296,9.992
10,-8.78,0.055,0.111,1.434,-3.211,3.417,3.685,0.838,5.313,1.0,1.122,8.182,1.232,-0.434,3.072,0.269,10.966,-0.054,0.182,1.242,10.139
11,-9.808,0.103,0.304,1.491,-3.366,3.361,4.403,0.171,4.571,1.0,1.755,7.445,1.019,-0.303,2.7,0.038,11.398,-0.025,0.149,1.404,10.095
12,-9.575,0.129,0.08,1.36,-3.778,3.35,3.947,0.861,5.428,1.0,1.415,8.567,1.326,-0.221,3.302,0.184,11.862,0.149,0.168,1.141,10.769
13,-9.863,0.177,0.251,1.638,-3.172,3.312,4.326,0.206,4.947,1.0,1.877,7.961,1.011,-0.209,2.965,0.006,11.936,-0.049,0.136,1.216,10.318
14,-10.09,0.072,0.174,1.449,-3.793,3.562,4.177,0.693,5.686,1.0,1.05,9.009,1.332,-0.14,3.302,0.189,12.592,0.062,0.14,1.143,11.268
15,-9.182,0.215,-0.119,1.922,-4.19,3.481,3.818,0.499,5.099,1.0,1.681,7.786,1.328,-0.367,3.078,0.256,11.324,0.334,0.335,1.158,10.557
16,-8.57,-0.04,-0.201,0.667,-3.815,2.99,3.308,1.08,5.195,1.0,1.262,7.774,1.193,-0.36,3.174,0.806,10.488,0.015,0.132,1.259,9.731
17,-8.554,0.233,-0.014,1.54,-4.238,3.118,3.639,0.676,4.797,1.0,1.78,7.352,1.379,-0.679,2.708,0.946,10.632,-0.194,0.137,1.145,10.014
18,-9.447,-0.149,0.112,0.679,-2.675,3.315,4.013,0.868,5.01,1.0,1.671,8.279,0.971,-0.535,3.28,0.102,11.477,-0.17,0.076,1.404,9.964
19,-10.198,0.047,0.057,1.586,-3.702,3.546,4.735,0.256,5.215,1.0,1.878,7.91,1.12,-0.343,3.081,-0.263,11.969,0.227,0.334,1.208,11.304
20,-9.493,-0.041,0.088,1.324,-3.343,3.392,3.842,0.614,5.09,1.0,1.683,8.118,1.114,-0.436,2.974,0.071,11.618,0.231,0.21,1.158,10.219
21,-9.962,0.273,0.116,1.376,-3.852,3.451,4.657,0.687,5.179,1.0,0.882,8.426,1.101,-0.257,3.325,0.017,12.109,0.117,0.45,1.239,11.153
22,-9.679,0.435,0.06,2.358,-4.446,3.405,4.236,0.226,5.319,1.0,1.077,8.29,1.524,-0.531,3.182,0.561,11.78,-0.125,0.26,1.191,11.243
23,-9.091,0.096,0.065,1.305,-3.963,2.969,3.789,1.113,4.928,1.0,1.746,7.503,1.465,-0.428,2.741,0.23,11.026,0.046,0.143,1.318,10.116
24,-9.227,0.13,0.244,1.698,-4.86,3.266,3.805,0.781,4.848,1.0,1.674,7.907,1.716,-0.672,2.929,0.912,11.422,-0.042,0.165,1.293,10.634
25,-9.405,0.293,0.01,1.395,-3.855,3.298,4.512,0.852,4.605,1.0,2.06,6.977,1.415,-0.349,2.521,0.523,10.952,-0.239,0.092,1.083,10.688
26,-9.321,0.201,0.148,1.904,-5.087,3.131,4.057,0.955,4.948,1.0,1.661,7.869,2.032,-0.748,2.904,0.91,11.391,-0.217,0.211,1.106,11.002
27,-10.194,0.084,0.111,1.352,-3.674,3.265,4.544,0.936,5.542,1.0,1.212,8.424,1.172,-0.281,3.258,-0.062,12.428,0.302,0.379,1.385,11.428
28,-9.625,0.072,-0.05,0.706,-3.113,3.574,4.416,1.1,4.991,1.0,1.828,7.59,1.068,-0.334,2.94,-0.086,11.219,-0.028,0.025,1.29,10.375
29,-9.61,0.141,0.061,1.316,-3.336,3.449,4.103,0.758,4.805,1.0,1.686,7.841,1.226,-0.476,3.265,0.037,11.547,0.092,0.238,1.466,9.99
30,-9.779,0.061,0.243,1.425,-3.664,3.419,4.638,0.316,4.629,1.0,1.498,7.585,1.152,-0.479,2.705,-0.149,11.633,0.151,0.178,1.159,10.573
31,-9.594,0.07,-0.162,1.648,-3.283,3.379,4.445,0.512,4.873,1.0,1.367,7.792,1.364,-0.227,3.032,-0.06,11.453,-0.115,0.111,1.352,10.414
32,-9.013,-0.051,0.043,1.473,-3.75,3.265,3.953,0.941,4.402,1.0,1.414,7.365,1.406,-0.415,2.808,0.506,10.769,-0.109,0.136,1.161,9.573
33,-9.22,0.293,0.105,1.455,-4.831,3.015,3.68,1.084,4.821,1.0,1.742,7.864,1.806,-0.613,3.066,1.056,11.145,-0.312,0.047,1.341,10.231
34,-9.837,-0.075,-0.197,1.01,-2.369,3.425,3.825,0.494,5.358,1.0,1.662,8.777,0.68,-0.225,3.316,-0.108,12.289,0.162,0.156,1.241,9.733
35,-10.529,0.141,0.106,1.655,-4.063,3.188,4.574,0.664,5.26,1.0,1.671,8.588,1.413,-0.396,3.437,0.302,12.429,0.163,0.256,1.353,11.164
36,-9.897,0.096,-0.051,0.684,-3.055,3.273,4.262,1.268,5.133,1.0,1.788,8.127,0.991,-0.338,3.085,-0.083,11.879,0.027,0.195,1.397,10.334
37,-9.689,0.16,-0.183,1.46,-3.853,3.192,3.721,0.656,5.785,1.0,1.409,8.988,1.285,-0.367,3.634,0.518,12.358,0.052,0.282,1.006,10.937
38,-9.363,0.097,0.031,1.459,-4.308,3.318,3.911,0.471,5.054,1.0,1.524,8.034,1.338,-0.405,3.038,0.686,11.217,-0.118,0.133,1.27,10.607
39,-9.163,0.324,-0.004,1.997,-4.774,3.125,4.028,0.327,4.66,1.0,1.682,7.453,1.57,-0.673,2.811,0.798,10.775,-0.039,0.238,1.115,10.631
40,-9.927,0.15,-0.048,1.085,-3.505,3.156,4.329,0.909,5.167,1.0,1.63,8.15,1.152,-0.466,3.095,0.24,11.763,-0.058,0.102,1.17,10.643
41,-9.11,-0.053,-0.166,1.318,-2.988,3.124,3.563,0.281,4.967,1.0,1.554,7.86,0.898,-0.31,3.102,0.155,11.3,-0.055,0.127,1.453,9.503
42,-9.07,0.298,-0.114,2.304,-5.777,3.375,3.52,0.468,5.137,1.0,1.751,8.093,1.984,-0.856,3.014,1.208,11.441,-0.0,0.192,1.224,11.062
43,-8.477,0.114,-0.128,1.469,-4.171,2.859,2.766,0.885,5.331,1.0,1.553,8.247,1.498,-0.709,3.175,1.266,10.78,-0.103,0.141,1.248,9.581
44,-9.623,0.203,0.099,1.355,-3.73,3.402,4.206,0.559,5.01,1.0,1.569,7.996,1.36,-0.358,2.927,0.296,11.408,0.027,0.12,1.183,10.377
45,-9.089,0.106,0.059,1.281,-4.276,3.336,3.795,0.824,4.885,1.0,1.54,7.892,1.343,-0.604,3.008,0.334,11.278,0.27,0.229,1.327,10.306
46,-10.423,0.037,0.313,1.857,-5.184,3.336,4.878,0.643,5.203,1.0,1.61,8.184,1.661,-0.522,3.157,0.725,12.323,-0.001,0.282,1.011,11.999
