Unnamed: 0,x0,x1,x2,x3,x4,x5,y,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20
0,-0.178,-1.116,0.289,-1.825,-0.7,0.243,1.0,1.977,-5.186,-1.81,-2.144,0.962,0.778,-1.963,-0.567,8.58,-0.653,-5.532,0.428,-3.88,1.798
1,-0.153,-1.319,0.133,-1.655,-1.022,0.261,1.0,1.853,-5.324,-1.462,-1.538,0.51,0.342,-1.77,-0.451,8.664,-0.8,-5.842,0.218,-3.749,1.785
2,-0.204,-1.335,0.092,-1.742,-0.786,0.085,1.0,1.77,-4.281,-2.443,-1.797,0.6,0.707,-1.583,-0.335,6.916,-0.603,-4.737,0.36,-4.256,1.38
3,0.053,-1.219,0.057,-1.498,-0.715,-0.089,1.0,0.961,-3.639,-1.939,-0.651,-0.23,0.403,-1.463,-0.22,5.755,-0.94,-3.797,0.408,-3.553,1.046
4,-0.083,-1.138,0.315,-1.231,-0.65,-0.215,1.0,1.92,-3.91,-2.438,-1.908,1.058,1.324,-1.539,-0.435,6.728,-0.193,-4.156,0.364,-4.171,1.08
5,-0.13,-1.373,0.095,-1.442,-0.444,-0.037,1.0,1.904,-3.852,-2.004,-1.976,0.843,1.138,-1.409,-0.453,6.65,-0.69,-4.209,0.332,-3.71,1.106
6,-0.138,-1.252,0.143,-1.467,-0.829,0.11,1.0,1.647,-4.914,-1.908,-1.51,0.334,0.467,-1.763,-0.359,7.898,-0.636,-5.276,0.477,-3.939,1.393
7,-0.066,-1.489,0.13,-1.649,-0.961,0.121,1.0,1.09,-4.9,-1.923,-1.203,0.047,0.23,-1.815,-0.531,7.716,-0.761,-5.053,0.278,-3.601,1.506
8,-0.1,-1.141,0.039,-1.433,-0.63,0.129,1.0,1.322,-4.545,-1.865,-1.299,0.229,0.493,-1.668,-0.567,7.348,-0.707,-4.895,0.234,-3.46,1.298
9,-0.034,-1.29,0.541,-1.727,-0.745,0.057,1.0,1.731,-4.532,-1.859,-1.953,1.146,0.807,-1.705,-0.634,7.422,-0.468,-4.781,0.319,-3.754,1.556
10,-0.028,-1.35,0.197,-1.503,-0.764,0.09,1.0,2.016,-4.856,-1.829,-1.571,0.59,0.479,-1.676,-0.492,8.263,-0.436,-5.668,0.172,-4.259,1.537
11,0.097,-1.41,0.369,-1.507,-0.829,0.232,1.0,1.728,-4.949,-1.874,-1.657,0.85,0.603,-1.592,-0.486,8.167,-0.682,-5.28,0.378,-3.85,1.625
