Unnamed: 0,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,y,x15,x16,x17,x18,x19,x20
0,0.138,0.097,0.433,-0.446,-0.788,1.167,0.016,0.591,-0.063,-0.478,0.284,0.953,-0.672,0.195,1.0,-0.71,0.295,-1.428,0.131,0.766,0.158
1,0.09,0.257,0.139,0.505,-0.521,0.571,-0.039,0.129,0.13,0.667,0.25,0.919,-0.023,0.344,1.0,-0.433,0.47,-0.495,0.188,-0.335,-0.13
2,0.326,-0.033,0.296,-0.401,-0.756,1.348,-0.118,0.149,0.345,-0.264,0.093,1.196,-0.601,0.475,1.0,-0.774,0.408,-1.336,0.277,0.526,0.071
3,0.119,0.145,0.648,0.05,-0.903,0.666,0.099,0.72,0.276,0.041,0.389,0.7,-0.673,0.33,1.0,-0.309,0.384,-1.03,0.121,0.193,0.081
4,0.123,0.008,0.501,-0.779,-0.907,1.509,0.012,0.894,0.195,-0.834,0.1,0.419,-0.915,0.177,1.0,-0.041,0.172,-1.742,0.053,0.795,0.095
5,-0.091,0.033,0.652,-0.038,-0.778,0.954,0.106,0.646,0.217,0.034,0.079,0.785,-0.55,0.295,1.0,-0.144,0.342,-1.154,-0.183,-0.086,0.046
6,-0.061,0.032,0.241,-0.153,-0.736,0.938,0.002,0.478,0.321,-0.205,0.106,0.765,-0.729,0.41,1.0,-0.613,0.254,-1.16,0.003,0.358,0.13
7,-0.117,0.217,0.684,-0.349,-0.965,0.886,-0.05,0.655,-0.012,-0.166,0.299,0.937,-0.78,0.216,1.0,-0.858,0.031,-0.816,0.091,0.407,0.276
8,0.191,0.005,0.341,-0.114,-0.594,0.948,0.128,0.262,0.165,0.314,0.535,1.057,-0.419,0.435,1.0,-0.336,0.604,-1.161,0.172,-0.251,-0.076
9,0.077,0.186,0.635,-0.486,-0.818,1.177,-0.154,0.634,0.155,-0.517,-0.08,0.869,-0.699,0.383,1.0,-0.718,0.405,-1.448,0.219,0.878,0.237
10,0.118,0.205,0.268,-0.632,-0.746,1.223,-0.11,0.106,-0.056,-0.485,0.148,1.435,-0.809,0.455,1.0,-1.386,0.13,-1.153,0.333,0.717,0.276
11,0.117,-0.006,0.248,-0.431,-0.687,1.508,-0.038,0.756,0.219,-0.304,-0.019,0.784,-0.677,0.031,1.0,-0.702,0.444,-1.375,-0.129,0.634,0.06
12,-0.062,0.17,0.542,-0.758,-0.844,1.538,0.079,0.577,0.188,-0.732,0.549,1.112,-1.105,0.451,1.0,-0.789,0.28,-1.517,0.211,0.922,0.324
13,0.353,0.063,0.53,0.315,-0.806,0.689,0.088,0.448,0.268,0.555,0.352,0.743,0.036,0.059,1.0,-0.287,0.473,-0.782,0.046,-0.138,-0.088
14,-0.192,0.339,0.398,-0.478,-1.041,0.988,-0.067,0.483,0.282,-0.522,0.184,1.006,-0.794,0.434,1.0,-1.338,0.155,-1.286,0.222,0.924,0.423
15,0.094,0.095,0.513,-0.05,-0.842,0.856,0.152,0.633,0.256,0.111,0.173,0.59,-0.263,0.289,1.0,-0.257,0.528,-1.129,0.08,0.126,0.035
16,0.177,-0.008,0.386,-0.378,-0.857,1.38,0.026,0.639,0.073,-0.376,0.235,0.813,-0.865,0.018,1.0,-0.69,0.311,-1.507,0.028,0.741,0.048
17,-0.042,-0.01,0.567,-0.48,-0.987,1.452,0.137,0.795,0.023,-0.302,0.034,0.688,-0.815,0.363,1.0,-0.606,0.013,-0.994,-0.09,0.357,0.193
18,0.146,0.076,0.495,-0.152,-0.836,0.911,0.08,0.866,-0.121,-0.041,0.364,0.581,-0.51,-0.086,1.0,-0.636,0.06,-0.88,0.091,0.212,0.318
19,-0.176,0.187,0.63,-0.276,-0.86,0.85,-0.019,0.875,-0.003,-0.232,0.097,0.63,-0.607,0.14,1.0,-0.546,0.325,-1.062,0.159,0.561,0.373
20,-0.162,0.213,0.721,0.484,-1.032,0.488,0.14,0.673,0.302,0.828,0.397,0.447,0.095,0.438,1.0,-0.276,-0.046,-0.341,0.14,-0.555,0.087
21,-0.208,-0.067,0.59,-0.71,-1.022,1.683,-0.066,0.689,0.126,-0.537,-0.078,0.775,-1.016,0.141,1.0,-0.599,0.394,-1.442,0.013,0.665,0.189
22,-0.167,0.419,0.782,-0.129,-1.001,0.498,0.137,0.781,0.395,-0.195,0.44,0.612,-0.662,0.208,1.0,-0.758,0.386,-0.915,0.253,0.829,0.11
23,-0.04,0.261,0.514,-0.724,-0.953,1.454,-0.113,0.657,0.088,-0.553,0.074,0.94,-1.028,0.295,1.0,-0.903,0.276,-1.273,0.317,0.929,0.358
24,-0.153,0.282,0.406,-0.755,-0.81,1.303,0.028,0.779,0.116,-0.647,-0.076,0.824,-0.921,0.006,1.0,-0.905,0.317,-1.355,0.056,1.15,0.327
25,0.127,-0.159,0.602,-0.493,-0.849,1.361,0.071,0.681,0.328,-0.147,0.045,0.975,-0.655,0.223,1.0,-0.44,0.565,-1.494,-0.064,0.341,-0.111
26,0.379,-0.012,0.54,-0.112,-0.864,1.051,0.162,0.393,0.544,0.058,0.179,0.865,-0.584,0.094,1.0,-0.371,0.514,-1.091,-0.033,-0.033,-0.177
27,0.007,0.368,0.359,-0.836,-0.728,1.257,-0.115,0.339,0.186,-0.641,0.161,1.128,-0.868,0.258,1.0,-1.001,0.623,-1.504,0.189,0.96,0.138
28,0.037,0.045,0.515,-0.457,-0.753,1.196,-0.199,0.309,-0.182,-0.437,-0.104,1.148,-0.693,0.227,1.0,-0.71,0.357,-1.459,0.122,0.711,0.178
29,-0.112,0.206,0.639,-0.006,-0.808,0.844,0.111,0.848,0.237,-0.065,0.272,0.774,-0.56,0.184,1.0,-0.835,0.066,-0.913,0.177,0.441,0.237
30,-0.314,0.336,0.63,-0.804,-0.968,1.545,0.115,0.886,0.171,-0.604,0.207,0.639,-0.843,0.092,1.0,-0.671,0.129,-1.109,0.157,0.887,0.269
31,0.093,-0.055,0.593,-0.82,-0.786,1.491,-0.142,0.482,0.252,-0.743,-0.131,0.953,-0.825,0.444,1.0,-0.459,0.654,-1.826,0.161,0.879,0.094
32,0.167,0.072,0.575,-1.015,-0.573,1.767,-0.116,0.096,0.175,-0.943,0.045,1.607,-1.043,0.254,1.0,-1.051,0.685,-1.858,0.112,1.257,-0.001
33,0.108,0.186,0.578,0.014,-0.881,0.556,0.05,0.581,0.309,0.221,0.339,0.797,-0.583,0.219,1.0,-0.616,0.193,-0.75,0.207,0.04,0.015
34,0.185,-0.052,0.466,-0.58,-0.976,1.332,0.114,0.729,0.09,-0.434,0.293,0.721,-0.803,0.458,1.0,-0.264,0.225,-1.501,0.205,0.656,0.204
35,-0.108,0.254,0.568,-1.173,-1.012,1.75,0.064,0.878,0.185,-0.862,0.11,0.822,-0.809,0.107,1.0,-0.915,0.498,-1.589,0.195,1.42,0.216
36,-0.066,0.064,0.477,-0.108,-1.007,1.106,0.255,1.005,0.26,0.171,0.243,0.253,-0.499,0.214,1.0,-0.227,0.166,-0.9,-0.014,0.135,0.193
37,0.122,0.206,0.534,-0.246,-0.753,1.146,0.099,0.543,0.224,-0.127,0.139,0.738,-0.685,0.057,1.0,-0.704,0.452,-0.967,0.081,0.519,0.063
38,-0.238,0.094,0.619,-0.576,-0.765,1.448,-0.152,0.487,0.182,-0.492,0.09,1.0,-0.45,0.193,1.0,-0.659,0.341,-1.394,0.219,0.705,0.211
39,0.252,0.189,0.439,-0.623,-0.616,1.214,0.116,0.28,0.279,-0.62,0.329,1.149,-0.748,0.24,1.0,-0.603,0.624,-1.814,0.326,0.912,0.049
40,0.202,-0.065,0.702,0.509,-0.892,0.508,0.254,0.738,0.279,0.509,0.215,0.41,-0.237,0.458,1.0,-0.112,0.374,-0.759,-0.069,-0.166,-0.078
41,0.022,0.166,0.785,-0.685,-0.98,1.448,0.151,0.702,0.346,-0.577,0.354,0.845,-1.0,0.344,1.0,-0.704,0.473,-1.555,0.269,0.842,0.213
42,-0.07,0.07,0.543,-0.171,-0.913,1.057,0.053,0.611,0.231,-0.147,0.144,0.826,-0.623,0.395,1.0,-0.404,0.266,-1.153,0.001,0.424,0.142
43,0.056,-0.031,0.45,-0.11,-0.895,0.927,-0.062,0.846,0.23,0.034,0.058,0.667,-0.441,0.074,1.0,-0.671,0.168,-1.094,0.015,0.282,0.26
44,-0.108,0.163,0.548,0.196,-0.949,0.522,0.208,0.92,0.516,0.584,0.444,0.327,-0.217,0.019,1.0,-0.391,0.069,-0.436,0.098,-0.178,0.161
45,-0.031,0.233,0.401,-1.015,-0.988,1.365,-0.043,0.509,0.066,-1.134,0.053,1.223,-1.338,0.317,1.0,-0.919,0.557,-1.981,0.11,1.34,0.186
46,-0.172,0.148,0.75,0.028,-1.038,0.98,-0.001,0.949,0.273,0.082,0.161,0.413,-0.447,0.375,1.0,-0.195,-0.123,-0.633,0.024,0.15,0.319
47,0.25,0.2,0.579,-0.587,-0.741,1.206,0.031,0.357,0.247,-0.576,0.386,1.189,-0.792,0.236,1.0,-0.697,0.641,-1.621,0.248,0.702,0.065
48,-0.198,0.252,0.508,-0.814,-0.924,1.247,-0.012,0.614,0.066,-0.829,-0.072,1.068,-0.83,0.118,1.0,-1.097,0.208,-1.511,0.031,1.028,0.324
