Unnamed: 0,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,y,x13,x14,x15,x16,x17,x18,x19,x20
0,0.518,0.279,0.259,0.083,0.12,-1.022,-0.022,-0.905,0.205,0.426,-0.833,0.461,1.0,-0.497,2.48,0.448,-1.193,-0.299,0.615,-3.611,0.314
1,0.558,-0.188,-0.358,0.315,0.132,-1.237,0.277,-0.914,0.379,0.252,-0.959,1.068,1.0,-0.519,3.168,0.344,-1.418,-0.237,0.055,-3.752,-0.017
2,0.995,-0.607,0.38,0.193,0.165,-0.804,0.7,-0.977,0.254,0.781,-0.735,0.927,1.0,0.049,3.104,0.431,-0.986,-0.457,0.122,-3.901,-0.217
3,0.827,0.252,-0.555,0.096,0.17,-1.174,-0.336,-0.617,0.543,0.923,-1.055,0.836,1.0,-1.057,2.932,0.056,-1.719,-0.43,0.032,-3.899,-0.235
4,0.887,0.332,-0.714,-0.143,0.133,-1.333,-0.505,-0.997,0.536,0.627,-1.151,1.091,1.0,-0.823,3.022,-0.071,-1.866,-0.402,-0.044,-3.847,-0.002
5,0.786,0.259,-0.042,0.267,0.144,-0.937,-0.102,-0.972,0.511,0.415,-1.015,0.581,1.0,-0.756,2.674,0.322,-1.516,-0.401,0.482,-3.987,0.014
6,0.692,0.329,-0.361,0.314,0.243,-1.381,-0.073,-1.103,0.538,0.113,-0.921,0.976,1.0,-0.808,3.201,0.232,-1.597,-0.362,0.137,-4.222,0.06
7,0.807,-0.114,-0.655,0.083,0.283,-1.179,0.165,-0.796,0.261,0.647,-0.909,1.069,1.0,-0.45,2.884,0.126,-1.188,-0.501,0.084,-3.749,-0.256
8,0.717,0.401,-0.037,0.167,0.211,-1.051,0.007,-1.099,0.44,0.085,-0.972,0.656,1.0,-0.858,3.044,0.125,-1.684,-0.239,0.552,-3.946,0.092
9,0.792,0.144,-0.446,0.067,0.009,-0.882,-0.112,-1.06,0.399,0.957,-0.981,0.766,1.0,-0.721,2.762,-0.025,-1.46,-0.535,0.262,-3.389,0.076
10,0.753,0.086,-0.367,0.252,0.126,-1.037,0.004,-0.902,0.351,0.459,-1.063,0.463,1.0,-0.865,3.041,0.156,-1.358,-0.521,0.547,-3.591,0.042
11,0.715,0.589,-0.602,0.181,0.224,-1.22,-0.618,-1.029,0.39,0.819,-1.153,1.017,1.0,-1.001,3.155,-0.046,-1.945,-0.658,0.119,-4.21,0.091
12,0.675,0.233,-0.478,0.148,0.214,-1.118,-0.389,-1.176,0.527,0.576,-1.089,0.763,1.0,-0.8,2.889,0.476,-1.25,-0.531,0.469,-3.497,0.217
13,0.788,-0.003,-0.051,0.185,0.191,-1.068,0.256,-0.968,0.433,0.792,-1.101,0.659,1.0,-0.444,2.765,0.19,-1.142,-0.438,0.416,-3.649,0.097
14,0.946,0.143,-0.42,0.341,0.208,-1.018,-0.301,-0.953,0.261,0.503,-0.838,0.942,1.0,-0.977,3.144,0.068,-1.942,-0.558,0.173,-4.187,-0.15
15,0.467,0.661,-0.46,0.095,0.123,-1.149,-0.362,-0.893,0.339,0.432,-0.85,0.671,1.0,-0.942,2.951,0.188,-1.579,-0.253,0.451,-3.881,0.282
16,0.783,0.191,-0.682,0.149,0.04,-0.899,0.008,-1.148,0.28,0.725,-0.89,0.733,1.0,-0.712,2.807,0.174,-1.166,-0.541,0.489,-3.386,0.05
17,0.82,0.312,-0.65,0.266,0.25,-1.254,-0.558,-0.781,0.257,0.809,-0.893,0.88,1.0,-1.037,2.751,0.156,-1.626,-0.591,0.194,-3.868,-0.246
18,0.632,0.274,-0.056,0.296,0.318,-0.982,-0.01,-0.937,0.483,0.549,-1.045,0.563,1.0,-0.884,3.047,0.252,-1.334,-0.415,0.504,-3.789,0.166
19,0.536,0.049,-0.291,0.16,0.016,-1.274,0.279,-1.245,0.343,-0.03,-1.057,0.846,1.0,-0.527,3.249,0.377,-1.466,-0.199,0.467,-3.847,0.246
20,0.75,-0.006,0.041,0.169,0.183,-1.081,0.086,-1.079,0.35,0.501,-0.728,0.856,1.0,-0.653,3.266,0.343,-1.571,-0.331,0.285,-4.207,-0.006
21,1.028,-0.384,-0.234,0.083,0.182,-0.932,0.474,-0.875,-0.053,0.431,-0.392,1.088,1.0,-0.324,3.156,0.23,-1.091,-0.174,-0.039,-3.886,-0.217
22,0.951,0.231,-0.639,0.271,0.348,-1.376,-0.744,-0.943,0.63,0.877,-1.149,1.059,1.0,-1.351,3.209,0.056,-2.123,-0.481,-0.042,-4.387,-0.228
23,0.66,-0.085,-0.302,0.046,-0.079,-1.239,-0.004,-0.958,0.492,0.601,-0.965,1.056,1.0,-0.575,3.204,0.071,-1.962,-0.289,0.073,-4.284,-0.017
24,0.695,0.546,-0.973,0.119,0.349,-1.108,-0.605,-0.925,0.457,0.503,-0.808,0.99,1.0,-1.146,2.886,0.01,-1.462,-0.434,0.081,-3.641,-0.056
25,0.281,0.313,0.11,0.114,0.238,-0.842,-0.067,-1.032,0.207,0.534,-0.918,0.385,1.0,-0.673,2.465,0.022,-1.389,-0.315,0.732,-3.65,0.456
26,0.847,-0.543,0.464,0.018,0.273,-0.676,0.885,-0.973,0.177,0.705,-0.73,1.157,1.0,0.042,2.963,0.241,-0.976,-0.184,-0.222,-4.132,-0.176
27,0.725,0.034,0.343,0.356,0.34,-0.74,0.056,-1.069,0.479,0.552,-1.1,0.524,1.0,-0.768,2.995,0.36,-1.652,-0.644,0.638,-4.404,0.07
