Unnamed: 0,x0,x1,x2,x3,x4,x5,x6,x7,y,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20
0,-0.038,0.664,0.635,-3.638,1.242,-2.612,-2.544,-1.257,1.0,1.229,0.508,-0.427,-0.092,-3.953,7.9,-0.606,-0.495,0.611,0.068,-0.284,-2.02
1,-0.515,0.937,0.623,-4.05,1.293,-3.039,-2.744,-1.53,1.0,1.216,0.603,-0.62,-0.186,-3.698,7.544,-0.793,-0.646,0.802,0.069,-0.481,-2.14
2,-0.064,0.524,0.622,-4.481,1.131,-3.249,-2.252,-1.197,1.0,1.318,0.39,-0.292,-0.374,-4.306,8.495,-0.694,-0.401,0.498,0.351,-0.428,-2.043
3,-0.204,1.009,0.817,-4.286,1.049,-3.015,-2.447,-1.412,1.0,1.283,0.772,-0.64,-0.454,-3.256,7.034,-0.567,-0.67,0.75,0.27,-0.622,-2.0
4,-0.453,0.522,1.078,-3.977,1.356,-2.872,-2.066,-1.035,1.0,1.354,0.308,-0.346,-0.207,-4.001,8.217,-0.495,-0.406,0.505,0.08,-0.243,-2.101
5,-0.126,0.436,0.67,-4.679,1.316,-3.391,-2.057,-1.043,1.0,1.377,0.571,-0.451,-0.276,-3.109,7.83,-0.5,-0.426,0.452,-0.025,-0.26,-2.027
6,-0.692,0.743,1.171,-4.576,1.278,-3.265,-2.299,-1.227,1.0,1.369,0.328,-0.442,-0.191,-3.492,7.718,-0.788,-0.535,0.569,0.273,-0.408,-2.404
7,-0.393,0.199,1.12,-3.757,1.541,-2.18,-1.938,-0.966,1.0,1.116,0.336,-0.368,-0.394,-4.299,7.885,-0.347,-0.426,0.27,0.243,-0.294,-1.734
8,-0.592,0.411,1.027,-3.653,1.047,-2.105,-2.153,-1.06,1.0,0.943,0.248,-0.2,-0.277,-3.692,7.097,-0.562,-0.575,0.127,0.038,-0.095,-1.907
9,-0.346,0.734,0.796,-3.186,1.081,-2.317,-2.053,-1.423,1.0,1.193,0.516,-0.375,-0.215,-4.723,8.165,-0.554,-0.428,0.737,0.177,-0.247,-1.866
10,-0.69,0.967,0.942,-3.666,0.739,-2.542,-2.333,-1.778,1.0,1.088,0.496,-0.553,-0.295,-3.747,7.45,-0.663,-0.734,0.739,0.103,-0.556,-2.128
11,-0.137,1.116,0.758,-3.44,0.767,-2.581,-2.567,-1.816,1.0,1.344,0.544,-0.483,-0.269,-5.037,8.762,-0.842,-0.318,0.736,0.216,-0.256,-1.968
12,-0.615,1.273,0.954,-4.25,0.723,-3.006,-2.576,-1.873,1.0,1.272,0.372,-0.699,-0.386,-3.79,8.111,-0.914,-0.738,0.929,0.387,-0.596,-2.269
13,0.054,0.633,0.807,-3.554,1.193,-2.652,-2.252,-1.274,1.0,1.391,0.517,-0.563,-0.27,-5.409,8.885,-0.792,-0.301,0.726,0.335,-0.514,-1.869
14,-0.244,0.466,0.901,-4.355,1.384,-2.836,-2.136,-1.106,1.0,1.308,0.492,-0.313,-0.541,-3.575,7.708,-0.862,-0.634,0.338,0.257,-0.382,-2.214
15,-0.243,0.289,-0.042,-3.959,1.389,-2.602,-2.108,-1.123,0.0,1.43,0.181,-0.499,-0.271,-4.886,8.697,-0.704,-0.01,0.327,0.1,-0.205,-1.915
16,0.024,0.118,-0.03,-3.356,1.598,-2.334,-2.048,-0.733,0.0,1.009,0.497,-0.488,-0.06,-4.31,8.385,-0.27,-0.449,0.33,0.077,-0.165,-1.903
17,-0.572,0.095,0.353,-3.7,1.519,-2.221,-1.907,-0.783,0.0,1.046,0.206,-0.371,-0.151,-4.434,8.007,-0.528,-0.233,0.133,0.155,0.104,-1.789
18,-0.545,0.091,0.112,-3.542,1.585,-2.035,-2.085,-0.926,0.0,1.176,0.284,-0.173,-0.208,-5.313,8.467,-0.609,-0.212,0.061,0.085,-0.149,-1.641
19,-0.413,0.009,0.348,-3.647,1.494,-2.202,-1.8,-0.72,0.0,1.255,0.233,-0.336,-0.488,-4.566,7.481,-0.465,-0.135,0.02,0.24,-0.296,-1.523
20,0.285,0.257,-0.16,-4.374,1.531,-3.176,-2.077,-0.93,0.0,1.539,0.563,-0.476,-0.385,-3.998,8.366,-0.8,-0.302,0.085,0.31,-0.28,-2.141
21,-0.458,0.164,0.162,-3.972,1.479,-2.453,-2.272,-1.023,0.0,1.06,-0.007,-0.508,-0.209,-5.436,9.21,-0.696,-0.154,0.18,0.268,-0.338,-1.926
22,-0.06,-0.152,-0.007,-3.985,1.863,-2.306,-1.811,-0.67,0.0,1.142,0.529,-0.161,-0.297,-4.564,7.713,-0.463,0.026,0.066,0.195,-0.182,-1.622
23,-0.7,0.27,0.498,-3.498,1.549,-1.761,-2.15,-0.982,0.0,1.066,0.059,-0.482,-0.36,-5.5,8.531,-0.672,-0.268,0.155,0.253,-0.306,-1.806
24,-0.449,0.042,-0.058,-3.67,1.675,-2.236,-2.107,-0.854,0.0,1.011,0.34,-0.361,-0.28,-5.127,8.526,-0.434,-0.385,0.153,0.256,-0.252,-1.662
25,-0.28,0.18,0.105,-4.174,1.513,-2.87,-2.033,-0.843,0.0,1.272,0.336,-0.438,-0.235,-3.089,7.205,-0.454,-0.378,0.291,-0.002,-0.237,-2.115
26,-0.125,-0.014,-0.106,-3.575,1.707,-1.985,-1.963,-0.688,0.0,0.85,0.504,-0.199,-0.33,-5.028,8.214,-0.481,-0.069,0.089,0.188,-0.281,-1.499
