x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,y,x18,x19,x20
-3.591,5.102,2.616,1.045,-2.749,-3.544,-1.797,0.097,0.621,0.11,-2.425,1.864,0.019,0.28,-1.871,1.419,0.473,1.0,0.549,-0.884,-0.516
-3.802,4.858,1.609,0.628,-2.851,-3.884,-1.532,-0.202,0.528,0.907,-1.176,1.754,-0.092,0.06,-1.401,0.314,0.261,1.0,0.592,-1.038,-0.314
-3.742,5.426,0.855,0.459,-2.723,-3.832,-1.7,-0.028,0.952,1.414,-0.818,1.766,0.319,0.252,-0.697,-0.013,0.877,1.0,0.335,-1.344,-0.633
-3.91,4.288,2.744,0.596,-2.61,-3.937,-1.589,0.022,0.452,-0.045,-1.72,1.809,0.17,0.048,-1.653,0.921,0.936,1.0,0.438,-1.189,-0.632
-3.486,3.701,3.232,0.619,-2.597,-4.131,-1.268,0.292,0.114,-0.613,-2.136,1.581,0.095,0.044,-1.688,1.39,1.254,1.0,0.428,-1.193,-0.425
-3.248,4.621,2.055,0.364,-2.835,-4.603,-1.477,0.137,0.566,0.41,-1.433,1.628,0.327,-0.217,-1.38,-0.008,0.221,1.0,0.589,-1.324,-0.669
-3.767,4.555,1.954,0.841,-3.07,-3.796,-1.65,-0.199,0.604,0.244,-1.564,1.797,-0.195,-0.33,-1.666,0.807,1.206,1.0,0.476,-1.192,-0.677
-4.049,4.77,2.478,0.73,-3.058,-4.155,-1.608,-0.044,0.682,0.339,-1.804,1.812,0.196,0.301,-1.589,0.966,0.679,1.0,0.643,-1.041,-0.523
-3.887,4.201,2.27,0.612,-2.879,-3.894,-1.39,-0.05,0.739,-0.011,-1.66,1.769,0.16,0.116,-1.417,0.472,0.375,1.0,0.763,-1.193,-0.565
-3.952,3.941,3.344,0.558,-2.996,-3.84,-1.474,0.225,0.223,-0.346,-2.187,1.517,0.207,0.055,-1.837,1.152,0.547,1.0,0.588,-0.984,-0.593
-4.361,4.698,2.074,0.721,-2.675,-3.216,-1.374,-0.111,0.685,0.104,-1.822,1.875,0.088,0.118,-1.577,0.809,0.841,1.0,0.568,-1.123,-0.691
-3.066,4.637,2.196,0.6,-2.942,-3.978,-1.749,-0.149,0.548,0.348,-1.476,1.651,0.038,0.098,-1.555,0.705,0.598,1.0,0.481,-1.261,-0.447
-3.68,5.578,2.188,0.587,-2.913,-3.022,-1.722,-0.037,0.109,0.909,-1.824,1.546,-0.016,0.131,-1.603,1.052,0.808,1.0,0.444,-1.304,-0.558
-4.163,4.644,2.034,0.675,-3.147,-3.897,-1.724,0.065,1.051,0.198,-1.752,1.981,0.007,0.687,-1.359,0.852,0.644,1.0,0.541,-1.2,-0.431
-4.685,5.073,1.331,0.595,-2.992,-4.093,-1.741,-0.134,0.993,1.056,-1.058,1.904,-0.135,0.46,-1.042,0.278,0.577,1.0,0.543,-1.326,-0.558
-2.865,4.915,0.963,0.581,-3.054,-3.581,-1.83,-0.45,0.796,0.578,-1.368,1.565,0.054,0.235,-1.103,0.188,0.176,1.0,0.322,-1.357,-0.559
-3.825,4.159,1.932,0.59,-2.77,-3.825,-1.587,-0.089,0.617,0.21,-1.608,1.777,-0.054,0.008,-1.496,0.594,0.801,1.0,0.503,-1.121,-0.717
-2.605,4.804,1.936,0.707,-2.961,-4.091,-1.617,0.009,0.526,0.373,-1.485,1.634,0.168,-0.116,-1.262,0.49,0.563,1.0,0.534,-1.21,-0.468
-3.188,5.284,2.913,0.772,-3.056,-3.942,-1.727,0.208,0.158,0.547,-1.984,1.514,0.218,0.298,-1.599,1.468,0.704,1.0,0.313,-1.288,-0.384
-3.993,4.584,2.849,0.703,-2.977,-3.883,-1.504,0.338,0.479,0.009,-2.174,1.669,-0.055,0.949,-1.546,1.506,0.14,1.0,0.565,-1.12,-0.27
-5.09,4.022,2.367,0.618,-2.847,-3.867,-1.522,0.075,0.608,-0.459,-2.008,1.927,-0.117,0.307,-1.63,0.99,0.799,1.0,0.506,-1.11,-0.571
-4.133,4.678,2.18,0.447,-2.962,-3.585,-1.641,0.209,0.493,0.358,-1.469,1.513,-0.254,0.175,-1.413,0.886,0.975,1.0,0.452,-1.216,-0.464
-3.395,4.372,1.707,0.73,-2.827,-4.005,-1.529,-0.326,0.549,0.165,-1.52,1.721,0.149,-0.178,-1.443,0.392,0.41,1.0,0.23,-1.263,-0.493
-5.19,5.228,0.093,0.232,-2.388,-3.887,-1.54,0.03,1.491,1.625,-0.485,1.648,0.007,0.729,-0.33,-0.708,0.002,1.0,0.257,-1.411,-0.633
-3.457,4.487,2.721,0.456,-3.383,-4.024,-1.494,0.042,0.629,0.247,-1.711,1.817,-0.056,0.483,-1.532,0.964,1.186,1.0,0.479,-1.02,-0.679
-3.972,5.078,0.987,0.613,-2.888,-4.308,-1.668,-0.214,0.864,0.858,-1.131,1.66,0.048,-0.094,-1.004,-0.114,0.54,1.0,0.495,-1.346,-0.792
-4.516,3.692,3.075,0.905,-2.756,-3.892,-1.596,0.136,0.411,-1.007,-2.728,1.766,0.014,0.055,-2.018,1.487,0.151,1.0,0.565,-0.908,-0.529
-4.413,4.422,2.347,0.85,-3.067,-3.586,-1.579,-0.03,0.21,-0.37,-1.973,1.597,0.159,-0.206,-1.679,1.189,0.805,1.0,0.559,-1.248,-0.526
-4.978,4.451,2.036,0.632,-2.958,-4.299,-1.525,-0.079,0.751,0.296,-1.584,1.598,-0.108,0.186,-1.311,0.647,0.942,1.0,0.479,-1.017,-0.724
-3.186,4.797,1.032,0.362,-2.388,-4.127,-1.681,-0.137,1.099,1.186,-0.773,1.665,0.271,0.344,-0.857,-0.269,0.591,1.0,0.43,-1.246,-0.739
-5.005,4.917,1.351,0.407,-3.165,-4.264,-1.783,-0.022,0.942,0.897,-0.991,1.916,0.055,0.715,-0.902,0.367,0.937,1.0,0.535,-1.379,-0.474
-4.851,4.352,2.75,0.634,-2.616,-4.288,-1.605,0.101,0.63,0.042,-2.063,1.906,0.039,0.303,-1.722,0.921,0.38,1.0,0.443,-1.062,-0.593
-2.615,4.375,3.072,0.775,-3.067,-4.187,-1.522,0.253,0.381,0.402,-1.675,1.669,0.578,-0.124,-1.558,1.07,1.259,1.0,0.657,-1.012,-0.495
-3.689,4.589,1.874,0.558,-2.78,-4.023,-1.578,-0.048,0.691,0.418,-1.417,1.874,0.167,0.131,-1.397,0.198,0.236,1.0,0.445,-1.287,-0.483
-3.254,4.851,1.503,0.401,-3.001,-2.986,-1.535,-0.195,0.764,0.934,-1.147,1.686,-0.116,0.279,-1.134,0.423,1.388,1.0,0.319,-1.259,-0.762
-4.593,4.549,1.977,0.448,-2.911,-4.442,-1.544,0.077,0.543,0.111,-1.438,1.836,0.168,0.083,-1.623,0.086,-0.006,1.0,0.731,-1.354,-0.585
-4.99,3.985,2.872,0.48,-3.097,-3.799,-1.386,0.103,0.489,-0.419,-2.203,1.629,-0.132,0.505,-1.69,1.164,0.531,1.0,0.552,-1.223,-0.584
-3.3,4.725,1.528,0.682,-3.074,-3.472,-1.721,-0.241,0.474,0.456,-1.411,1.592,0.127,-0.101,-1.3,0.592,0.836,1.0,0.392,-1.345,-0.448
-4.851,4.706,1.489,0.532,-2.689,-3.615,-1.676,-0.292,0.729,0.665,-0.978,1.844,-0.351,0.381,-1.084,0.668,1.079,1.0,0.439,-1.268,-0.394
-3.722,5.125,0.669,0.241,-3.285,-3.659,-1.615,0.08,1.297,1.481,-0.714,1.729,0.041,0.907,-0.605,-0.276,-0.003,1.0,0.676,-1.408,-0.492
-4.049,4.686,1.999,0.306,-3.212,-4.047,-1.529,0.114,0.834,0.749,-1.29,1.671,0.138,0.326,-1.193,0.232,0.528,1.0,0.049,-1.235,-0.664
-4.904,4.721,2.249,0.551,-2.932,-3.99,-1.62,-0.008,0.62,0.501,-1.458,1.913,-0.158,0.665,-1.393,1.004,0.963,1.0,0.335,-1.199,-0.461
-4.178,5.136,2.285,0.656,-2.99,-3.893,-1.593,-0.151,0.56,0.243,-2.108,1.728,0.095,-0.016,-1.786,0.742,-0.057,1.0,0.355,-1.278,-0.5
-3.454,4.589,2.239,0.481,-3.064,-4.036,-1.491,0.183,0.451,0.27,-1.736,1.491,0.18,0.187,-1.346,0.835,0.844,1.0,0.39,-1.197,-0.744
-3.3,4.665,1.962,0.321,-3.175,-3.687,-1.497,-0.191,0.772,0.495,-1.54,1.524,0.098,0.501,-1.339,0.421,0.233,1.0,0.425,-1.309,-0.555
-4.511,4.401,1.414,0.653,-2.606,-4.015,-1.598,-0.176,1.036,0.504,-1.191,1.823,-0.053,0.256,-1.126,0.143,0.482,1.0,0.38,-1.056,-0.594
-4.362,4.013,2.952,0.597,-3.023,-4.31,-1.546,0.198,0.742,-0.353,-2.021,1.77,0.187,0.278,-1.579,0.936,0.626,1.0,0.517,-1.085,-0.6
-3.929,4.617,1.744,0.312,-2.805,-3.683,-1.576,0.1,0.966,0.476,-1.149,1.977,0.043,0.663,-1.073,0.229,0.661,1.0,0.283,-1.449,-0.601
-4.648,5.292,1.984,0.527,-2.789,-4.431,-1.584,0.258,0.904,1.068,-1.243,1.864,0.158,0.259,-1.418,0.276,0.615,1.0,0.442,-1.371,-0.595
-3.678,5.242,2.136,0.595,-3.027,-3.755,-1.842,-0.084,0.532,0.5,-1.818,1.743,0.086,0.226,-1.567,0.753,0.484,1.0,0.557,-1.431,-0.417
-4.044,4.855,1.345,0.437,-2.922,-3.624,-1.627,-0.211,0.567,0.587,-1.296,1.719,0.002,0.025,-1.234,0.196,1.004,1.0,0.595,-1.309,-0.777
-4.128,5.025,1.389,0.486,-2.863,-3.908,-1.341,0.009,0.745,1.332,-0.872,1.639,0.099,0.36,-0.943,0.216,0.68,1.0,0.498,-1.172,-0.546
-4.195,4.511,2.099,0.74,-2.76,-4.197,-1.426,0.12,0.634,0.408,-1.689,1.78,0.234,-0.027,-1.44,0.447,-0.001,1.0,0.768,-1.035,-0.605
-3.255,4.747,1.591,0.605,-3.021,-3.938,-1.815,-0.057,0.669,0.386,-1.563,1.658,0.211,0.085,-1.297,0.327,0.466,1.0,0.302,-1.304,-0.657
