x0,x1,x2,x3,x4,x5,x6,x7,x8,y,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20
-0.672,-0.22,1.151,-3.888,-1.401,0.778,0.141,0.498,2.708,1.0,1.3,-4.491,0.634,2.354,7.371,-1.748,0.595,2.977,0.231,0.244,0.842
-1.266,-0.264,0.384,-3.519,-0.558,0.999,0.482,0.239,2.388,1.0,1.629,-4.853,0.942,2.026,8.101,-1.775,0.312,3.313,0.419,0.253,0.844
-0.752,-0.304,0.709,-3.54,-0.861,0.696,0.213,0.485,2.483,1.0,0.974,-4.285,0.682,1.993,8.113,-1.738,0.278,3.257,0.373,-0.078,0.741
-1.009,-0.378,1.065,-3.363,-1.071,0.87,0.439,0.179,2.465,1.0,1.39,-4.799,0.813,2.046,7.954,-1.857,0.884,2.799,0.441,0.301,0.776
-0.11,-0.174,1.028,-3.502,-1.525,0.448,-0.013,0.504,2.237,1.0,0.8,-4.325,0.814,1.919,8.288,-1.857,0.496,2.206,0.096,0.173,0.555
-0.216,-0.142,0.164,-4.158,-1.278,0.588,0.239,0.373,2.829,1.0,1.249,-4.397,0.967,2.369,7.841,-2.079,0.928,2.623,0.22,0.156,0.748
-0.822,-0.39,0.288,-3.644,-0.963,0.674,0.464,0.258,2.522,1.0,1.453,-4.415,0.822,2.248,7.116,-1.967,1.051,2.904,0.36,0.192,0.709
-0.151,-0.136,0.648,-3.478,-1.081,0.594,0.137,0.32,2.223,1.0,0.672,-4.157,0.847,1.92,8.144,-1.696,0.401,2.011,-0.018,0.155,0.736
-0.179,-0.471,0.843,-4.095,-1.112,0.777,0.156,0.31,2.719,1.0,1.175,-4.068,0.746,2.273,7.644,-1.869,0.521,2.291,0.346,0.092,0.931
-0.707,-0.144,0.323,-3.939,-1.126,0.469,0.245,0.165,2.576,1.0,0.866,-4.427,0.893,2.5,8.051,-1.837,0.328,2.942,0.3,0.087,0.571
-0.566,-0.461,1.038,-3.571,-1.123,0.788,0.315,0.246,2.469,1.0,1.521,-4.702,0.62,2.024,8.083,-1.67,0.736,2.36,0.297,0.343,0.902
-0.834,-0.369,0.935,-4.166,-1.337,0.825,0.389,0.349,3.076,1.0,1.476,-4.961,0.703,2.485,7.736,-1.836,0.97,3.1,0.505,0.221,0.732
-0.964,-0.391,0.443,-3.899,-1.055,0.636,0.298,0.242,2.725,1.0,1.059,-4.672,0.644,2.047,8.105,-1.906,0.362,3.103,0.548,0.054,0.594
-0.192,-0.341,0.273,-3.656,-1.228,0.494,0.319,0.271,2.442,1.0,0.966,-4.261,0.937,2.37,8.068,-1.698,0.828,2.531,0.301,0.057,0.648
0.085,-0.065,0.595,-4.436,-1.456,0.389,-0.183,0.634,2.816,1.0,0.472,-3.862,0.951,2.292,7.824,-2.001,0.47,2.65,0.219,0.026,0.696
-0.255,-0.206,0.724,-3.726,-1.273,0.336,0.295,0.401,2.597,1.0,0.967,-3.844,0.745,2.169,8.068,-1.708,0.278,2.998,0.187,-0.159,0.85
-0.397,-0.186,0.527,-4.027,-1.136,0.724,0.373,0.314,2.891,1.0,1.291,-4.566,0.714,2.413,7.75,-1.735,1.202,2.594,0.129,0.092,0.635
-0.458,-0.437,0.44,-3.631,-0.759,0.9,0.295,0.236,2.499,1.0,1.16,-4.393,0.766,2.141,8.235,-1.783,0.53,2.24,0.385,0.171,0.68
-0.434,-0.212,0.996,-3.895,-1.323,0.717,-0.059,0.555,2.349,1.0,0.741,-4.174,0.752,2.203,7.626,-1.662,0.562,2.743,0.275,0.034,0.69
-1.015,-0.412,0.502,-3.608,-0.613,0.733,0.53,0.21,2.944,1.0,1.398,-4.215,0.711,2.382,7.52,-2.066,0.192,3.442,0.596,0.212,0.688
-0.783,-0.398,0.277,-4.073,-0.655,0.941,0.583,-0.015,3.161,1.0,1.557,-4.924,0.651,2.424,8.038,-1.934,0.888,2.634,0.463,0.18,0.922
-0.633,-0.34,0.954,-4.749,-1.13,0.841,0.24,0.53,3.35,1.0,1.349,-4.139,0.666,2.497,7.573,-2.086,0.387,3.125,0.659,0.154,0.701
-0.414,-0.044,0.147,-4.029,-1.138,0.365,0.401,0.44,2.899,1.0,0.881,-4.285,1.041,2.558,8.104,-2.049,0.513,3.162,0.231,-0.153,0.809
-0.421,-0.306,0.787,-4.065,-1.194,0.616,0.177,0.29,2.825,1.0,0.912,-4.08,0.893,2.464,8.246,-1.962,0.315,2.704,0.264,0.107,0.727
-0.471,-0.097,0.779,-4.066,-1.434,0.504,0.036,0.478,2.742,1.0,0.968,-4.228,0.862,2.476,7.945,-2.162,0.416,2.991,0.194,0.157,0.872
-0.617,-0.229,0.765,-3.72,-0.998,0.708,0.362,0.264,2.75,1.0,1.383,-4.389,0.612,2.513,7.878,-1.978,0.641,2.715,0.488,0.168,0.639
-0.341,-0.193,1.466,-4.2,-1.421,0.423,0.019,0.347,2.741,1.0,0.571,-4.071,0.827,2.317,8.038,-1.793,0.378,2.851,0.244,0.054,0.522
-0.721,-0.358,0.319,-4.003,-0.856,0.894,0.324,0.319,2.864,1.0,1.638,-4.903,0.833,2.242,8.089,-2.015,1.021,2.752,0.469,0.479,0.875
-0.537,0.115,0.71,-3.576,-1.158,0.142,0.177,0.593,2.509,1.0,0.564,-3.428,0.813,2.275,7.58,-2.042,-0.257,3.128,0.539,-0.237,0.644
-0.416,-0.335,0.722,-4.312,-1.218,0.608,0.171,0.512,2.827,1.0,0.943,-3.958,0.924,2.232,7.948,-2.195,0.171,3.128,0.411,0.161,0.518
-0.73,-0.318,0.318,-3.716,-0.955,0.974,0.39,0.35,2.443,1.0,1.512,-4.407,0.845,2.179,7.118,-1.899,0.951,2.718,0.443,0.201,0.866
0.087,0.164,0.284,-3.857,-1.351,0.033,0.125,0.4,2.515,1.0,0.36,-3.38,0.672,2.345,8.037,-1.875,0.277,2.738,0.314,-0.238,0.87
-0.473,-0.444,0.18,-3.99,-0.93,0.888,0.625,0.018,2.97,1.0,1.613,-4.976,0.807,2.293,7.905,-1.798,1.279,2.357,0.303,0.267,0.982
-0.335,-0.133,1.178,-4.197,-1.288,0.349,0.126,0.221,2.805,1.0,0.699,-3.707,0.774,2.526,7.515,-1.962,0.404,2.58,0.5,-0.024,0.872
-0.571,-0.516,-0.081,-3.944,-0.91,0.897,0.399,0.146,2.716,1.0,1.346,-4.418,0.836,2.286,7.498,-1.76,0.932,2.454,0.1,0.259,0.784
-0.625,-0.308,0.546,-4.115,-1.161,0.812,0.138,0.318,2.597,1.0,1.317,-4.39,0.803,2.286,7.928,-2.035,0.73,2.75,0.387,0.093,0.843
0.053,-0.265,0.138,-3.284,-0.777,0.453,0.299,0.283,2.412,1.0,1.181,-4.181,0.628,2.01,8.16,-1.821,0.568,2.216,0.428,0.115,0.626
-0.272,-0.271,0.881,-3.827,-1.183,0.533,0.185,0.305,2.732,1.0,0.727,-3.882,0.993,2.316,8.22,-1.892,0.289,2.647,0.106,0.135,0.574
-0.179,-0.17,0.767,-4.09,-1.417,0.497,0.011,0.471,2.863,1.0,0.89,-3.526,0.792,2.514,7.455,-2.217,0.366,2.569,0.421,0.324,0.72
-0.141,-0.162,0.94,-3.939,-1.419,0.462,0.01,0.403,2.443,1.0,0.742,-3.675,0.67,1.947,7.33,-1.904,0.572,2.408,0.573,0.002,0.665
-1.227,-0.254,-0.242,-3.693,-0.272,0.67,0.684,0.045,3.102,1.0,1.215,-4.622,0.757,2.678,8.226,-2.069,0.061,3.789,0.61,-0.104,0.735
-0.121,-0.181,0.868,-3.911,-1.434,0.533,0.313,0.55,2.776,1.0,1.176,-4.355,0.922,2.322,8.031,-2.13,1.02,2.672,0.521,-0.01,0.683
-0.099,-0.109,0.255,-3.661,-1.136,0.197,-0.087,0.701,2.273,1.0,0.362,-3.466,0.626,1.831,7.634,-1.647,0.213,2.581,0.618,0.208,0.694
-0.386,-0.304,0.316,-3.784,-0.981,0.604,0.229,0.283,2.565,1.0,1.082,-4.106,0.749,2.207,7.8,-1.891,0.543,2.594,0.399,0.167,0.502
-0.322,-0.279,0.474,-3.789,-1.46,0.429,0.103,0.495,2.41,1.0,0.652,-3.761,0.814,1.94,7.667,-1.764,0.391,2.687,0.331,-0.278,0.58
-0.012,-0.442,-0.149,-3.59,-0.88,0.61,0.196,0.398,2.343,1.0,1.023,-4.403,0.595,1.886,7.963,-1.567,0.866,2.268,0.414,0.285,0.612
0.088,-0.2,1.188,-3.276,-1.522,0.626,-0.101,0.568,1.738,1.0,0.459,-4.403,0.973,1.739,8.511,-1.597,0.801,1.965,-0.229,0.186,0.858
-0.446,-0.341,0.702,-2.956,-0.858,0.939,0.43,0.185,2.009,1.0,1.439,-5.042,0.763,1.81,7.761,-1.55,1.343,2.189,0.282,0.199,0.533
-0.543,-0.246,0.847,-3.023,-1.339,0.47,0.088,0.248,1.777,1.0,0.832,-4.303,0.858,1.77,7.988,-1.512,0.526,2.343,0.002,0.163,0.73
-0.212,0.042,0.959,-4.13,-1.5,0.254,0.151,0.367,2.928,1.0,0.72,-3.462,0.737,2.611,6.821,-2.097,0.468,2.576,0.622,0.032,0.837
-0.664,-0.435,0.759,-3.664,-1.273,0.58,0.198,0.468,2.71,1.0,1.018,-4.121,0.82,2.146,7.41,-1.925,0.43,2.898,0.274,0.233,0.693
-0.181,-0.016,1.111,-4.16,-1.619,0.23,-0.257,0.707,2.315,1.0,0.317,-3.891,0.643,2.029,7.986,-1.868,0.334,2.461,0.441,-0.031,0.571
-0.104,-0.011,0.701,-4.158,-1.631,0.158,0.048,0.6,2.656,1.0,0.511,-3.762,0.753,2.321,7.846,-2.018,0.664,3.042,0.376,-0.11,0.48
0.014,-0.369,0.636,-4.034,-1.024,0.434,-0.142,0.653,2.413,1.0,0.634,-3.458,0.785,1.735,7.952,-1.725,0.002,2.658,0.293,0.025,0.587
-0.034,0.06,0.512,-4.236,-1.12,0.392,0.087,0.384,2.795,1.0,0.686,-3.816,0.761,2.442,7.725,-2.099,0.357,2.663,0.546,-0.067,0.601
-0.032,-0.278,0.802,-3.864,-1.328,0.556,0.02,0.692,2.385,1.0,0.819,-3.761,0.768,1.768,7.789,-1.769,0.398,2.502,0.33,0.188,0.494
-0.645,-0.392,0.497,-3.642,-1.105,0.78,0.175,0.525,2.297,1.0,1.195,-4.489,0.913,1.954,7.457,-1.744,0.703,2.838,0.2,0.249,0.842
-0.426,-0.622,0.749,-3.465,-1.177,0.68,0.201,0.045,2.177,1.0,1.121,-4.721,0.758,1.806,8.153,-1.664,0.946,2.171,0.033,0.188,0.822
-1.075,-0.394,1.099,-4.098,-0.781,0.88,0.25,0.041,2.903,1.0,1.582,-4.649,0.712,2.364,7.563,-1.672,0.434,2.908,0.359,0.307,0.686
-0.264,-0.028,0.314,-4.192,-0.793,0.492,0.207,0.233,2.821,1.0,0.98,-3.651,0.652,2.548,7.005,-2.324,0.53,2.499,0.738,0.157,0.712
-0.836,-0.057,0.417,-3.656,-1.156,0.527,0.368,0.462,2.59,1.0,1.023,-4.563,0.688,2.395,8.09,-1.682,0.489,3.324,0.436,0.143,0.73
-0.04,0.069,0.39,-4.117,-1.358,0.36,-0.063,0.419,2.654,1.0,0.662,-3.614,0.863,2.522,7.715,-2.29,0.237,2.674,0.335,0.037,0.658
-0.64,-0.36,0.065,-3.894,-0.562,0.975,0.448,0.072,2.734,1.0,1.62,-4.455,0.712,2.396,7.571,-1.898,0.811,2.581,0.309,0.271,0.768
-0.469,-0.559,0.339,-4.346,-1.007,0.655,0.292,0.219,3.121,1.0,1.181,-4.373,0.722,2.408,8.002,-1.756,0.55,2.845,0.214,0.196,0.773
-0.21,-0.153,0.262,-4.646,-1.156,0.513,0.37,0.302,3.303,1.0,1.118,-3.863,0.798,2.722,7.37,-2.019,0.547,2.92,0.315,-0.122,0.803
-0.407,0.005,0.665,-3.632,-1.297,0.293,0.079,0.545,2.523,1.0,0.554,-4.238,0.763,2.233,8.359,-1.877,0.334,3.116,0.417,-0.079,0.602
-0.424,-0.21,0.411,-4.109,-1.021,0.379,0.093,0.312,2.779,1.0,0.765,-3.71,0.903,2.311,7.821,-1.924,0.078,3.068,0.388,0.024,0.822
-0.284,-0.34,-0.016,-3.6,-0.629,0.734,0.317,0.434,2.302,1.0,1.345,-4.828,0.831,1.823,8.174,-1.869,1.212,2.248,0.569,0.181,0.702
-0.181,-0.179,0.686,-3.546,-1.147,0.411,-0.007,0.393,2.163,1.0,0.551,-4.093,0.833,1.637,8.126,-1.639,0.406,2.287,0.177,0.05,0.662
-0.124,-0.297,0.682,-3.999,-1.357,0.537,0.204,0.454,2.771,1.0,0.869,-4.301,0.893,2.401,8.056,-2.004,0.81,2.408,0.267,0.049,0.709
-0.542,-0.542,1.32,-3.569,-1.343,0.848,-0.023,0.549,2.144,1.0,1.004,-4.857,0.821,1.533,8.333,-1.342,0.768,2.559,0.027,0.297,0.752
0.102,-0.483,0.847,-3.779,-1.305,0.611,0.148,0.38,2.385,1.0,0.834,-4.374,0.725,2.164,8.067,-1.845,0.969,2.003,0.352,0.078,0.808
0.109,-0.199,0.485,-4.304,-1.428,0.682,0.261,0.196,2.846,1.0,1.173,-4.809,0.944,2.762,7.916,-1.981,1.383,2.113,0.174,0.122,0.69
0.192,-0.416,1.009,-3.597,-1.465,0.652,-0.181,0.653,1.927,1.0,0.506,-4.246,0.771,1.542,8.327,-1.809,0.822,1.93,0.527,0.07,0.654
