Unnamed: 0,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,y,x19,x20
0,0.768,0.202,0.507,0.235,-0.257,0.243,1.211,-0.959,-0.987,3.217,8.424,-0.281,1.132,-6.399,7.282,0.464,0.037,0.999,1.0,-0.943,-0.97
1,0.935,-0.365,0.531,0.451,0.085,0.394,1.624,-0.538,-0.953,3.575,8.756,-0.191,1.342,-6.059,6.924,0.726,0.176,1.167,1.0,-0.831,-0.826
2,0.74,0.088,0.46,0.553,-0.308,0.515,1.388,-0.945,-0.882,2.395,8.87,-0.35,1.356,-7.647,7.975,0.445,-0.095,0.77,1.0,-0.641,-1.141
3,0.674,-0.48,0.715,0.592,-0.069,0.824,1.175,-0.611,-1.115,2.698,9.283,-0.361,0.877,-7.265,7.645,0.223,0.379,0.91,1.0,-0.945,-1.578
4,0.797,-0.749,0.785,0.702,-0.149,0.76,1.185,-0.48,-1.237,2.858,9.62,-0.181,1.263,-7.483,7.945,0.37,0.413,0.79,1.0,-0.896,-1.444
5,0.754,-0.453,0.644,0.43,-0.069,0.435,1.059,-0.629,-1.024,2.583,9.095,-0.259,1.134,-7.242,7.885,0.248,0.359,0.938,1.0,-0.872,-1.018
6,0.641,-0.528,0.803,0.654,-0.302,0.931,1.006,-0.801,-1.004,2.16,9.395,-0.287,1.246,-7.719,7.694,0.363,0.462,0.881,1.0,-0.626,-1.427
7,0.681,-0.409,0.835,0.437,-0.215,0.635,0.871,-0.491,-1.288,2.34,8.538,0.08,1.128,-6.853,7.564,0.215,0.566,0.75,1.0,-0.911,-1.278
8,0.674,-0.917,0.731,1.155,-0.176,0.949,0.903,-0.317,-1.147,1.973,8.781,-0.281,1.079,-6.941,7.529,0.351,0.668,0.736,1.0,-0.758,-1.316
9,0.996,-0.945,1.122,0.92,-0.101,0.229,1.282,-0.083,-1.263,2.352,8.493,0.082,1.108,-6.085,7.934,0.528,0.982,0.514,1.0,-1.317,-0.48
10,0.775,-0.019,0.558,0.621,-0.171,0.807,1.445,-1.05,-0.883,3.025,9.159,-0.206,1.005,-7.047,7.406,0.61,0.173,1.113,1.0,-0.738,-1.205
11,0.654,-0.807,0.631,0.817,-0.056,0.09,1.059,-0.451,-1.215,2.347,8.479,-0.139,1.259,-6.476,7.978,0.637,0.591,1.146,1.0,-1.13,-0.758
12,0.876,-0.5,0.88,0.698,-0.134,0.182,1.267,-0.6,-1.051,2.933,9.259,-0.066,1.209,-6.763,7.673,0.611,0.395,0.886,1.0,-0.984,-0.937
13,0.526,-0.347,0.515,-0.014,-0.051,0.767,1.394,-0.397,-0.853,2.928,9.652,-0.127,1.1,-7.992,9.01,0.484,0.404,0.552,0.0,-0.69,-0.941
14,0.845,-0.712,0.42,0.059,-0.033,0.523,1.391,0.144,-1.225,3.473,8.728,-0.246,1.212,-6.659,8.218,0.222,0.341,0.475,0.0,-1.147,-0.701
15,0.682,-0.217,0.126,-0.13,-0.186,0.278,1.401,-0.375,-0.933,2.37,7.417,0.142,1.157,-6.457,8.083,0.681,0.003,0.787,0.0,-0.726,-0.326
16,0.787,-0.752,0.445,0.34,0.029,0.213,1.365,0.268,-1.177,2.817,8.583,0.027,1.297,-6.147,8.187,0.542,0.712,0.488,0.0,-1.178,-0.373
17,0.835,-0.827,0.514,-0.322,-0.01,-0.01,1.438,0.269,-1.477,3.17,7.789,0.012,0.998,-5.731,8.151,0.534,0.59,0.726,0.0,-1.546,-0.277
18,0.905,-0.592,0.283,0.049,0.069,0.403,0.945,0.035,-1.233,2.127,7.959,0.148,1.177,-6.619,8.436,0.433,0.35,0.626,0.0,-1.033,-0.442
19,0.705,-0.389,0.418,-0.094,-0.296,0.73,1.417,-0.467,-0.991,2.559,8.407,-0.037,1.074,-7.427,8.185,0.525,0.27,0.869,0.0,-0.643,-0.913
20,0.518,-0.506,0.477,-0.164,-0.051,0.816,1.475,-0.392,-0.993,3.25,9.552,-0.255,1.081,-7.974,8.811,0.551,0.312,0.592,0.0,-0.685,-0.916
21,0.717,-0.383,0.373,0.178,-0.049,0.517,1.409,-0.224,-0.857,3.136,9.143,0.054,1.023,-7.517,8.577,0.761,0.143,0.738,0.0,-0.465,-0.702
22,0.607,-0.373,0.563,-0.226,-0.114,0.831,1.44,-0.165,-1.163,2.395,8.266,-0.077,1.047,-7.199,8.28,0.542,0.357,0.775,0.0,-0.876,-0.863
23,0.717,-1.156,0.688,0.273,-0.109,0.631,1.319,0.004,-1.274,3.094,9.362,0.064,1.297,-7.325,8.876,0.301,0.764,0.842,0.0,-1.044,-0.856
24,0.816,-0.114,0.498,-0.101,-0.021,0.315,1.043,-0.364,-0.876,1.72,7.967,-0.276,1.342,-7.605,8.769,0.564,0.078,0.773,0.0,-0.726,-0.571
25,0.833,-0.778,0.424,0.12,-0.389,0.936,0.865,0.213,-1.243,2.162,8.646,-0.055,1.222,-7.518,8.51,0.164,0.589,0.869,0.0,-1.024,-1.013
26,0.5,-0.213,0.329,0.034,-0.041,0.589,1.302,-0.214,-0.849,2.603,8.64,-0.119,1.219,-7.197,8.159,0.579,0.207,0.953,0.0,-0.766,-0.644
27,0.479,-0.92,0.78,0.13,-0.03,0.782,1.087,-0.19,-0.971,2.081,8.678,0.0,1.485,-7.668,8.439,0.385,0.63,0.669,0.0,-0.391,-0.889
28,0.385,-0.218,0.311,-0.185,-0.159,1.328,1.339,-0.395,-0.846,3.797,9.966,-0.008,1.17,-8.436,8.438,0.284,0.105,1.089,0.0,-0.229,-1.268
29,0.431,0.168,0.216,-0.399,-0.216,1.097,1.261,-0.564,-0.826,1.829,8.457,-0.273,1.365,-8.177,8.278,0.444,0.07,0.731,0.0,-0.543,-1.429
30,0.585,-0.33,0.667,0.065,-0.235,0.755,1.589,-0.409,-0.919,3.38,9.726,-0.191,1.191,-7.892,8.312,0.762,0.392,0.8,0.0,-0.736,-1.094
31,0.473,-0.53,0.674,0.07,-0.09,1.275,0.996,-0.376,-0.987,1.79,9.11,-0.144,1.236,-8.193,8.27,0.289,0.611,0.72,0.0,-0.499,-1.376
