Unnamed: 0,x0,x1,x2,x3,x4,x5,x6,y,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20
0,0.188,-0.942,-1.324,-0.676,3.866,0.096,2.215,1.0,0.329,4.823,0.025,0.622,-0.081,-2.006,1.729,0.214,-0.929,2.138,-3.519,-0.098,-2.319
1,0.091,-1.003,-1.388,-0.108,3.765,0.192,2.069,1.0,0.357,4.34,-0.061,0.855,-0.275,-2.059,1.449,0.125,-0.841,2.01,-2.671,0.161,-2.544
2,0.027,-1.05,-1.508,0.074,3.754,0.331,2.394,1.0,0.253,4.443,0.015,0.834,-0.155,-2.3,1.644,-0.054,-1.024,1.958,-2.914,0.083,-1.86
3,0.04,-1.253,-1.462,-1.093,3.892,0.219,1.815,1.0,0.369,4.631,-0.074,1.024,-0.167,-1.685,1.813,0.128,-0.692,1.981,-2.89,0.142,-2.907
4,0.202,-0.813,-1.62,-0.304,3.391,0.404,2.122,1.0,0.279,4.417,-0.186,0.463,-0.081,-1.918,1.972,0.063,-1.097,2.031,-3.119,-0.025,-2.046
5,0.124,-1.129,-1.542,-0.366,3.442,0.222,1.846,1.0,0.323,4.463,-0.096,0.627,-0.171,-2.009,1.688,0.102,-0.744,2.003,-2.893,0.4,-2.18
6,0.314,-0.985,-1.659,0.002,3.783,0.286,2.378,1.0,0.312,4.54,-0.151,1.045,-0.474,-2.15,2.007,-0.03,-0.6,2.396,-2.622,0.155,-2.482
7,0.101,-1.002,-1.484,-0.563,3.562,0.392,1.99,1.0,0.388,4.489,-0.174,0.417,-0.098,-1.903,1.831,0.168,-0.809,2.043,-3.141,-0.02,-2.516
8,0.227,-1.093,-1.475,-0.397,3.603,0.163,2.175,1.0,0.278,4.391,-0.041,0.464,-0.141,-1.815,1.692,0.171,-0.78,2.147,-3.087,-0.063,-2.552
9,0.167,-1.039,-1.472,-0.273,3.68,0.242,2.372,1.0,0.332,4.428,-0.172,0.99,-0.2,-2.156,1.746,0.22,-0.763,1.938,-2.762,0.215,-2.155
10,0.052,-1.167,-1.364,-1.044,3.306,0.281,1.906,1.0,0.337,4.293,-0.224,0.522,0.011,-1.612,1.419,0.269,-0.78,1.745,-2.83,0.16,-2.246
11,-0.031,-0.901,-1.389,-0.216,4.19,0.255,2.842,1.0,0.008,4.8,-0.3,0.999,-0.093,-2.09,1.306,0.409,-1.064,1.982,-3.195,0.223,-2.568
12,-0.043,-1.065,-1.162,-0.187,3.837,0.226,2.52,1.0,0.267,4.712,-0.266,1.091,-0.145,-2.37,1.508,0.068,-1.042,1.894,-2.923,0.057,-2.059
13,-0.05,-1.084,-1.569,-0.686,3.494,0.271,2.265,1.0,0.23,4.549,-0.376,0.941,-0.104,-1.821,1.598,0.422,-1.204,1.676,-3.047,0.05,-2.139
14,-0.053,-1.063,-1.58,-0.824,3.951,0.176,2.311,1.0,0.317,4.924,-0.227,1.104,-0.223,-2.068,1.544,0.308,-0.981,1.995,-2.932,0.261,-2.438
15,0.102,-1.051,-1.431,-0.483,3.452,0.342,1.76,1.0,0.387,4.368,-0.117,0.696,-0.211,-1.8,1.761,0.253,-0.937,1.944,-3.039,-0.054,-2.306
16,0.041,-1.056,-1.423,-0.481,3.73,0.461,2.228,1.0,0.468,4.33,-0.31,0.82,-0.382,-1.862,1.594,0.223,-0.698,2.189,-2.565,0.171,-2.684
