Unnamed: 0,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,y,x18,x19,x20
0,2.506,0.049,0.264,1.102,-2.1,-1.396,0.386,-0.594,0.95,0.112,-0.242,-0.639,0.112,3.587,-0.205,-0.565,0.563,1.0,-1.101,0.26,0.46
1,3.051,-0.298,0.224,0.769,-2.843,-1.415,0.485,-0.562,1.385,-0.083,-0.342,-0.769,-0.086,4.541,-0.245,-0.61,0.83,1.0,-1.484,0.324,0.59
2,1.895,-0.938,0.414,0.253,-1.136,-0.357,0.291,-0.763,0.374,-0.438,-0.096,-0.356,-0.291,2.191,0.118,0.068,0.137,1.0,-0.576,0.149,0.544
3,1.577,-0.68,-0.05,1.087,-1.244,-0.035,0.573,-0.753,0.182,0.118,-0.083,-0.3,-0.216,2.333,0.077,0.102,0.361,1.0,-0.504,-0.084,0.124
4,1.952,-0.528,0.235,0.57,-1.76,-0.646,0.549,-0.821,0.477,0.184,-0.389,-0.227,-0.318,3.364,0.118,-0.336,0.323,1.0,-1.002,-0.121,0.399
5,1.824,-0.462,0.095,1.284,-1.226,-0.201,0.511,-0.588,0.322,-0.276,0.182,-0.604,-0.135,2.176,0.024,-0.028,0.237,1.0,-0.565,0.049,0.158
6,2.007,-0.714,0.527,1.153,-1.579,-0.28,0.451,-0.524,0.938,-0.299,-0.071,-0.481,-0.149,2.662,0.157,0.002,0.559,1.0,-0.688,0.386,0.949
7,2.18,-0.497,0.359,0.559,-1.787,-0.627,0.529,-0.721,0.42,-0.073,-0.258,-0.483,-0.152,3.082,0.056,-0.3,0.369,1.0,-0.957,0.062,0.481
8,1.707,-0.372,0.367,0.012,-1.609,-0.156,0.238,0.038,1.321,-0.382,-0.275,-0.138,-0.172,2.176,-0.012,0.083,0.688,1.0,-0.38,0.703,0.81
9,2.349,-0.24,0.621,0.72,-1.561,-0.84,0.477,-0.952,0.775,-0.258,-0.266,-0.595,-0.129,2.577,0.274,-0.299,0.605,1.0,-0.75,0.005,0.987
10,1.981,-0.069,0.777,0.22,0.448,-0.297,1.71,-2.471,-1.822,-0.142,-0.082,-0.438,0.146,2.042,-0.274,0.149,-0.664,0.0,-0.336,-2.011,0.521
11,2.294,-0.87,0.784,0.772,-0.989,-0.647,1.471,-2.068,-1.255,-0.386,-0.053,-0.573,-0.409,3.055,-0.048,-0.495,-0.215,0.0,-0.956,-1.359,0.52
12,2.366,-0.234,0.549,0.333,-0.892,-0.639,0.832,-1.039,-0.051,-0.185,-0.48,-0.5,-0.017,2.778,-0.143,0.255,0.403,0.0,-0.4,-0.307,0.666
13,1.902,-0.324,0.646,1.416,-0.215,-0.797,1.317,-2.086,-1.167,-0.322,0.031,-0.434,-0.123,2.555,0.009,-0.279,-0.614,0.0,-0.923,-1.434,-0.052
14,2.308,0.109,0.988,0.426,-1.262,-0.728,0.276,-0.576,0.722,0.021,-0.285,-0.468,0.189,2.503,-0.089,0.12,0.468,0.0,-0.617,0.31,1.175
15,2.724,-0.386,1.019,0.948,-0.527,-0.791,1.555,-2.156,-1.521,-0.326,-0.202,-0.609,-0.265,3.221,-0.024,-0.387,-0.526,0.0,-0.999,-1.627,0.578
16,1.717,-0.548,1.004,0.781,0.609,0.336,1.757,-2.066,-1.755,-0.677,-0.05,-0.141,-0.243,2.017,-0.053,0.075,-0.782,0.0,-0.453,-1.899,0.492
17,0.643,-0.536,0.451,0.585,0.371,0.475,1.207,-1.31,-1.359,-0.524,0.085,0.081,-0.454,0.797,-0.413,0.19,-0.602,0.0,0.165,-0.927,0.133
18,2.069,-0.376,0.974,0.091,-0.198,-0.471,0.961,-1.723,-1.026,-0.55,-0.3,-0.33,-0.116,2.278,0.008,0.025,-0.187,0.0,-0.556,-0.963,0.983
19,2.417,-0.653,0.657,0.242,-1.827,-0.748,0.927,-1.343,-0.14,-0.012,-0.22,-0.648,-0.446,3.068,-0.117,-0.535,0.256,0.0,-0.914,-0.388,0.917
20,2.004,-0.342,1.287,0.617,-0.428,-0.218,1.204,-1.387,-0.918,-0.562,-0.2,-0.23,-0.103,2.043,-0.088,-0.085,-0.219,0.0,-0.564,-0.875,1.044
21,2.296,0.198,0.57,-0.089,-0.458,-0.891,1.19,-1.771,-0.931,-0.002,-0.113,-0.575,0.355,2.865,0.004,-0.193,-0.159,0.0,-0.924,-1.177,0.272
22,2.25,-0.456,0.474,0.682,-0.929,-0.671,1.239,-1.83,-0.728,-0.315,-0.365,-0.57,-0.095,2.754,0.084,-0.201,0.116,0.0,-0.532,-1.021,0.611
23,2.212,-0.684,0.913,0.44,-0.657,-0.244,0.832,-1.354,-0.383,-0.627,-0.381,-0.38,-0.308,2.316,0.131,-0.107,0.047,0.0,-0.589,-0.727,0.862
24,2.157,-0.399,0.576,0.594,-0.876,-0.578,1.187,-1.608,-0.865,-0.218,0.021,-0.351,-0.164,3.289,-0.017,-0.366,-0.272,0.0,-1.006,-1.04,0.483
25,2.078,-0.141,0.674,0.474,-0.578,-0.344,0.854,-1.504,-0.514,-0.429,-0.442,-0.423,0.088,2.704,-0.013,-0.061,-0.02,0.0,-0.695,-0.801,0.865
26,2.022,-0.494,0.758,0.464,0.095,-0.295,1.748,-2.665,-1.931,-0.481,0.0,-0.469,-0.275,2.77,0.059,-0.22,-0.671,0.0,-0.773,-2.281,0.245
27,1.509,-0.827,0.512,1.15,-0.211,-0.052,0.827,-1.389,-0.894,-0.378,0.046,-0.28,-0.497,1.765,-0.468,0.05,-0.398,0.0,-0.316,-0.702,0.34
28,2.012,-0.735,0.421,1.004,0.138,-0.314,1.458,-2.611,-1.593,-0.312,0.17,-0.642,-0.381,2.69,0.041,-0.107,-0.592,0.0,-0.995,-1.988,-0.056
29,2.441,-0.316,0.859,1.317,-0.359,-0.722,1.348,-2.148,-1.154,-0.605,-0.217,-0.478,-0.006,2.708,0.136,-0.218,-0.349,0.0,-0.905,-1.485,0.49
30,2.366,-0.317,1.102,0.865,-0.307,-0.324,1.353,-1.942,-1.392,-0.483,-0.375,-0.314,-0.181,2.789,-0.243,-0.276,-0.417,0.0,-0.77,-1.52,0.914
31,1.473,-0.47,1.056,0.71,0.001,0.493,1.196,-1.416,-1.336,-0.371,0.011,-0.192,-0.137,1.698,-0.456,0.276,-0.487,0.0,-0.15,-0.908,1.018
32,1.305,-0.692,0.416,0.381,0.233,0.124,1.106,-1.763,-1.505,-0.874,-0.076,-0.233,-0.445,1.474,-0.375,0.162,-0.574,0.0,-0.29,-1.233,0.054
33,2.008,-0.113,0.835,0.28,-0.226,-0.289,1.725,-2.062,-1.53,-0.259,-0.073,-0.478,0.42,2.856,-0.036,-0.133,-0.475,0.0,-0.967,-1.717,0.417
34,1.898,-0.399,1.151,0.238,-0.31,-0.262,1.014,-1.629,-0.65,-0.329,-0.194,-0.287,-0.393,1.985,-0.065,-0.006,-0.405,0.0,-0.298,-0.806,0.885
35,3.231,-0.611,0.968,1.023,-1.611,-1.295,0.871,-1.449,0.066,-0.358,-0.555,-0.8,-0.244,3.55,-0.071,-0.359,0.233,0.0,-0.93,-0.369,1.154
36,1.925,-0.542,0.716,-0.043,0.004,-0.132,1.445,-1.823,-1.461,-0.522,-0.261,-0.201,-0.152,2.375,-0.192,-0.131,-0.58,0.0,-0.6,-1.38,0.314
