x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,y,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20
1.531,-0.488,3.744,-1.798,0.021,-3.117,0.45,-4.112,-3.877,-1.555,1.0,-1.019,-0.448,0.008,-2.529,-0.093,0.486,-0.939,0.021,0.248,0.262
1.627,-0.829,4.486,-1.787,-0.401,-2.685,0.399,-3.959,-3.776,-1.273,1.0,-1.24,0.229,-0.084,-3.347,-0.231,1.092,-0.064,1.235,0.118,0.622
1.606,-0.77,3.549,-2.025,0.063,-2.957,0.42,-3.854,-3.27,-1.377,1.0,-1.208,-0.328,0.102,-2.76,0.023,0.946,-0.504,0.445,0.147,0.7
1.414,-0.36,3.889,-1.81,-0.075,-2.796,0.316,-3.838,-3.313,-1.489,1.0,-1.107,-0.554,-0.088,-2.94,0.029,0.978,-1.075,0.034,-0.063,0.775
1.506,-0.424,3.595,-2.005,-0.161,-2.809,0.507,-4.001,-2.759,-1.267,1.0,-1.106,-1.114,-0.336,-2.581,-0.139,0.088,-1.302,-0.42,0.085,-0.033
1.499,-0.457,4.213,-1.563,-0.054,-2.843,0.317,-3.874,-3.001,-1.114,1.0,-1.239,-0.344,0.07,-3.266,-0.097,0.58,-0.787,0.284,0.036,0.582
1.477,-0.646,4.768,-1.412,0.01,-3.142,0.295,-3.466,-1.897,-1.365,1.0,-1.427,-1.264,0.37,-4.004,0.17,0.973,-1.416,-0.219,0.194,0.783
1.618,-0.593,4.626,-1.521,-0.201,-2.455,0.623,-3.72,-2.725,-1.08,1.0,-1.504,-0.459,0.088,-3.959,-0.17,0.949,-0.752,0.251,0.125,0.705
1.546,-0.733,3.886,-1.965,0.105,-2.833,0.393,-4.342,-2.731,-1.306,1.0,-1.068,-1.429,0.119,-3.206,0.082,0.656,-1.506,-0.453,0.147,0.536
1.39,-0.749,3.315,-2.171,-0.019,-3.033,0.378,-3.929,-2.407,-1.545,1.0,-1.093,-1.62,0.22,-2.191,-0.099,0.927,-1.605,-0.329,0.125,0.872
1.699,-0.396,5.222,-1.139,-0.253,-2.892,0.511,-3.924,-3.128,-1.515,1.0,-1.589,-0.345,0.114,-4.46,0.118,0.745,-0.742,-0.011,0.087,0.347
1.331,-1.014,3.385,-2.32,0.095,-3.45,0.389,-3.744,-2.726,-1.578,1.0,-1.084,-1.109,0.058,-2.234,0.14,0.882,-0.991,0.007,-0.168,0.638
1.774,-0.809,4.51,-1.704,-0.393,-2.724,0.418,-3.854,-3.645,-1.226,1.0,-1.236,0.106,0.017,-3.686,-0.185,0.99,-0.122,1.024,-0.026,0.671
1.513,-0.429,4.443,-1.658,-0.194,-2.795,0.425,-4.357,-2.901,-1.273,1.0,-1.3,-0.775,-0.212,-3.797,0.007,1.038,-1.325,-0.025,0.176,0.775
1.616,-0.553,4.618,-1.456,-0.1,-2.755,0.398,-3.583,-2.827,-1.184,1.0,-1.353,-0.57,-0.15,-3.572,0.113,0.762,-0.702,0.3,0.056,0.3
1.526,-0.632,3.828,-1.777,0.166,-3.178,0.258,-3.642,-2.493,-1.51,1.0,-1.45,-1.105,0.505,-3.323,0.25,1.07,-1.14,-0.268,0.269,0.432
1.327,-0.339,4.385,-1.055,0.019,-2.68,0.439,-2.891,-2.351,-1.285,1.0,-1.599,0.009,0.378,-4.133,-0.033,1.511,-0.487,0.605,-0.075,1.171
1.283,-0.721,2.809,-2.155,-0.122,-2.805,0.128,-4.112,-3.525,-1.165,1.0,-0.418,-0.999,-0.032,-1.328,-0.244,0.79,-0.917,0.023,0.237,0.73
1.377,-0.954,4.571,-1.876,-0.102,-2.782,0.477,-3.902,-2.813,-1.494,1.0,-1.362,-0.913,-0.163,-3.392,-0.095,0.624,-0.648,0.201,0.172,0.374
1.438,-0.685,3.884,-1.764,-0.079,-2.74,0.246,-3.927,-3.829,-1.221,1.0,-1.384,0.367,-0.007,-3.143,-0.178,1.124,0.141,0.932,0.026,0.834
1.35,-0.38,4.042,-1.402,0.092,-2.971,0.459,-3.679,-3.519,-1.442,1.0,-1.133,0.157,0.03,-3.164,0.143,0.897,-0.432,0.491,0.091,0.465
1.37,-0.482,3.743,-1.955,-0.446,-2.944,0.413,-3.832,-3.287,-1.28,1.0,-1.005,-0.45,-0.273,-2.262,-0.354,0.518,-0.838,0.063,0.037,0.252
1.411,-0.748,3.694,-2.07,-0.061,-2.818,0.225,-4.639,-3.476,-1.303,1.0,-0.814,-1.067,-0.375,-2.282,-0.223,0.806,-1.231,-0.183,0.374,0.665
1.505,-1.117,4.432,-1.934,0.035,-2.8,0.334,-4.049,-2.429,-1.339,1.0,-1.517,-0.723,-0.109,-3.775,-0.167,0.894,-0.474,0.499,0.022,0.974
1.616,-0.586,4.713,-1.391,-0.157,-2.617,0.499,-3.749,-2.743,-1.232,1.0,-1.473,-0.379,0.148,-3.979,-0.1,0.862,-0.689,0.348,0.25,0.618
1.666,-0.441,4.532,-1.742,-0.298,-2.999,0.43,-4.173,-3.29,-1.534,1.0,-1.246,-0.519,-0.104,-3.295,-0.034,0.652,-0.987,0.146,0.162,0.317
1.481,-0.604,3.371,-2.014,-0.184,-2.986,0.312,-4.196,-2.322,-1.255,1.0,-0.728,-2.019,-0.074,-2.195,-0.091,0.573,-2.152,-0.737,0.187,0.876
1.507,-0.476,3.647,-1.856,-0.019,-3.1,0.415,-3.89,-3.368,-1.465,1.0,-0.929,-0.687,0.051,-2.498,-0.0,0.79,-1.025,-0.244,0.184,0.446
1.442,-0.458,4.051,-1.387,-0.034,-2.777,0.447,-3.753,-3.566,-1.163,1.0,-1.371,0.266,0.201,-3.498,-0.016,1.227,-0.303,0.756,0.073,0.939
1.795,-0.793,5.455,-1.533,-0.473,-3.184,0.731,-4.269,-3.436,-1.676,1.0,-1.664,-0.553,-0.2,-4.162,-0.238,0.549,-0.915,0.41,0.197,0.329
1.431,-0.892,3.752,-2.075,-0.162,-2.993,0.477,-4.332,-3.461,-1.469,1.0,-0.954,-0.843,-0.093,-2.693,-0.058,0.615,-0.911,0.302,0.229,0.502
1.506,0.252,3.787,-1.378,0.417,-3.123,0.66,-3.986,-3.191,-1.509,0.0,-1.257,-0.193,-0.093,-2.797,-0.029,1.023,-2.194,-0.233,0.159,0.751
1.873,0.54,4.935,-0.908,0.349,-2.818,0.325,-3.921,-2.213,-1.424,0.0,-1.316,-1.09,0.088,-3.849,0.048,0.606,-2.989,-1.155,0.182,0.38
1.589,-0.19,4.864,-1.4,0.298,-2.507,0.281,-4.011,-1.508,-1.092,0.0,-1.29,-1.653,0.164,-3.793,-0.144,-0.005,-2.633,-0.652,0.101,0.205
1.578,-0.328,3.88,-1.832,0.54,-2.635,0.373,-4.171,-1.582,-1.326,0.0,-1.223,-1.972,0.014,-3.319,0.146,0.703,-3.29,-1.27,0.025,0.843
1.573,-0.013,3.703,-1.632,0.837,-2.771,0.244,-4.045,-2.082,-1.405,0.0,-1.178,-1.403,0.003,-2.87,0.181,0.309,-2.959,-0.913,0.128,0.168
1.415,-0.051,4.011,-1.601,0.452,-2.982,0.616,-4.132,-2.589,-1.483,0.0,-1.417,-0.984,0.065,-3.366,0.129,1.104,-2.577,-0.506,0.152,0.921
1.45,-0.302,3.65,-1.649,0.744,-2.858,0.263,-3.567,-1.997,-1.472,0.0,-1.19,-1.319,0.195,-3.015,0.282,0.668,-2.611,-0.578,0.274,0.184
1.728,-0.218,4.812,-1.357,0.297,-2.886,0.538,-3.993,-1.684,-1.522,0.0,-1.635,-1.465,0.088,-4.167,0.075,1.039,-2.916,-0.696,0.018,1.065
1.647,-0.119,4.309,-1.151,0.58,-2.908,0.389,-3.943,-2.826,-1.437,0.0,-1.626,0.007,0.025,-3.937,0.228,1.189,-1.855,0.282,0.11,0.602
1.393,-0.165,3.013,-1.855,0.389,-3.143,0.141,-3.549,-2.954,-1.504,0.0,-0.817,-0.406,0.12,-1.88,0.201,1.003,-1.879,0.15,0.333,0.457
1.602,-0.05,4.782,-1.446,0.319,-2.788,0.491,-4.134,-1.894,-1.292,0.0,-1.418,-1.144,-0.164,-3.68,-0.201,0.349,-2.509,-0.778,0.139,0.229
1.352,-0.14,3.831,-1.875,0.359,-3.017,0.362,-4.169,-2.754,-1.336,0.0,-0.899,-1.129,0.111,-2.556,0.029,0.494,-2.307,-0.68,0.068,0.338
1.343,-0.173,3.833,-1.592,0.545,-2.755,0.263,-3.879,-2.331,-1.383,0.0,-1.194,-1.163,-0.069,-3.085,0.191,0.884,-2.34,-0.845,-0.004,0.597
1.859,-0.162,4.567,-1.106,0.309,-2.605,0.344,-3.379,-1.779,-1.083,0.0,-1.371,-0.739,0.151,-3.812,0.078,1.046,-1.952,-0.495,0.057,0.51
1.403,-0.114,3.749,-1.624,0.158,-3.018,0.442,-3.554,-2.584,-1.416,0.0,-1.033,-0.462,0.015,-2.486,0.033,0.691,-1.788,-0.397,0.27,0.485
1.521,0.005,4.083,-1.608,0.411,-2.884,0.421,-4.221,-2.222,-1.324,0.0,-1.246,-1.475,0.171,-3.437,0.131,1.133,-3.065,-0.76,0.152,1.054
1.251,-0.093,3.171,-1.917,0.663,-3.218,0.41,-4.035,-2.788,-1.549,0.0,-0.965,-0.994,-0.093,-1.89,-0.006,0.561,-2.644,-0.559,-0.007,0.501
1.449,-0.328,4.221,-1.439,0.575,-2.882,0.484,-3.777,-1.641,-1.304,0.0,-1.542,-1.238,0.201,-3.432,0.004,0.717,-2.413,-0.616,0.203,0.559
1.424,-0.303,4.3,-1.585,0.412,-2.873,0.315,-3.725,-1.464,-1.496,0.0,-1.437,-1.499,0.145,-3.641,0.024,0.485,-2.623,-0.798,-0.043,0.482
