Unnamed: 0,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,y,x17,x18,x19,x20
0,-0.048,-0.393,1.571,-0.309,0.551,0.58,-0.579,0.995,4.438,-0.203,0.209,1.121,1.028,-0.702,0.657,3.289,1.0,0.618,-1.292,-1.334,0.535
1,0.044,-0.611,1.537,0.05,0.877,0.696,0.088,1.041,4.635,0.127,0.012,0.888,0.781,-0.834,0.903,2.626,1.0,0.411,-0.297,-1.39,-0.126
2,0.329,-0.534,1.65,-0.174,0.616,0.365,-0.404,1.081,4.535,-0.128,-0.036,1.289,0.862,-0.916,0.76,3.127,1.0,0.846,-1.448,-1.362,0.325
3,0.118,-0.591,1.332,-0.085,0.355,0.448,-0.199,0.949,4.599,-0.107,0.105,0.769,0.943,-0.516,0.406,2.811,1.0,0.622,-1.289,-1.634,0.475
4,0.069,-0.377,1.412,-0.164,0.761,0.558,-0.693,0.889,4.404,-0.233,0.127,0.834,0.923,-0.505,0.809,2.604,1.0,0.457,-0.968,-1.555,0.362
5,-0.339,-0.333,1.401,-0.173,0.388,0.61,0.118,0.927,4.87,0.144,0.182,1.027,0.955,-0.908,0.602,3.648,1.0,0.734,-1.197,-1.317,-0.012
6,0.019,-0.295,1.533,-0.023,0.506,0.588,0.014,0.839,4.368,0.182,0.185,0.733,0.846,-0.53,0.64,2.887,1.0,0.776,-1.158,-1.21,0.173
7,0.066,-0.397,1.377,-0.302,0.568,0.475,-0.625,1.02,4.307,-0.393,0.597,1.3,0.693,-0.559,0.9,2.943,1.0,0.362,-1.293,-1.414,0.556
8,0.035,-0.425,1.39,-0.183,0.578,0.421,-0.775,0.975,4.339,-0.226,0.373,1.265,0.717,-0.458,0.827,2.979,1.0,0.605,-1.791,-1.247,0.921
9,0.003,-0.416,1.386,-0.14,0.381,0.737,-0.641,0.959,4.094,0.053,0.259,1.146,0.7,-0.279,0.776,2.876,1.0,0.323,-1.444,-1.076,0.665
10,-0.087,-0.403,1.282,-0.006,0.504,0.511,-0.391,0.77,4.309,-0.012,0.176,0.547,0.745,-0.362,0.556,3.177,1.0,0.466,-1.413,-1.04,0.568
11,-0.079,-0.288,1.639,-0.077,0.781,0.694,0.56,0.999,4.921,0.155,0.062,0.776,1.112,-0.95,0.777,3.224,1.0,0.427,-0.342,-1.477,-0.416
12,0.075,-0.516,1.386,-0.02,0.537,0.599,-0.515,1.238,4.185,0.102,-0.179,1.132,0.904,-0.87,0.66,2.92,1.0,0.666,-1.254,-1.061,0.394
13,0.2,-0.523,1.601,-0.105,0.727,0.73,-0.549,0.954,4.358,-0.059,0.109,0.831,0.852,-0.644,0.666,2.702,1.0,0.561,-0.758,-1.326,0.262
14,0.426,-0.233,1.148,-0.034,0.351,0.443,-0.925,1.162,4.134,-0.219,0.355,1.12,0.53,-0.411,0.796,2.867,1.0,0.625,-1.994,-1.118,0.863
15,0.227,-0.415,1.495,0.131,0.6,0.695,-0.033,0.936,4.629,0.106,0.067,0.412,0.7,-0.787,0.632,2.853,1.0,0.589,-0.638,-1.403,-0.086
16,0.089,-0.445,1.618,-0.122,0.679,0.622,-0.38,0.909,4.465,0.098,-0.075,0.804,0.902,-0.46,0.821,2.85,1.0,0.667,-1.219,-1.238,0.453
17,0.204,-0.396,1.547,-0.131,0.468,0.604,-0.263,1.032,4.667,-0.126,0.34,0.954,0.689,-0.558,0.86,2.957,1.0,0.694,-1.173,-1.59,0.236
18,-0.216,-0.499,1.529,-0.137,0.396,0.484,-0.775,0.815,4.379,-0.256,0.247,0.99,0.666,-0.034,0.533,3.153,1.0,0.642,-1.852,-1.329,0.91
19,-0.001,-0.311,1.309,-0.196,0.551,0.591,-0.273,0.861,3.938,-0.111,0.411,0.838,0.777,-0.424,0.599,2.626,1.0,0.584,-1.251,-1.22,0.432
20,0.35,-0.394,1.276,-0.171,0.646,0.576,-0.795,1.176,3.853,-0.125,0.225,1.38,0.608,-0.442,0.882,2.451,1.0,0.432,-1.297,-1.202,0.549
21,-0.289,-0.455,1.487,-0.127,0.496,0.719,-0.447,0.977,4.429,0.011,0.172,1.276,0.752,-0.526,0.726,3.007,1.0,0.206,-1.201,-1.195,0.405
22,0.203,-0.488,1.199,0.171,0.59,0.459,-0.374,1.094,3.859,0.006,0.016,0.588,0.648,-0.502,0.837,2.385,1.0,0.733,-1.152,-1.09,0.388
23,0.349,-0.638,1.579,-0.211,0.946,0.523,-0.344,0.957,4.472,-0.174,0.171,0.882,0.873,-0.5,0.754,2.651,1.0,0.769,-1.041,-1.157,0.326
24,0.088,-0.355,1.493,0.039,0.347,0.666,-0.433,1.113,4.271,-0.0,-0.227,1.151,1.023,-0.591,0.562,3.058,1.0,0.71,-1.689,-1.155,0.506
25,0.217,-0.577,1.772,-0.206,0.856,0.487,0.079,1.039,4.792,0.003,0.044,1.085,0.886,-1.047,0.714,2.826,1.0,0.593,-0.297,-1.355,-0.166
26,0.041,-0.428,1.288,-0.148,0.723,1.014,0.133,0.989,3.856,0.488,-0.038,0.775,0.981,-0.309,0.633,2.349,0.0,0.573,-0.532,-1.071,0.068
27,0.444,-0.657,1.384,-0.248,0.549,0.36,-0.7,1.057,3.506,-0.243,0.365,1.171,0.635,-0.203,0.61,2.182,0.0,0.735,-1.349,-1.056,0.647
28,0.534,-0.329,1.17,-0.295,0.46,0.481,-0.284,0.887,3.431,-0.143,0.543,0.764,0.606,0.068,0.769,2.225,0.0,0.733,-1.634,-0.845,0.501
29,0.229,-0.482,1.197,-0.036,0.66,0.69,-0.145,0.813,3.812,0.055,-0.196,1.035,0.959,-0.628,0.598,2.212,0.0,0.544,-0.595,-1.084,0.151
30,0.147,-0.35,1.556,-0.289,0.807,0.711,-0.376,0.848,3.519,0.051,0.272,0.954,0.826,-0.384,0.742,2.194,0.0,0.609,-0.702,-1.156,0.172
31,0.608,-0.475,1.548,-0.031,0.671,0.659,-0.079,1.102,3.829,0.126,-0.001,0.741,0.933,-0.857,0.788,2.165,0.0,0.536,-0.517,-1.134,-0.061
32,0.313,-0.356,1.396,-0.044,0.724,0.583,-0.372,0.885,3.72,-0.109,0.166,0.875,0.816,-0.577,0.707,2.562,0.0,0.586,-1.142,-1.042,0.347
33,0.364,-0.496,1.428,-0.293,0.551,0.565,-0.445,0.897,3.434,-0.11,0.365,0.973,0.578,-0.331,0.658,2.353,0.0,0.592,-1.379,-0.984,0.558
34,0.18,-0.525,1.167,0.111,0.76,0.969,0.307,0.96,3.845,0.394,0.073,0.746,0.843,-0.408,0.562,2.042,0.0,0.515,-0.531,-1.223,-0.047
35,0.03,-0.351,1.279,-0.336,0.512,0.823,-0.527,0.787,3.17,0.005,0.622,0.783,0.704,-0.162,0.71,2.167,0.0,0.578,-1.322,-0.823,0.421
36,0.067,-0.483,1.413,-0.055,0.573,0.779,-0.038,1.03,4.065,0.084,0.187,1.218,0.615,-0.761,0.595,2.48,0.0,0.487,-0.743,-1.07,0.18
37,0.068,-0.471,1.33,-0.198,0.672,0.793,-0.185,0.846,3.822,0.064,0.256,1.061,0.853,-0.363,0.773,2.096,0.0,0.569,-0.92,-1.305,0.383
38,0.255,-0.463,1.55,0.005,0.807,0.733,0.22,1.073,4.073,0.189,0.163,1.108,0.836,-0.639,0.678,2.475,0.0,0.452,-0.728,-1.188,0.055
39,0.407,-0.522,1.648,-0.112,0.58,0.586,-0.467,1.125,3.703,-0.019,0.266,1.455,0.684,-0.541,0.624,2.282,0.0,0.441,-1.089,-1.006,0.377
40,0.161,-0.43,1.259,-0.292,0.477,0.575,-0.72,0.793,3.35,-0.054,0.322,1.252,0.726,-0.356,0.786,2.299,0.0,0.556,-1.514,-0.922,0.657
41,0.279,-0.451,1.483,-0.396,0.545,0.664,-0.262,0.684,3.667,0.058,0.172,0.841,1.001,-0.041,0.542,2.29,0.0,0.544,-1.097,-0.993,0.48
42,0.674,-0.385,1.515,-0.233,0.607,0.61,-0.106,1.139,3.342,0.006,0.169,1.126,0.677,-0.74,0.72,2.066,0.0,0.62,-0.738,-1.004,0.072
43,0.097,-0.291,1.459,-0.23,0.563,0.448,-0.402,0.871,3.622,-0.156,0.328,0.97,0.75,-0.378,0.737,2.614,0.0,0.68,-1.446,-1.12,0.502
44,0.184,-0.292,1.356,-0.259,0.623,0.597,-0.786,1.036,3.64,-0.06,0.402,1.417,0.653,-0.706,0.731,2.384,0.0,0.455,-0.729,-1.06,0.079
45,0.472,-0.672,1.517,-0.154,0.716,0.87,0.056,1.154,3.966,0.17,0.068,1.162,0.862,-0.791,0.729,2.237,0.0,0.473,-0.333,-1.224,-0.017
46,0.491,-0.408,1.447,-0.305,0.571,0.62,-0.332,1.043,3.217,-0.264,0.458,1.179,0.558,-0.321,1.008,1.971,0.0,0.713,-1.02,-1.012,0.366
47,0.167,-0.519,1.386,0.084,0.71,0.86,-0.336,0.941,3.847,0.082,0.167,1.25,0.715,-0.735,0.591,2.288,0.0,0.292,-0.733,-1.143,0.225
48,0.228,-0.461,1.396,-0.134,0.811,0.737,-0.075,1.117,3.854,0.157,0.235,0.989,0.83,-0.446,0.825,2.281,0.0,0.579,-0.653,-1.076,0.132
49,0.208,-0.355,1.394,-0.249,0.525,0.435,0.026,0.936,3.95,-0.087,0.363,0.897,0.907,-0.517,0.703,2.568,0.0,0.617,-0.767,-1.199,0.059
50,0.465,-0.494,1.188,-0.114,0.682,0.721,-0.302,1.069,3.128,0.059,0.396,1.115,0.58,-0.691,0.756,1.9,0.0,0.479,-0.796,-0.618,0.251
51,0.45,-0.581,1.502,-0.114,0.894,0.855,0.283,0.913,3.96,0.246,-0.019,0.788,0.823,-0.927,0.728,2.327,0.0,0.76,-0.33,-1.038,-0.379
52,0.414,-0.554,1.574,0.028,0.672,0.648,-0.157,0.826,3.726,-0.194,-0.099,0.855,0.775,-0.641,0.762,2.339,0.0,0.759,-1.076,-1.006,0.298
53,0.456,-0.427,1.294,-0.218,0.663,0.632,-0.095,0.832,3.45,0.244,0.505,0.471,0.594,0.063,0.71,2.05,0.0,0.701,-0.803,-1.018,0.27
54,0.658,-0.457,1.406,-0.21,0.364,0.429,-0.306,1.121,3.17,-0.056,0.303,0.936,0.725,-0.581,0.628,2.13,0.0,0.706,-1.193,-1.035,0.294
55,0.481,-0.512,1.273,-0.07,0.531,0.899,-0.011,1.037,3.315,0.135,0.27,1.272,0.533,-0.714,0.707,2.165,0.0,0.344,-0.752,-0.706,0.077
56,0.061,-0.464,1.281,-0.093,0.697,1.043,0.167,0.961,3.72,0.367,0.449,0.812,0.614,-0.201,0.852,2.316,0.0,0.233,-0.728,-0.859,0.227
57,0.06,-0.403,1.513,0.094,0.55,0.651,-0.289,0.877,3.855,0.04,0.059,0.902,0.703,-0.642,0.745,2.687,0.0,0.532,-1.206,-1.069,0.177
58,0.172,-0.628,1.599,-0.216,0.692,0.641,0.107,0.922,4.03,0.248,0.294,0.705,0.766,-0.526,0.627,2.235,0.0,0.617,-0.472,-1.183,-0.119
59,0.309,-0.538,1.188,-0.321,1.086,0.372,-0.029,0.86,3.648,0.133,0.401,0.624,0.711,-0.376,0.809,1.979,0.0,0.826,-0.249,-0.941,0.112
60,0.451,-0.569,1.642,-0.151,0.852,0.804,0.032,1.23,4.157,0.144,0.057,1.415,0.816,-0.887,0.793,2.387,0.0,0.426,-0.41,-1.16,0.061
61,0.527,-0.224,1.492,-0.198,0.534,0.387,-0.482,1.177,3.461,-0.188,0.253,1.135,0.657,-0.471,0.745,2.265,0.0,0.635,-1.289,-0.948,0.53
62,-0.03,-0.41,1.514,0.081,0.603,0.4,-0.207,1.016,3.995,-0.094,0.042,0.946,0.932,-0.758,0.705,2.589,0.0,0.475,-0.815,-1.304,0.067
63,0.329,-0.325,1.589,-0.113,0.597,0.584,-0.111,1.077,3.945,-0.075,0.119,0.889,1.013,-0.505,0.743,2.809,0.0,0.655,-1.041,-1.189,0.239
64,0.352,-0.617,1.505,-0.134,0.793,0.831,0.067,0.771,3.946,0.2,0.311,0.739,0.807,-0.494,0.65,2.347,0.0,0.632,-0.45,-1.242,0.068
65,0.426,-0.722,1.463,-0.114,0.694,0.53,-0.138,0.982,3.845,-0.104,0.001,0.92,0.828,-0.663,0.541,2.29,0.0,0.828,-1.042,-1.089,0.347
66,0.671,-0.51,1.253,-0.25,0.658,0.613,-0.449,1.144,2.858,-0.084,0.315,1.124,0.599,-0.554,0.727,1.513,0.0,0.526,-0.694,-0.7,0.299
67,-0.114,-0.322,1.608,-0.03,0.472,0.711,0.098,0.915,4.093,0.105,0.047,0.958,0.731,-0.459,0.726,2.93,0.0,0.577,-0.851,-1.129,0.045
68,0.219,-0.533,1.343,-0.168,0.51,0.75,-0.459,0.928,3.288,0.106,0.1,1.205,0.724,-0.441,0.76,2.089,0.0,0.405,-1.285,-1.075,0.477
69,0.187,-0.431,1.546,-0.181,0.56,0.498,-0.159,1.139,3.936,-0.133,0.212,1.066,0.924,-0.588,0.757,2.494,0.0,0.714,-1.24,-1.205,0.186
70,0.573,-0.447,1.417,0.059,0.68,0.543,0.212,0.979,3.576,-0.067,0.22,0.775,0.583,-0.767,0.74,1.954,0.0,0.833,-0.454,-1.071,-0.066
71,0.235,-0.372,1.44,-0.178,0.801,0.625,-0.476,0.978,3.709,-0.117,0.331,1.3,0.52,-0.613,0.891,2.354,0.0,0.471,-0.791,-1.121,0.4
72,0.175,-0.437,1.296,-0.131,0.82,0.65,-0.089,0.715,3.512,0.131,0.442,0.752,0.633,-0.143,0.777,2.096,0.0,0.608,-0.758,-0.951,0.189
73,0.406,-0.181,1.325,-0.172,0.635,0.512,-0.341,0.947,3.515,-0.085,0.448,0.818,0.554,-0.043,0.839,2.304,0.0,0.765,-1.211,-1.243,0.476
74,0.472,-0.561,1.461,-0.111,0.484,0.479,-0.146,0.958,3.531,-0.042,0.18,0.872,0.645,-0.613,0.632,2.308,0.0,0.833,-1.257,-1.151,0.165
75,0.034,-0.164,1.335,-0.092,0.213,0.495,-0.633,0.695,3.487,-0.192,0.331,0.962,0.769,-0.302,0.486,2.661,0.0,0.621,-1.66,-0.852,0.414
76,0.629,-0.538,1.32,0.114,0.698,0.318,0.113,1.092,4.001,-0.158,0.115,0.852,0.84,-1.052,0.547,2.58,0.0,0.978,-0.645,-1.074,-0.092
77,0.184,-0.64,1.31,-0.05,0.626,0.427,0.181,0.867,3.493,0.138,-0.11,0.942,0.841,-0.863,0.682,2.185,0.0,0.584,-0.816,-0.683,0.03
78,0.26,-0.319,1.393,-0.056,0.605,0.752,0.006,0.803,3.466,0.106,0.132,0.682,0.707,-0.554,0.581,2.163,0.0,0.384,-0.5,-1.078,-0.056
79,0.433,-0.365,1.391,-0.22,0.688,0.511,-0.425,0.978,3.405,-0.069,0.226,1.124,0.795,-0.459,0.526,2.115,0.0,0.595,-0.989,-0.89,0.449
80,0.206,-0.51,1.503,-0.113,0.842,0.65,0.185,0.921,3.643,0.248,0.345,0.514,0.683,-0.389,0.655,2.093,0.0,0.565,-0.385,-0.932,0.093
81,0.344,-0.716,1.267,-0.385,0.774,0.953,0.022,0.832,3.605,0.192,0.402,0.768,0.523,-0.204,0.635,2.025,0.0,0.37,-0.669,-0.809,0.338
82,0.394,-0.501,1.367,-0.172,0.593,0.353,-0.459,0.899,3.656,-0.22,0.086,1.005,0.753,-0.613,0.77,2.359,0.0,0.718,-1.294,-1.052,0.46
83,0.194,-0.502,1.148,-0.118,0.565,0.685,-0.026,0.914,3.935,0.227,0.129,0.927,0.813,-0.533,0.696,2.348,0.0,0.579,-0.996,-1.144,0.246
84,0.198,-0.449,1.17,-0.357,0.268,0.664,-0.82,1.06,3.321,-0.092,0.376,1.333,0.63,-0.194,0.619,2.466,0.0,0.487,-1.85,-0.75,0.932
