Unnamed: 0,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,y,x16,x17,x18,x19,x20
0,0.136,-1.412,1.096,-1.32,-0.781,0.1,-0.094,0.403,2.392,-1.826,-0.068,1.811,-0.358,-1.155,3.946,1.0,0.599,-0.565,-0.36,-1.265,1.893
1,0.253,-1.764,1.101,-1.524,-0.165,-0.267,-0.222,0.666,2.594,-1.515,-0.135,1.685,-0.369,-1.212,3.981,1.0,0.609,-0.551,-0.515,-1.18,1.805
2,0.141,-1.644,1.205,-1.347,-0.837,0.111,-0.228,0.711,2.587,-2.114,-0.217,1.749,-0.095,-1.139,3.983,1.0,0.306,-0.355,-0.496,-1.352,1.739
3,0.176,-1.53,1.032,-1.208,-0.515,0.058,-0.166,0.519,2.371,-1.759,-0.08,1.688,-0.179,-1.395,3.615,1.0,0.684,-0.583,-0.425,-0.962,1.806
4,-0.034,-1.787,1.063,-1.22,-0.613,0.065,-0.11,0.818,2.407,-1.935,0.035,1.825,-0.025,-1.422,3.951,1.0,0.551,-0.432,-0.505,-1.152,1.939
5,0.341,-1.408,1.039,-1.612,0.107,-0.277,-0.229,0.397,2.31,-1.273,0.033,1.763,-0.096,-1.235,3.523,1.0,0.693,-0.575,-0.554,-0.98,1.868
6,0.199,-1.654,1.166,-1.212,-0.727,0.106,-0.042,0.494,2.639,-1.907,-0.281,1.639,-0.491,-1.166,3.475,1.0,0.658,-0.712,-0.62,-1.189,1.815
7,0.082,-1.649,1.266,-1.305,-0.304,-0.029,-0.136,0.678,2.371,-1.827,-0.079,1.677,-0.262,-1.333,3.717,1.0,0.646,-0.498,-0.349,-1.145,1.866
8,0.115,-1.606,1.173,-0.697,-1.35,0.54,0.0,0.602,2.452,-2.535,0.044,1.744,-0.185,-1.223,3.974,1.0,0.772,-0.415,-0.398,-1.204,1.985
9,0.244,-1.594,1.075,-1.349,-0.173,-0.063,-0.522,0.622,2.423,-1.532,-0.018,1.629,-0.32,-1.15,3.882,1.0,0.659,-0.41,-0.561,-1.145,1.702
10,-0.182,-1.25,1.247,-1.306,-0.662,0.198,-0.195,0.619,2.486,-1.829,-0.13,1.711,-0.183,-1.162,3.604,1.0,0.71,-0.596,-0.514,-1.167,1.63
11,0.002,-1.511,1.109,-1.291,-0.307,0.095,-0.183,0.75,2.162,-1.562,0.141,1.573,-0.146,-1.146,3.159,1.0,0.609,-0.412,-0.439,-0.814,1.739
12,0.195,-1.79,1.119,-1.198,-0.781,0.128,-0.106,0.856,2.498,-2.262,-0.357,1.961,-0.173,-1.257,3.721,1.0,0.658,-0.582,-0.351,-1.076,1.732
13,0.34,-1.486,0.881,-1.467,-0.055,-0.328,-0.33,0.606,2.418,-1.322,-0.103,1.835,0.12,-1.092,3.945,1.0,0.349,-0.426,-0.291,-1.295,1.924
14,0.209,-1.491,1.139,-1.315,-0.999,0.562,-0.023,0.553,2.392,-2.07,-0.039,1.688,-0.349,-1.282,3.25,1.0,0.581,-0.454,-0.419,-0.905,1.721
15,0.08,-1.447,1.259,-1.066,-0.643,0.313,-0.136,0.537,2.302,-1.933,-0.121,1.928,-0.09,-1.18,2.995,1.0,0.712,-0.267,-0.435,-1.162,1.81
16,0.374,-1.714,0.841,-1.286,-0.761,0.073,-0.148,0.641,2.181,-1.986,-0.142,1.535,-0.126,-0.937,3.677,1.0,0.353,-0.312,-0.26,-1.405,1.971
17,0.197,-1.53,1.165,-1.546,0.06,-0.616,-0.285,0.662,2.596,-1.354,-0.308,1.759,-0.32,-1.241,3.949,1.0,0.623,-0.554,-0.435,-1.454,1.912
18,0.24,-1.648,0.876,-1.369,-0.571,0.116,-0.355,0.683,2.552,-2.013,-0.062,1.831,0.006,-1.278,3.959,1.0,0.533,-0.476,-0.255,-1.019,1.572
19,0.069,-1.532,1.077,-1.503,-0.289,0.108,-0.3,0.829,2.607,-1.895,-0.102,1.675,-0.221,-1.366,3.946,1.0,0.877,-0.392,-0.311,-1.166,1.86
