x0,x1,x2,x3,y,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20
0.314,-3.751,-0.669,0.983,1.0,2.636,6.777,3.65,-1.392,7.948,-0.049,2.079,-1.322,0.966,-3.359,-3.002,1.143,0.933,-8.067,-3.522,3.84
0.635,-2.775,-1.242,0.189,1.0,1.444,4.956,3.261,-1.971,5.369,0.056,2.09,-1.007,1.124,-3.414,-2.647,1.11,1.077,-5.206,-2.249,4.164
0.538,-2.687,-1.24,0.997,1.0,1.573,4.738,3.665,-2.108,5.368,-0.088,2.321,-0.956,0.801,-3.752,-3.081,1.064,0.96,-4.884,-2.421,4.324
0.765,-2.674,-1.427,0.285,1.0,1.256,4.689,3.555,-2.261,5.153,-0.392,2.521,-0.712,0.938,-3.898,-3.07,0.985,0.873,-4.513,-2.324,4.537
0.23,-3.123,-1.211,1.007,1.0,2.077,5.616,3.894,-1.691,6.663,-0.207,2.146,-1.16,0.879,-3.612,-3.217,0.848,0.925,-6.105,-2.903,4.046
0.485,-2.914,-1.32,0.827,1.0,1.727,5.2,3.857,-2.002,5.887,-0.062,2.372,-0.983,0.881,-3.812,-2.873,1.146,0.94,-5.443,-2.679,4.226
0.325,-4.485,0.081,1.042,1.0,3.631,7.795,3.237,-0.484,9.608,0.25,1.619,-1.86,0.732,-2.869,-2.941,1.016,0.712,-10.201,-4.159,3.091
0.612,-3.005,-1.142,0.351,1.0,1.795,5.572,3.409,-1.857,5.933,-0.211,2.406,-1.044,1.115,-3.785,-3.037,1.167,1.26,-6.146,-3.021,4.471
0.65,-2.681,-1.658,-0.172,1.0,1.281,4.524,3.388,-2.019,5.081,-0.452,2.03,-0.728,1.261,-3.597,-2.889,1.386,1.022,-4.652,-2.108,4.351
0.738,-3.216,-1.049,0.558,1.0,1.957,5.898,3.414,-1.775,6.712,-0.274,2.086,-1.027,0.958,-3.604,-2.645,1.059,1.018,-6.384,-2.867,3.904
0.456,-3.053,-1.171,0.246,1.0,1.674,5.428,3.595,-1.832,6.007,-0.219,2.244,-1.173,1.173,-3.558,-2.638,1.435,1.022,-5.567,-2.345,4.044
0.396,-2.852,-1.16,1.138,1.0,1.727,5.044,3.981,-2.089,5.704,-0.41,2.732,-0.923,0.725,-4.035,-3.315,1.073,0.766,-5.157,-2.708,4.625
0.213,-2.951,-0.806,1.17,1.0,1.993,5.424,3.756,-1.387,6.014,-0.014,2.235,-1.088,0.741,-3.35,-2.991,0.802,0.647,-6.222,-2.759,4.087
0.408,-3.811,-0.629,0.342,1.0,2.778,6.826,3.213,-0.852,7.781,0.184,1.629,-1.609,1.091,-3.11,-2.231,1.051,1.272,-8.317,-3.459,3.105
0.349,-2.685,-1.257,0.725,1.0,1.597,4.69,4.207,-2.132,5.274,-0.501,2.707,-0.813,0.805,-4.007,-3.348,0.861,0.921,-4.565,-2.345,4.739
0.588,-2.796,-0.953,0.518,1.0,1.688,5.084,3.267,-1.869,5.8,-0.273,2.179,-0.972,0.9,-3.469,-3.011,0.963,0.781,-5.404,-2.575,3.986
0.052,-3.601,-0.405,1.012,1.0,2.759,6.618,3.815,-0.938,7.948,0.017,2.003,-1.327,0.759,-3.184,-3.0,1.098,0.698,-8.084,-3.491,3.863
0.456,-3.635,-0.473,0.761,1.0,2.38,6.522,3.608,-1.439,7.539,0.057,2.398,-1.495,0.891,-3.578,-3.122,1.012,0.808,-7.505,-3.278,3.979
