Unnamed: 0,x0,x1,x2,x3,y,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20
0,-0.073,2.192,-0.198,-1.535,1.0,1.474,-3.369,-0.809,-1.828,-0.744,1.384,-0.166,-0.366,0.025,-1.089,-0.821,-4.194,-0.316,-0.866,1.284,4.782
1,-0.52,2.217,-0.023,-1.42,1.0,1.089,-3.058,-0.35,-1.137,-0.435,-0.088,0.023,-0.279,0.389,-0.62,-0.908,-4.197,0.088,-0.47,1.046,4.224
2,-0.088,2.136,-0.175,-1.616,1.0,1.428,-3.306,-0.71,-1.855,-0.642,1.092,-0.295,-0.353,0.075,-0.956,-0.865,-4.109,-0.432,-0.779,1.365,4.23
3,-0.501,2.029,-0.128,-1.313,1.0,1.147,-2.68,-0.188,-1.088,-0.02,-0.311,-0.004,-0.216,0.487,-0.478,-0.999,-4.125,0.167,-0.308,1.024,4.316
4,-0.135,2.268,-0.086,-1.231,1.0,1.457,-3.99,-0.816,-2.062,-0.646,1.459,-0.397,-0.414,-0.053,-1.019,-0.666,-4.123,-0.44,-1.128,1.211,4.518
5,-0.403,1.956,-0.016,-1.229,1.0,1.384,-2.86,-0.473,-1.095,-0.345,-0.064,0.167,-0.41,0.088,-0.622,-0.802,-3.831,-0.027,-0.439,1.086,3.97
6,-0.216,2.168,-0.191,-1.183,1.0,1.127,-2.82,-0.428,-1.301,-0.431,0.349,0.063,-0.101,-0.076,-0.842,-0.851,-3.875,-0.421,-0.465,1.003,4.157
7,0.163,1.98,-0.183,-1.565,1.0,1.602,-3.307,-0.592,-1.626,-0.665,0.749,0.03,-0.519,0.144,-0.978,-0.814,-3.758,-0.219,-0.585,1.434,3.851
8,-0.027,1.75,-0.193,-1.514,1.0,1.416,-3.378,-0.764,-1.978,-0.679,1.14,-0.325,-0.226,-0.19,-0.997,-0.903,-3.913,-0.458,-0.794,1.286,3.905
9,-0.081,1.941,-0.071,-1.501,1.0,1.266,-3.224,-0.724,-1.709,-0.72,0.986,-0.228,-0.255,0.124,-0.844,-0.797,-3.855,-0.172,-0.897,1.087,3.857
10,-0.31,2.013,0.131,-1.596,1.0,1.024,-3.491,-0.791,-2.0,-0.523,1.666,-0.362,-0.164,-0.217,-1.033,-0.786,-4.332,-0.727,-1.131,0.93,4.563
11,-0.698,2.163,0.127,-1.273,1.0,1.169,-2.938,-0.272,-1.26,-0.241,0.036,0.148,-0.382,0.298,-0.634,-1.009,-4.108,0.126,-0.362,1.086,4.554
12,-0.276,2.097,0.195,-1.331,1.0,1.173,-3.158,-0.535,-1.708,-0.597,1.09,-0.164,-0.383,0.113,-0.973,-0.737,-3.867,-0.39,-0.658,0.847,4.082
13,-0.085,1.976,-0.294,-1.158,1.0,1.124,-2.894,-0.498,-1.432,-0.385,0.214,-0.29,-0.439,0.091,-0.619,-0.779,-3.653,0.083,-0.571,1.24,3.428
14,-0.603,2.058,0.144,-1.503,1.0,1.178,-2.97,-0.353,-1.692,-0.238,0.49,-0.047,-0.225,0.089,-0.841,-0.83,-3.852,-0.119,-0.324,0.895,4.221
15,-0.337,2.119,0.041,-1.065,1.0,1.074,-2.954,-0.493,-1.089,-0.5,0.568,0.16,-0.397,-0.0,-0.73,-0.612,-3.739,0.163,-0.582,0.963,4.271
16,-0.034,2.074,-0.15,-1.444,1.0,1.623,-3.589,-0.665,-1.798,-0.699,1.042,-0.146,-0.056,0.158,-0.9,-0.76,-4.05,-0.09,-0.759,1.484,4.499
17,-0.582,2.408,0.033,-1.516,1.0,1.408,-3.416,-0.414,-1.521,-0.315,0.49,0.144,-0.22,0.129,-0.793,-0.932,-4.146,-0.081,-0.518,1.012,4.99
18,-1.246,1.98,0.215,-0.737,0.0,0.639,-1.846,0.372,-0.059,0.35,-1.092,0.206,-0.119,0.736,0.191,-1.171,-3.682,0.173,0.084,0.333,4.553
19,-0.354,2.06,0.14,-1.303,0.0,0.796,-2.426,-0.37,-1.238,-0.378,0.338,0.159,-0.365,0.271,-0.842,-0.871,-3.736,-0.15,-0.479,0.688,3.764
20,-0.688,1.702,0.087,-1.056,0.0,0.804,-2.471,-0.129,-0.688,-0.171,-0.09,0.3,-0.273,0.583,-0.464,-1.014,-3.513,-0.026,-0.229,0.722,3.806
21,-0.943,2.181,-0.005,-1.261,0.0,0.922,-2.201,-0.015,-1.14,0.123,0.152,-0.065,-0.143,0.424,-0.386,-1.014,-3.62,-0.043,-0.344,0.548,4.393
22,0.055,2.138,-0.035,-1.747,0.0,1.073,-2.815,-0.495,-1.433,-0.548,0.605,-0.2,-0.161,0.013,-0.797,-0.862,-3.864,-0.422,-0.853,0.913,3.796
23,-0.241,2.058,-0.072,-1.484,0.0,1.121,-2.688,-0.392,-1.577,-0.453,0.842,0.055,-0.087,0.231,-0.981,-0.778,-3.6,-0.308,-0.519,0.917,4.001
24,-0.365,1.927,0.033,-1.601,0.0,0.762,-2.739,-0.311,-1.367,-0.425,0.43,-0.072,-0.225,0.16,-0.712,-1.136,-3.77,-0.527,-0.556,0.777,3.813
25,-1.02,1.986,0.144,-0.826,0.0,0.898,-1.974,0.112,-0.036,0.267,-0.958,0.439,-0.171,0.647,0.052,-0.886,-3.46,0.548,0.112,0.621,4.168
26,-0.476,2.069,0.124,-1.34,0.0,0.913,-2.201,-0.093,-0.948,-0.327,0.026,0.219,-0.4,0.271,-0.612,-0.822,-3.686,-0.145,-0.346,0.676,3.93
27,-1.016,2.139,0.207,-0.913,0.0,1.204,-2.134,0.148,-0.612,0.121,-0.032,0.173,-0.061,0.301,-0.157,-0.978,-3.558,0.339,0.173,0.586,4.609
28,-0.641,2.019,0.082,-1.149,0.0,0.716,-2.242,-0.169,-0.908,0.054,0.145,0.078,-0.021,0.227,-0.626,-0.675,-3.142,-0.103,-0.2,0.665,3.684
29,-0.59,1.727,0.21,-0.813,0.0,0.539,-2.145,-0.097,-0.303,-0.144,-0.479,0.363,0.052,0.442,-0.224,-1.034,-3.806,0.072,-0.105,0.761,3.81
30,-0.567,2.081,0.134,-1.104,0.0,0.807,-2.526,-0.122,-0.493,-0.144,-0.677,0.153,-0.239,0.517,-0.267,-0.921,-3.759,0.13,-0.344,0.759,3.871
31,-0.044,2.049,-0.031,-1.82,0.0,0.876,-3.098,-0.523,-1.948,-0.576,0.162,-0.267,-0.288,0.207,-1.039,-1.029,-4.264,-0.615,-0.847,1.009,3.493
32,-0.314,1.983,0.108,-1.386,0.0,0.968,-2.18,-0.105,-1.185,-0.223,-0.231,-0.055,-0.276,0.411,-0.523,-1.124,-3.98,0.14,-0.253,0.871,3.937
33,-0.738,1.923,0.063,-1.271,0.0,1.078,-2.474,-0.178,-1.392,0.094,0.37,-0.358,-0.116,0.277,-0.559,-0.847,-3.415,-0.048,-0.344,0.813,3.903
34,0.249,1.827,-0.123,-1.507,0.0,1.248,-3.273,-0.854,-1.82,-0.844,2.104,-0.059,-0.074,-0.045,-1.175,-0.686,-3.539,-0.549,-1.012,0.953,4.097
35,-1.104,2.079,0.231,-1.239,0.0,0.954,-2.504,-0.022,-0.895,0.036,-0.151,0.08,-0.204,0.436,-0.385,-0.834,-3.641,0.248,-0.157,0.586,4.177
36,-0.555,2.038,0.012,-1.24,0.0,0.868,-2.158,-0.081,-0.807,-0.018,-0.225,0.225,-0.07,0.39,-0.377,-0.793,-3.227,0.055,-0.201,0.635,3.7
37,-0.652,1.984,0.104,-1.345,0.0,1.104,-2.965,-0.384,-1.511,-0.34,1.042,-0.112,-0.271,0.071,-0.755,-0.708,-3.648,-0.255,-0.636,0.819,4.129
38,-0.738,2.07,0.049,-1.56,0.0,0.944,-2.775,-0.268,-1.582,-0.112,0.858,-0.273,-0.016,0.161,-0.712,-0.885,-3.936,-0.106,-0.638,0.723,4.611
39,-0.495,1.701,0.058,-1.0,0.0,0.776,-1.97,0.059,-0.747,0.087,-0.549,-0.106,-0.247,0.395,-0.215,-1.001,-3.213,0.233,-0.036,0.834,3.461
40,-0.537,1.855,0.2,-1.102,0.0,0.76,-1.731,-0.042,-0.542,-0.04,-0.595,0.541,-0.276,0.232,-0.41,-0.865,-3.465,0.04,0.078,0.711,3.789
41,-0.468,2.119,0.016,-1.324,0.0,1.014,-2.894,-0.532,-1.537,-0.518,1.045,-0.196,-0.168,0.085,-0.853,-0.693,-3.7,-0.365,-0.766,0.65,4.084
42,-0.703,2.035,0.252,-1.274,0.0,0.757,-2.413,-0.177,-1.086,-0.246,-0.055,-0.067,-0.146,0.209,-0.524,-0.884,-3.829,0.099,-0.349,0.719,3.875
43,-0.507,1.888,0.111,-1.119,0.0,0.852,-2.305,-0.113,-0.66,-0.114,-0.607,0.292,-0.12,0.478,-0.224,-0.994,-3.833,-0.054,-0.004,0.851,3.926
44,-0.28,1.729,0.175,-1.226,0.0,0.756,-2.132,-0.181,-0.577,-0.342,-0.444,0.367,-0.129,0.262,-0.388,-0.919,-3.593,-0.038,-0.187,0.826,3.186
45,-0.652,1.931,0.14,-1.215,0.0,1.173,-1.929,0.088,-1.005,0.027,-0.289,0.282,-0.01,0.331,-0.546,-0.914,-3.378,0.151,-0.021,0.663,3.762
46,-0.959,2.235,0.203,-1.151,0.0,0.91,-2.246,0.054,-0.937,0.008,0.169,-0.002,-0.191,0.554,-0.374,-0.93,-3.659,0.045,-0.153,0.418,4.875
47,-0.961,1.944,0.029,-0.861,0.0,0.731,-1.907,0.127,-0.721,0.217,-0.412,0.02,-0.161,0.4,-0.262,-0.929,-3.484,-0.043,-0.069,0.538,4.058
48,-1.012,1.947,-0.139,-1.362,0.0,0.901,-2.141,0.073,-1.145,0.175,-0.129,-0.37,-0.072,0.501,-0.317,-0.869,-3.278,0.207,-0.222,0.589,3.999
49,-1.069,2.068,0.218,-0.896,0.0,0.867,-2.352,0.015,-0.671,0.289,-0.431,-0.027,-0.15,0.472,-0.095,-1.0,-3.909,0.332,-0.116,0.562,4.716
50,-0.624,1.722,-0.004,-1.287,0.0,0.971,-2.437,-0.08,-1.232,-0.026,-0.269,-0.261,-0.167,0.3,-0.503,-0.926,-3.714,0.333,-0.4,0.857,3.512
51,-0.333,1.882,0.074,-1.175,0.0,0.793,-2.122,-0.02,-0.683,0.028,-0.757,0.087,-0.344,0.475,-0.257,-1.091,-3.545,0.086,-0.159,0.716,3.374
52,-0.275,2.047,-0.039,-1.82,0.0,1.192,-3.273,-0.561,-1.358,-0.495,0.774,-0.116,-0.13,0.039,-0.804,-0.957,-3.846,-0.429,-0.793,0.904,4.133
53,-0.458,1.977,0.032,-1.389,0.0,0.922,-2.566,-0.297,-1.642,-0.291,0.543,-0.246,-0.096,0.361,-0.774,-0.88,-3.653,-0.339,-0.519,0.898,4.027
54,-0.602,1.678,0.028,-0.844,0.0,0.515,-1.769,0.09,-0.421,-0.025,-0.489,0.214,-0.227,0.437,-0.133,-0.805,-3.004,0.045,-0.039,0.428,3.262
55,-0.584,2.262,0.117,-1.271,0.0,0.993,-2.825,-0.434,-1.33,-0.4,0.485,0.037,-0.286,0.131,-0.864,-0.841,-3.872,-0.262,-0.559,0.814,4.062
56,-0.814,2.016,0.035,-1.051,0.0,1.074,-1.993,0.14,-0.651,0.172,-0.106,0.03,-0.001,0.768,-0.165,-0.799,-3.682,0.427,0.021,0.759,4.626
57,-0.876,2.122,0.115,-1.075,0.0,0.787,-2.135,0.088,-0.795,-0.039,-0.8,0.168,-0.104,0.706,-0.29,-0.968,-3.776,0.372,-0.079,0.722,3.948
58,-1.124,2.117,0.434,-0.798,0.0,0.712,-2.239,0.108,-0.372,0.122,-0.485,0.218,-0.348,0.507,-0.168,-1.002,-4.073,0.184,-0.051,0.488,4.599
59,-0.344,1.919,-0.031,-1.111,0.0,1.078,-2.142,-0.112,-0.88,0.001,-0.435,0.131,-0.16,0.415,-0.459,-0.92,-3.536,-0.038,-0.229,0.962,3.66
