Unnamed: 0,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,y,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20
0,0.133,0.782,2.805,-0.97,0.797,1.264,6.263,3.856,0.032,-2.924,1.0,0.266,-4.678,7.805,0.641,-5.553,-7.772,6.157,-0.1,-1.96,-0.208
1,0.184,0.866,3.163,-0.758,0.555,1.344,6.763,1.806,0.174,-2.94,1.0,-0.123,-3.087,8.87,0.6,-5.79,-8.299,6.749,-0.066,-1.24,0.128
2,0.501,1.067,2.818,-0.493,0.728,1.434,6.907,2.225,0.073,-3.319,1.0,-0.156,-3.87,8.034,1.179,-5.989,-8.743,5.578,0.112,-1.561,-0.215
3,0.226,0.972,3.04,-0.648,0.991,1.666,6.23,2.931,0.146,-3.229,1.0,-0.025,-3.774,7.845,0.277,-5.999,-8.27,6.026,-0.102,-2.016,-0.113
4,0.343,1.187,3.245,-0.282,0.623,1.489,6.116,2.417,0.212,-3.152,1.0,-0.017,-3.581,7.942,0.71,-5.902,-8.179,5.839,-0.113,-1.397,0.015
5,0.296,1.226,3.226,-0.287,1.204,1.262,6.309,2.768,0.223,-3.238,1.0,-0.152,-3.226,8.93,-0.151,-5.925,-8.889,6.902,-0.125,-1.849,-0.092
6,0.088,1.358,3.24,-0.342,0.121,1.534,6.486,1.949,0.138,-3.399,1.0,-0.227,-2.92,8.887,0.457,-6.034,-8.399,6.659,0.086,-1.142,0.223
7,0.268,1.086,2.835,-0.554,1.09,1.294,6.668,3.824,-0.047,-3.113,1.0,-0.02,-4.4,8.398,0.417,-5.734,-8.527,6.054,-0.099,-1.74,-0.277
8,0.188,1.218,2.855,-0.011,0.541,1.504,6.488,2.628,-0.079,-3.062,1.0,0.012,-3.65,8.372,1.075,-5.817,-7.787,5.387,-0.134,-1.539,-0.042
9,0.495,1.496,2.74,0.155,0.442,1.636,5.692,2.362,0.099,-3.111,1.0,0.065,-3.596,7.545,0.715,-5.626,-7.734,4.928,-0.077,-1.391,-0.242
10,0.069,1.452,3.557,0.087,0.399,1.416,5.95,2.834,0.204,-3.228,1.0,0.061,-3.351,9.038,0.6,-5.973,-8.053,6.443,-0.196,-1.604,0.168
11,-0.035,1.563,3.571,0.062,0.154,1.395,6.236,2.818,0.21,-3.267,1.0,0.165,-2.961,8.96,0.152,-6.0,-8.318,6.517,-0.038,-1.732,0.277
12,0.241,1.43,2.851,-0.146,0.798,1.373,6.173,3.279,0.13,-3.194,1.0,0.207,-3.971,7.667,0.506,-5.919,-8.245,5.206,0.037,-1.723,-0.238
13,0.185,1.075,2.817,-0.322,0.88,1.379,6.029,2.564,0.026,-2.773,1.0,0.039,-3.467,8.05,0.664,-5.247,-7.304,5.747,0.073,-1.535,-0.259
