Unnamed: 0,y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20
0,1.0,2.115,-2.154,1.483,2.163,-0.898,5.114,0.051,-0.535,-1.155,0.972,0.269,3.642,-3.268,2.008,3.208,-3.877,-0.169,0.658,-3.975,-0.517
1,1.0,1.399,-1.553,1.506,3.085,-0.319,5.668,-0.177,-0.538,-1.217,0.186,0.015,4.938,-2.795,3.153,3.798,-3.44,-0.356,1.244,-4.65,-0.836
2,1.0,1.741,-1.827,1.534,2.34,-0.382,5.296,-0.196,-0.765,-1.25,0.628,0.286,3.626,-2.76,2.071,3.406,-3.427,-0.241,0.695,-4.056,-0.167
3,1.0,1.326,-1.448,1.468,2.574,-0.387,5.056,-0.151,-0.716,-0.943,0.274,-0.028,4.054,-2.792,2.519,3.323,-3.035,-0.204,0.968,-4.07,-0.578
4,1.0,1.615,-1.543,1.175,2.188,-0.683,4.517,-0.123,-0.607,-0.728,0.659,-0.228,4.231,-2.843,2.939,2.953,-3.16,-0.124,0.587,-3.646,-0.88
5,1.0,1.563,-1.589,1.528,2.515,-0.349,4.848,-0.27,-0.839,-0.765,0.531,0.228,4.122,-2.66,2.363,3.464,-3.13,-0.017,1.204,-4.12,-0.822
6,1.0,1.894,-1.81,1.582,2.685,-0.681,5.739,0.17,-0.734,-1.242,0.637,-0.004,4.277,-3.115,2.709,4.016,-3.852,-0.361,1.136,-4.707,-0.764
7,1.0,1.648,-1.715,1.327,2.348,-0.653,5.076,0.087,-0.55,-1.061,0.639,0.253,3.456,-2.724,2.081,3.176,-3.218,-0.153,0.87,-3.927,-0.447
8,1.0,1.671,-1.586,1.599,2.601,-0.552,5.45,-0.175,-0.66,-0.912,0.523,0.051,4.403,-3.129,2.585,3.581,-3.535,-0.158,1.019,-4.467,-0.731
9,1.0,1.324,-1.333,1.443,1.999,-1.164,4.482,0.1,-0.552,-0.572,0.374,-0.066,4.575,-2.731,2.913,3.159,-3.129,0.142,0.666,-3.671,-0.854
10,1.0,1.794,-1.586,1.255,2.482,-0.389,5.294,0.39,-0.395,-0.838,0.463,0.102,4.622,-3.142,3.182,3.823,-3.722,-0.02,0.891,-4.401,-0.857
11,1.0,1.79,-2.099,1.571,2.533,-0.258,5.519,0.122,-0.712,-1.269,0.723,0.163,4.059,-3.103,2.313,3.405,-3.742,-0.184,0.629,-4.282,-0.956
12,1.0,1.396,-1.384,1.521,2.881,-0.544,4.978,-0.2,-0.891,-0.718,0.166,0.236,4.388,-2.546,2.836,3.665,-2.94,-0.216,1.047,-4.279,-0.803
13,1.0,1.549,-1.761,1.348,2.524,-0.656,5.017,0.011,-0.775,-0.948,0.604,0.275,3.867,-2.755,2.371,3.325,-3.011,-0.053,0.965,-4.04,-0.485
14,1.0,1.885,-1.966,1.719,2.331,-0.584,5.511,-0.026,-0.837,-1.13,0.918,0.311,3.969,-3.114,2.294,3.574,-3.712,-0.348,0.987,-4.289,-0.843
15,1.0,2.037,-1.743,1.38,2.239,-0.801,5.402,0.108,-0.542,-1.367,0.703,0.074,4.024,-3.128,2.426,3.208,-3.887,-0.373,0.355,-4.011,-0.633
16,1.0,1.467,-1.069,1.303,2.564,-0.513,5.416,-0.179,-0.779,-0.994,0.066,0.011,4.904,-2.786,3.414,3.464,-3.263,-0.131,0.884,-4.294,-0.801
17,1.0,1.76,-1.745,1.529,2.308,-0.475,4.922,-0.157,-0.734,-1.056,0.459,0.156,3.997,-2.91,2.405,3.3,-3.451,-0.13,0.752,-3.934,-0.529
18,1.0,2.044,-1.875,1.428,2.228,-0.723,5.119,0.308,-0.547,-0.946,0.932,0.178,3.696,-3.084,2.234,3.546,-3.624,-0.123,1.055,-4.274,-0.763
19,1.0,1.448,-1.161,1.287,2.747,-0.72,5.287,0.021,-0.557,-1.15,0.292,0.044,5.004,-2.708,3.427,3.461,-3.189,-0.135,1.097,-4.177,-0.689
20,1.0,0.945,-0.602,1.095,2.475,-0.325,4.58,-0.13,-0.685,-0.809,-0.175,-0.134,5.166,-2.705,3.446,3.063,-2.884,-0.015,0.659,-3.778,-0.805
21,1.0,1.696,-1.488,1.378,2.446,-0.416,5.114,-0.118,-0.67,-1.351,0.318,0.151,3.972,-2.697,2.389,3.238,-3.442,-0.385,0.722,-4.029,-0.348
22,1.0,1.759,-1.675,1.426,2.139,-0.709,4.969,-0.045,-0.849,-1.205,0.56,0.272,3.841,-2.761,2.483,2.959,-3.432,-0.099,0.489,-3.77,-0.477
23,1.0,1.532,-1.23,1.211,2.024,-0.992,4.467,0.176,-0.782,-0.757,0.492,-0.129,4.678,-2.835,3.128,2.91,-3.145,-0.011,0.758,-3.642,-0.725
24,1.0,1.695,-1.215,1.555,2.692,-0.557,5.662,0.005,-0.633,-1.38,0.43,-0.135,5.022,-2.965,3.307,3.495,-3.571,-0.424,1.188,-4.356,-0.796
25,1.0,1.084,-0.876,1.714,2.99,-0.806,5.677,-0.368,-0.764,-0.94,-0.207,0.108,5.677,-2.767,3.701,3.7,-3.107,0.075,1.297,-4.572,-0.623
26,1.0,1.176,-1.415,1.55,2.694,-0.815,5.087,-0.116,-0.752,-0.837,0.216,0.228,4.381,-2.493,2.912,3.431,-2.906,-0.043,1.09,-4.066,-0.724
27,1.0,1.451,-1.527,1.678,2.951,-0.24,5.703,-0.651,-0.783,-1.171,0.035,-0.023,4.852,-2.855,3.162,3.565,-3.356,-0.318,1.051,-4.434,-0.512
28,1.0,1.403,-1.578,1.271,2.778,-0.678,4.784,0.021,-0.625,-0.679,0.65,0.243,4.039,-2.686,2.505,3.531,-2.982,0.121,1.289,-4.135,-0.686
29,1.0,1.406,-1.78,1.453,2.519,-0.534,5.086,-0.223,-0.665,-1.147,0.309,0.072,3.833,-2.509,2.254,3.509,-3.061,-0.342,0.922,-4.065,-0.455
30,1.0,1.622,-1.654,1.539,2.957,-0.344,5.668,-0.276,-0.477,-1.214,0.604,0.437,3.96,-2.925,2.333,3.966,-3.341,-0.285,1.117,-4.586,-0.506
31,1.0,1.672,-1.823,1.258,2.535,-0.659,5.021,-0.021,-0.732,-1.166,0.717,0.287,4.001,-2.907,2.534,3.152,-3.136,-0.142,0.948,-4.174,-0.817
32,1.0,1.969,-1.98,1.496,2.428,-0.897,5.186,-0.104,-0.586,-1.083,0.743,0.181,3.651,-2.858,2.247,3.51,-3.559,-0.158,0.692,-4.217,-0.595
33,1.0,1.75,-1.692,1.267,2.155,-0.71,4.712,0.126,-0.581,-0.868,0.638,-0.116,4.099,-2.882,2.769,3.235,-3.327,-0.083,0.91,-3.911,-0.616
34,1.0,1.4,-1.624,1.487,2.455,-0.719,4.744,-0.042,-0.703,-0.978,0.412,0.194,4.659,-2.924,2.848,3.402,-3.308,-0.057,0.696,-3.971,-0.809
35,1.0,1.315,-1.638,1.256,2.686,-0.515,4.904,-0.19,-0.78,-0.89,0.209,0.065,4.176,-2.677,2.734,3.412,-3.154,-0.106,0.739,-4.04,-0.655
36,1.0,1.425,-1.561,1.626,2.705,-0.428,4.966,-0.358,-0.872,-0.995,0.332,0.18,4.214,-2.65,2.56,3.478,-3.037,-0.238,1.116,-4.129,-0.699
37,1.0,1.411,-1.552,1.414,2.962,-1.11,5.08,-0.199,-0.828,-0.811,0.384,0.092,4.629,-2.591,2.958,3.622,-3.036,0.021,1.139,-4.392,-0.836
38,1.0,1.411,-1.15,1.342,2.482,-0.276,4.789,-0.136,-0.643,-0.862,0.36,0.047,4.26,-2.911,2.959,3.201,-3.25,-0.025,0.919,-4.027,-0.833
39,1.0,1.88,-1.664,1.559,2.25,-0.664,4.934,-0.241,-0.753,-0.984,0.617,0.117,4.091,-2.985,2.572,3.295,-3.526,-0.225,0.776,-4.036,-0.66
40,1.0,1.277,-1.428,1.415,2.642,0.054,5.081,-0.256,-0.715,-0.986,0.147,0.021,3.694,-2.382,2.176,3.499,-2.876,-0.207,1.038,-4.128,-0.366
41,1.0,1.092,-1.384,1.109,2.493,-0.429,4.548,0.037,-0.621,-0.785,0.194,0.01,4.487,-2.772,2.97,3.281,-3.124,0.017,0.516,-3.805,-0.69
42,1.0,1.59,-1.837,1.669,2.621,-0.565,5.221,-0.227,-0.608,-0.925,0.624,0.297,4.341,-2.96,2.666,3.351,-3.268,-0.274,1.318,-4.289,-0.781
43,1.0,1.521,-1.394,1.61,2.689,-0.437,5.23,-0.197,-0.503,-1.113,0.098,0.062,4.482,-2.701,2.769,3.419,-3.273,-0.098,0.85,-4.261,-0.643
44,1.0,1.81,-1.873,1.399,2.379,-0.974,4.934,0.023,-0.561,-1.249,0.858,0.289,3.84,-2.932,2.167,3.478,-3.349,-0.146,0.816,-3.956,-0.658
