x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,y,x17,x18,x19,x20
0.067,0.946,0.942,0.189,0.279,-0.671,0.159,0.268,-2.44,1.553,-0.022,-0.015,0.376,0.105,0.174,0.776,1.0,1.382,-0.048,1.529,-0.184
-0.051,0.857,0.554,-0.082,0.432,-0.401,0.241,0.187,-2.003,1.256,0.073,0.111,0.364,-0.018,0.097,0.66,1.0,1.094,0.205,1.244,-0.193
0.203,1.06,1.111,0.601,0.315,-1.062,0.455,0.293,-2.335,2.027,0.061,-0.154,0.24,-0.141,-0.033,0.921,1.0,1.455,0.032,1.076,-0.301
0.199,0.898,0.438,-0.448,0.359,-0.277,0.161,-0.014,-2.098,1.179,0.431,-0.05,0.34,0.077,0.252,0.523,1.0,1.407,0.134,1.703,-0.163
0.223,0.724,0.817,-0.013,0.225,-0.541,0.237,0.234,-2.281,1.2,-0.001,-0.02,0.246,0.189,0.006,0.52,1.0,1.449,-0.204,0.898,-0.082
0.185,1.127,0.627,0.012,0.257,-0.247,0.301,0.076,-2.316,1.349,0.234,-0.147,0.43,0.008,0.172,0.532,1.0,1.539,-0.035,1.658,-0.106
0.127,0.804,0.332,-0.239,0.62,-0.363,0.166,0.2,-2.245,1.533,0.232,0.111,0.357,-0.176,0.031,0.536,1.0,1.621,0.284,1.733,-0.005
-0.11,1.041,0.61,-0.106,0.639,-0.513,0.091,0.537,-2.709,1.669,0.034,0.037,0.367,-0.36,0.133,0.591,1.0,1.502,0.345,1.799,0.031
0.094,0.846,0.798,0.091,0.504,-0.813,-0.053,0.575,-2.424,1.547,0.073,-0.009,0.343,-0.064,-0.031,0.809,1.0,1.56,0.074,1.222,0.041
0.033,0.989,0.818,0.398,0.252,-0.795,0.009,0.454,-2.514,1.715,-0.177,0.198,0.415,-0.097,0.147,0.909,1.0,1.52,0.159,1.361,-0.177
0.127,1.132,0.87,0.274,0.437,-0.62,0.076,0.101,-1.936,1.29,0.125,0.153,0.349,0.133,0.167,0.82,1.0,0.994,0.017,1.421,-0.498
0.178,0.854,0.738,-0.137,0.685,-0.363,0.156,0.282,-2.801,1.365,0.107,0.06,0.527,-0.153,-0.029,0.603,1.0,1.751,0.25,1.55,0.106
-0.068,0.911,0.677,-0.129,0.701,-0.488,0.009,0.275,-2.136,1.31,0.089,0.139,0.283,-0.23,0.152,0.559,1.0,1.309,0.153,1.511,-0.252
0.279,0.823,0.708,-0.008,0.33,-0.484,0.153,0.34,-2.744,1.516,0.117,0.094,0.451,0.121,0.194,0.744,1.0,1.469,-0.027,1.527,0.062
0.249,0.98,0.763,-0.026,0.396,-0.476,0.337,0.048,-2.287,1.108,0.269,0.112,0.235,-0.09,0.085,0.771,1.0,1.397,0.012,1.586,-0.263
-0.015,0.986,0.724,-0.214,0.519,-0.335,0.149,0.508,-2.283,1.528,0.163,-0.218,0.271,0.002,0.116,0.471,1.0,1.339,0.103,1.528,-0.094
0.144,1.043,0.822,0.138,0.453,-0.677,0.165,0.424,-2.588,1.644,-0.032,0.015,0.473,0.118,0.118,0.823,1.0,1.372,0.044,1.448,-0.16
0.262,0.922,0.254,-0.192,0.426,-0.107,0.348,-0.285,-1.852,1.121,0.148,0.098,0.218,-0.005,0.054,0.557,1.0,1.123,0.051,1.699,-0.303
0.045,1.088,0.539,-0.256,0.724,-0.53,-0.136,0.041,-2.188,1.32,0.276,0.209,0.321,-0.125,0.031,0.588,1.0,1.229,0.25,1.906,-0.349
-0.061,0.813,0.844,-0.044,0.586,-0.68,0.025,0.363,-2.477,1.494,0.095,0.223,0.415,-0.273,-0.082,0.886,1.0,1.404,0.113,1.251,-0.158
0.093,0.838,0.784,0.229,0.505,-0.603,0.12,0.241,-2.488,1.378,-0.049,0.195,0.438,0.027,0.069,0.805,1.0,1.655,0.07,1.233,-0.173
0.204,0.82,0.462,-0.353,0.697,-0.271,-0.011,0.123,-2.568,1.063,0.243,0.233,0.492,0.029,0.156,0.723,1.0,1.265,0.155,1.828,-0.099
0.309,0.879,0.789,0.266,0.034,-0.742,0.303,0.52,-2.297,1.551,0.053,-0.118,0.5,0.24,0.174,0.711,1.0,1.481,-0.071,1.107,-0.093
0.226,0.75,0.712,-0.39,0.586,-0.404,0.25,0.21,-2.372,0.877,0.179,0.083,0.441,-0.046,0.038,0.583,1.0,1.673,0.0,1.526,-0.16
0.272,1.08,1.045,0.36,0.618,-0.921,0.232,-0.02,-2.241,1.694,-0.1,0.093,0.108,0.067,0.101,1.053,1.0,1.017,-0.135,1.218,-0.591
0.052,0.701,0.693,0.068,0.438,-0.602,0.104,0.329,-2.08,1.538,0.073,0.142,0.311,0.027,0.307,0.684,1.0,1.548,0.106,1.237,-0.032
0.122,0.999,0.662,0.181,0.407,-0.634,0.132,0.389,-2.046,1.467,0.137,0.074,0.57,-0.038,0.026,0.715,1.0,1.448,0.127,1.299,-0.027
0.237,0.784,0.257,0.065,0.737,-0.545,0.007,0.106,-2.154,1.363,0.091,0.431,0.28,-0.114,-0.037,0.567,1.0,1.65,0.258,1.492,-0.124
0.013,0.779,0.639,-0.112,0.356,-0.369,0.128,-0.161,-1.796,1.03,0.294,-0.013,0.1,-0.0,0.047,0.539,1.0,1.037,0.025,1.365,-0.429
0.129,0.872,1.062,0.207,0.49,-0.991,0.131,0.656,-2.865,1.596,-0.019,0.009,0.48,-0.286,0.19,0.799,1.0,1.858,0.166,1.274,0.181
0.185,1.0,0.766,0.023,0.773,-0.523,0.422,0.121,-2.263,1.623,0.069,0.15,0.275,-0.119,0.02,0.538,1.0,1.247,0.106,1.511,-0.249
0.031,1.103,0.843,-0.149,0.683,-0.583,-0.044,0.212,-2.677,1.327,0.034,0.134,0.395,0.052,0.049,0.752,1.0,1.511,0.091,1.674,-0.174
0.005,1.172,0.562,0.131,0.602,-0.685,0.138,0.024,-1.931,1.762,-0.037,0.041,0.398,0.003,-0.127,0.774,1.0,1.146,0.144,1.515,-0.309
0.045,0.962,0.435,0.014,0.707,-0.614,-0.032,0.559,-2.355,1.278,0.263,0.163,0.536,0.035,0.207,0.896,1.0,1.485,0.167,1.52,-0.02
-0.073,0.955,0.423,-0.267,0.553,-0.339,-0.024,0.276,-2.336,1.445,0.129,0.019,0.309,-0.151,0.208,0.519,1.0,1.189,0.351,1.829,-0.117
0.232,1.016,0.69,-0.123,0.609,-0.449,-0.086,0.13,-2.277,1.359,0.089,0.104,0.403,-0.101,0.136,0.596,1.0,1.288,0.064,1.759,-0.139
-0.049,0.818,0.501,-0.348,0.632,-0.24,0.348,0.236,-2.795,1.188,0.292,-0.021,0.388,-0.445,-0.015,0.552,1.0,1.663,0.31,2.043,0.189
0.166,0.959,0.554,-0.054,0.696,-0.54,0.204,0.015,-2.223,1.666,0.021,0.161,0.392,-0.068,-0.224,0.598,1.0,1.127,0.078,1.541,-0.239
-0.17,0.942,0.747,-0.125,0.951,-0.569,-0.03,0.528,-2.779,1.599,0.151,0.066,0.352,0.007,0.057,0.797,1.0,1.468,0.322,1.783,0.017
0.157,0.945,0.82,0.102,0.201,-0.529,0.516,-0.223,-1.993,1.275,-0.163,0.026,0.134,0.235,-0.058,0.696,1.0,1.196,-0.185,1.316,-0.458
0.291,0.814,0.908,0.179,0.396,-0.754,0.053,0.124,-2.367,1.529,0.087,0.098,0.375,0.206,0.065,0.748,1.0,1.393,-0.096,1.265,-0.161
0.181,1.006,0.868,0.042,0.515,-0.712,-0.096,0.023,-2.513,1.286,0.117,0.277,0.416,-0.046,0.061,0.852,1.0,1.365,0.085,1.549,-0.4
