Unnamed: 0,x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,y
0,0.129,0.59,-0.296,0.756,-0.605,0.25,0.267,-0.916,-0.065,-0.047,-0.512,0.686,-0.524,-0.471,-1.238,0.042,-0.534,0.698,-0.321,-0.448,1.0
1,0.471,0.307,0.12,0.617,-0.411,0.397,0.198,-0.794,0.028,0.22,-0.097,0.849,-0.041,-0.057,-1.167,-0.803,-0.478,0.797,-0.487,-0.64,1.0
2,0.086,0.292,0.426,0.205,-0.116,0.577,-0.054,-0.402,-0.263,0.112,0.325,1.078,-0.296,0.073,-1.036,-0.376,-0.694,0.101,-0.109,-0.074,1.0
3,0.586,0.502,0.12,0.725,-0.167,0.368,0.309,-0.83,-0.003,0.142,-0.102,0.832,-0.485,-0.062,-1.032,-0.604,-0.473,0.753,-0.496,-0.429,1.0
4,0.758,0.792,-0.13,0.761,-0.299,0.307,0.365,-0.885,0.245,0.208,-0.112,0.884,-0.464,-0.223,-1.431,-0.709,-0.519,1.197,-0.736,-0.778,1.0
5,0.288,0.26,0.196,0.658,-0.205,0.448,0.228,-0.845,0.199,0.27,0.039,0.866,-0.245,-0.172,-1.104,-0.507,-0.501,0.54,-0.418,-0.464,1.0
6,0.469,0.372,-0.061,0.695,-0.592,0.247,0.19,-0.69,0.449,0.166,-0.111,1.031,-0.213,-0.306,-0.85,-0.495,-0.531,0.822,-0.154,-0.296,1.0
7,0.24,-0.016,0.234,0.734,-0.078,0.376,0.222,-0.418,-0.242,-0.062,0.111,0.772,0.174,0.083,-1.265,-0.416,-1.01,0.156,-0.608,-0.61,1.0
8,0.125,0.359,-0.026,0.594,-0.319,0.508,0.164,-0.6,0.149,0.046,-0.029,0.964,-0.156,-0.345,-1.256,-0.294,-0.745,0.645,-0.564,-0.645,1.0
9,0.402,0.365,0.751,0.555,0.253,0.335,-0.071,-0.61,-0.342,0.174,0.525,1.205,-0.222,0.201,-1.349,-0.681,-0.916,0.535,-0.553,-0.666,1.0
10,0.271,0.227,0.152,0.68,-0.067,0.786,0.257,-0.752,-0.156,-0.028,0.125,0.824,-0.084,0.158,-1.59,-0.166,-1.067,0.217,-0.599,-0.726,1.0
11,0.768,0.164,0.092,0.598,-0.252,0.26,0.237,-0.907,-0.298,-0.096,-0.057,0.934,-0.206,-0.175,-1.037,-0.804,-0.74,0.94,-0.483,-0.414,1.0
12,0.103,0.226,-0.382,0.521,-0.753,0.324,0.175,-0.42,0.396,0.097,-0.317,0.959,-0.019,-0.582,-0.948,0.123,-0.509,0.213,-0.1,-0.202,1.0
13,0.22,0.29,0.653,0.594,-0.241,0.491,0.032,-0.772,-0.404,-0.066,0.306,1.383,-0.184,-0.125,-1.442,-0.546,-0.753,0.422,-0.597,-0.622,1.0
14,0.041,0.282,-0.207,0.637,-0.305,0.288,0.271,-0.899,0.368,0.086,-0.208,0.749,-0.11,-0.415,-1.353,0.275,-0.516,0.532,-0.429,-0.462,1.0
15,0.39,0.086,-0.078,0.532,-0.266,0.39,0.12,-0.582,-0.089,-0.023,0.018,0.869,-0.204,0.006,-1.055,-0.62,-0.89,0.452,-0.363,-0.404,1.0
16,0.411,0.449,-0.127,0.723,-0.117,0.138,0.16,-0.849,-0.087,0.225,-0.216,0.976,-0.255,-0.136,-1.021,-0.4,-0.477,0.722,-0.268,-0.427,1.0
