x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,y,x17,x18,x19,x20
3.947,-1.919,1.816,0.214,-4.011,-0.898,0.952,-2.701,-0.796,1.56,-3.959,2.429,1.216,0.2,0.117,0.238,1.0,-0.576,0.487,0.539,0.261
4.252,-1.863,2.026,0.216,-4.389,-1.098,0.569,-2.723,-0.688,1.364,-3.673,2.663,1.497,0.211,0.294,0.312,1.0,-0.708,0.215,0.706,0.311
4.142,-1.937,1.985,0.178,-4.12,-0.931,0.307,-2.836,-0.686,1.317,-3.701,2.413,1.441,0.301,0.081,0.077,1.0,-0.657,0.557,0.532,0.257
4.998,-1.718,2.191,0.474,-5.6,-0.874,0.676,-3.247,-1.044,1.473,-3.576,2.99,1.189,0.211,0.04,0.159,1.0,-0.707,0.632,0.511,0.227
4.149,-2.108,2.116,0.351,-4.078,-1.194,0.881,-2.727,-0.61,1.576,-4.115,2.453,1.348,0.217,0.483,0.002,1.0,-0.508,0.296,0.626,0.091
3.735,-1.934,1.916,0.292,-4.047,-0.968,0.725,-2.713,-0.565,1.684,-3.631,2.222,1.377,0.044,0.307,0.09,1.0,-0.696,0.53,0.637,0.375
4.757,-2.374,2.123,0.064,-4.723,-1.161,0.897,-2.837,-0.599,1.689,-4.437,3.004,1.875,0.267,0.388,0.116,1.0,-0.977,0.396,0.702,0.424
4.567,-2.051,1.984,-0.027,-4.967,-1.034,0.855,-2.843,-0.698,1.591,-3.873,2.984,1.568,0.161,0.209,0.035,1.0,-0.912,0.62,0.407,0.119
4.497,-1.896,1.967,-0.012,-4.454,-0.83,0.83,-2.797,-0.668,1.246,-3.813,2.726,1.34,0.154,0.428,0.212,1.0,-0.706,0.515,0.475,0.125
4.752,-1.864,1.98,-0.065,-5.074,-0.973,0.9,-2.958,-0.706,1.454,-3.519,2.948,1.535,0.336,0.209,0.092,1.0,-1.036,0.498,0.644,0.231
4.391,-1.874,2.02,0.212,-4.641,-0.911,0.459,-2.807,-0.894,1.339,-3.558,2.834,1.339,0.172,0.116,-0.002,1.0,-0.477,0.671,0.669,-0.069
4.425,-1.911,1.936,0.226,-5.049,-0.849,0.302,-2.885,-0.659,1.307,-3.827,2.972,1.592,0.157,0.288,0.049,1.0,-0.733,0.453,0.626,0.075
4.391,-2.255,1.754,-0.404,-4.288,-1.114,0.984,-2.734,-0.45,1.54,-4.356,2.735,1.648,0.109,0.675,0.225,1.0,-1.027,0.343,0.574,0.18
4.306,-1.99,1.784,-0.461,-5.004,-1.088,0.249,-2.829,-0.61,1.331,-3.663,2.817,1.449,0.252,0.457,-0.095,1.0,-0.87,0.497,0.89,-0.011
4.289,-1.95,2.172,0.312,-4.268,-0.98,0.909,-2.728,-0.939,1.507,-4.253,2.721,1.482,0.268,0.282,0.232,1.0,-0.863,0.622,0.541,0.199
5.18,-1.855,2.023,0.314,-5.684,-0.88,0.24,-3.281,-0.975,1.491,-3.829,3.306,1.289,0.244,0.227,0.034,1.0,-0.912,0.564,0.711,0.333
4.433,-2.303,2.053,-0.072,-4.567,-1.029,1.45,-2.803,-0.673,1.493,-4.337,2.67,1.702,0.242,0.349,-0.099,1.0,-0.994,0.569,0.463,0.214
4.927,-2.053,2.002,-0.134,-4.94,-1.112,0.83,-3.035,-0.727,1.452,-3.774,2.985,1.676,0.243,0.271,0.073,1.0,-0.923,0.38,0.677,0.3
4.53,-1.796,2.016,0.133,-4.879,-0.948,1.119,-3.009,-0.644,1.159,-3.633,2.663,1.379,0.152,0.401,0.062,1.0,-0.628,0.544,0.491,0.176
4.309,-2.235,2.025,0.178,-4.447,-0.917,0.368,-2.739,-0.914,1.514,-4.311,2.9,1.855,0.169,0.139,0.338,1.0,-0.96,0.23,0.86,0.245
4.099,-2.065,1.934,0.041,-4.336,-0.981,0.601,-2.801,-0.79,1.542,-3.796,2.604,1.548,0.071,0.339,-0.129,1.0,-0.861,0.489,0.832,0.34
3.957,-1.813,1.925,0.296,-4.876,-0.974,0.478,-2.771,-0.767,1.297,-3.275,2.687,1.359,0.089,0.302,0.075,1.0,-0.543,0.242,0.775,0.191
4.966,-2.049,2.001,0.179,-5.039,-1.0,0.324,-3.049,-0.783,1.565,-3.615,3.086,1.341,0.424,0.485,0.028,1.0,-0.683,0.391,0.518,0.157
3.827,-2.117,1.889,0.026,-4.399,-0.995,0.03,-2.803,-0.947,1.689,-3.992,2.508,1.579,-0.013,0.256,0.295,1.0,-0.89,0.407,1.026,0.019
4.479,-2.116,2.201,0.34,-5.12,-1.014,0.954,-2.974,-0.957,1.492,-3.977,2.927,1.526,0.11,0.049,0.063,1.0,-0.804,0.584,0.788,-0.049
4.158,-1.84,1.85,0.047,-4.318,-0.914,0.891,-2.722,-0.805,1.465,-3.43,2.553,1.421,0.098,0.024,-0.023,1.0,-0.777,0.587,0.591,0.2
4.027,-2.358,2.16,0.469,-3.882,-0.85,0.612,-2.762,-0.887,1.58,-4.415,2.581,1.863,0.291,0.244,-0.089,1.0,-1.012,0.522,0.588,0.242
